model,original_index,original_text,grammar,fluency,naturalness,idiomaticity,idiomatic_expressions
GigaChat-2,73,"Диагностика редких заболеваний может занимать большое количество времени. По оценкам специалистов из Стэнфордского университета (Stanford University), на поиск соответствующего симптомам и генотипу пациента заболевания может уходить до 20-40 часов времени высококвалифицированного специалиста. Эксперт рассматривает около 100 наиболее подозрительных мутаций в генах, предполагает, какая из них могла стать причиной болезни, проверяет свои предположения в литературе, затем переходит к следующей в случае неудачи.

Профессор Джилл Бежерано (Gill Bejerano) предложил компьютерный алгоритм под названием Франк (Phrank, phenotype + rank, соединение «фенотипа» и «ранга»), который может автоматизировать эти поиски. Программа сокращает время поиска на 90%, при этом экономя деньги за счет высвобождения рабочих часов врача.

Франк сравнивает симптомы и генетические данные пациента с базой, в которой содержатся сведения из медицинской литературы. Результатом сравнения является ранжированный список редких наследственных заболеваний, которые могли вызвать указанные симптомы. Таким образом у клинициста появляется «стартовая точка», от которой он может двигаться в направлении определения диагноза.

При создании алгоритма, в отличие от предыдущих подобных программ, ученые использовали медицинские данные реальных пациентов, поэтому Франк более эффективен. В частности, когда дело дошло до постановки диагноза самим алгоритмом, болезнь, которая действительно была у пациента, стояла четвертой в листе Франка и 33-й в списке, выданном более старым алгоритмом.

Кроме того, новая программа может помочь врачам в выявлении еще неизвестных наследственных заболеваний – если Франк не найдет упоминаний о симптомах у людей, он будет искать информацию о них в публикациях об экспериментах на животных. Джилл Бежерано пояснил, что, возможно, у людей то или иное заболевание могли до сих пор не диагностировать ни разу, а у мышей, например, оно уже проявлялось. Никто не заменит врача, подчеркнул профессор, но новые технологии могут сделать его работу более эффективной.",5,4,3,1,''
GigaChat-2,0,"Над пустыми петербургскими улицами пролетали едва озаренные смутности; обрывки туч перегоняли друг друга.

Какое-то фосфорическое пятно и туманно, и мертвенно проносилось по небу; фосфорическим блеском протуманилась высь; и от этого проблистали железные крыши и трубы. Протекали тут зеленые воды Мойки; по одной ее стороне то же высилось все трехэтажное здание о пяти своих белых колоннах; наверху были выступы. Там, на светлом фоне светлого здания, медленно проходил Ее Величества кирасир; у него была золотая, блиставшая каска.

И серебряный голубь над каской распростер свои крылья.

Николай Аполлонович, надушенный и выбритый, пробирался по Мойке, запахнувшись в меха; голова упала в шинель, а глаза как-то чудно светились; в душе – поднимались там трепеты без названья; что-то жуткое, сладкое пело там: словно в нем самом разлетелся на части буревой эолов мешок и сыны нездешних порывов на свистящих бичах в странные, в непонятные страны угоняли жестоко.

Думал он: неужели и это – любовь? Вспомнил он: в одну туманную ночь, выбегая стремительно из того вон подъезда, он пустился бежать к чугунному петербургскому мосту, чтобы там, на мосту…

Вздрогнул он.

Пролетел сноп огня: придворная, черная пролетела карета: пронесла мимо светлых впадин оконных того самого дома ярко-красные свои, будто кровью налитые, фонари; на струе черной мойской фонари проиграли и проблистали; призрачный абрис треуголки лакея и абрис шинельных крыльев пролетели с огнем из тумана в туман.",5,4,3,1,''
GigaChat-2,58,"Исторические локации и новые проекты
Компания «Балтийская коммерция» приобрела участок на Новгородской улице, 14 весной 2024 года. Ранее здесь располагался бизнес-центр класса С, а рядом уже построен жилой комплекс «Форсайт» того же девелопера. Общая площадь участка - около 5,5 тысячи квадратных метров.

Девелопер работает в исторических районах Петербурга с конца 90-х годов. Среди последних проектов - реконструкция бывшего советского лицея на проспекте Римского-Корсакова и премиальный квартал у метро «Чкаловская». Пески традиционно считаются одной из самых престижных локаций города, хотя после 2010 года здесь стали появляться не только элитные, но и бизнес-класса новостройки.

Район отличается спокойствием и отсутствием туристического шума, что ценят будущие жильцы. Однако, как отмечают эксперты, здесь еще много промышленных территорий, оставшихся в наследство от «серого пояса» города.

Рынок элитного жилья и перспективы развития
С начала 2024 года, по данным NF Group, в центральной части Петербурга появилось два новых жилых комплекса на 448 квартир: элитный «Моисеенко 10» и бизнес-класс N8. В стадии реализации находятся еще несколько проектов, включая жилой комплекс ПСК и реконструкцию Мытного двора. Свободных участков для строительства в центре практически не осталось, а спрос на премиальное жилье стабильно высок.

По информации брокеров, отдельные земельные участки еще можно найти в районе площади Восстания и на улице Черняховского. Однако основной резерв для развития центрального района - это территории между Синопской набережной и Новгородской улицей. Здесь компания «ТГК-1» готовит масштабный проект редевелопмента бывшей Центральной ТЭЦ. Планируется создать общественно-деловое пространство, которое соединит городскую застройку с набережной. Первый этап, включающий рекреационную зону и объекты общепита, уже получил одобрение экспертизы.

Петербург продолжает меняться: исторические кварталы обретают новую жизнь, а элитные жилые комплексы становятся частью городской ткани, где прошлое и будущее встречаются на одной улице.",5,4,3,1,''
GigaChat-2,22,"На семи холмах лежит городок Федор-Кузьмичск, а вокруг городка – поля необозримые, земли неведомые. На севере – дремучие леса, бурелом, ветви переплелись и пройти не пускают, колючие кусты за порты цепляют, сучья шапку с головы рвут. В тех лесах, старые люди сказывают, живет кысь. Сидит она на темных ветвях и кричит так дико и жалобно: кы-ысь! кы-ысь! – а видеть ее никто не может. Пойдет человек так вот в лес, а она ему на шею-то сзади: хоп! и хребтину зубами: хрусь! – а когтем главную-то жилочку нащупает и перервет, и весь разум из человека и выйдет. Вернется такой назад, а он уж не тот, и глаза не те, и идет, не разбирая дороги, как бывает, к примеру, когда люди ходят во сне под луной, вытянувши руки, и пальцами шевелят: сами спят, а сами ходят. Поймают его и ведут в избу, а иной раз для смеху поставят ему миску пустую, ложку в руку вторнут: ешь; он будто и ест, из пустой-то миски, и зачерпывает, и в рот несет, и жует, а после словно хлебом посудину обтирает, а хлеба-то в руке и нет; ну, родня, ясно, со смеху давится. Такой сам ничего делать не может, даже оправиться не умеет: каждый раз ему заново показывай. Ну, если жене или там матери его жалко, она его с собой в поганый чулан водит; а ежели за ним приглядеть некому, то он, считай, не жилец: как пузырь лопнет, так он и помирает.

Вот чего кысь-то делает.

На запад тоже не ходи. Там даже вроде бы и дорога есть – невидная, вроде тропочки. Идешь-идешь, вот уж и городок из глаз скрылся, с полей сладким ветерком повевает, все-то хорошо, все-то ладно, и вдруг, говорят, как встанешь. И стоишь. И думаешь: куда же это я иду-то? Чего мне там надо? Чего я там не видел? Нешто там лучше? И так себя жалко станет! Думаешь: а позади-то моя изба, и хозяюшка, может, плачет, из-под руки вдаль смотрит; по двору куры бегают, тоже, глядишь, истосковались; в избе печка натоплена, мыши шастают, лежанка мягкая… И будто червырь сердце точит, точит… Плюнешь и назад пойдешь. А иной раз и побежишь. И как завидишь издали родные горшки на плетне, так слеза и брызнет. Вот не дать соврать, на аршин брызгает! Право!..",5,4,4,1,''
GigaChat-2,12,"Приказания прокуратора были исполнены быстро и точно, и солнце, с какой-то необыкновенною яростью сжигавшее в эти дни Ершалаим, не успело еще приблизиться к своей наивысшей точке, когда на верхней террасе сада у двух мраморных белых львов, стороживших лестницу, встретились прокуратор и исполняющий обязанности президента Синедриона первосвященник иудейский Иосиф Каифа.

В саду было тихо. Но, выйдя из-под колоннады на заливаемую солнцем верхнюю площадь сада с пальмами на чудовищных слоновых ногах, площадь, с которой перед прокуратором развернулся весь ненавистный ему Ершалаим с висячими мостами, крепостями и – самое главное – с не поддающейся никакому описанию глыбой мрамора с золотою драконовою чешуею вместо крыши – храмом Ершалаимским, – острым слухом уловил прокуратор далеко и внизу, там, где каменная стена отделяла нижние террасы дворцового сада от городской площади, низкое ворчание, над которым взмывали по временам слабенькие, тонкие не то стоны, не то крики.

Прокуратор понял, что там на площади уже собралась несметная толпа взволнованных последними беспорядками жителей Ершалаима, что эта толпа в нетерпении ожидает вынесения приговора и что в ней кричат беспокойные продавцы воды.",5,4,4,1,''
GigaChat-2,70,"Журналист «Новороссийского рабочего» проанализировала объявления на одном из популярных сайтов.

Требуются официанты в кафе, рестораны и в банный комплекс. Предлагается работать за 3-4 тыс. рублей за смену (месячный заработок от 50 до 65 тыс. рублей).

Повару-мангальщику в одном из известных ресторанов готовы платить 5200 рублей за смену. В ресторан быстрого питания требуется сотрудник, который будет готовить блюда по стандартам компании, принимать и выдавать заказы, работать на кассе. Обещана зарплата от 80 тыс. рублей. Повару-универсалу готовы платить от 75 тыс. рублей в месяц. При этом бонусом будет бесплатное проживание.

На базе отдыха в Широкой балке ждут горничную, которая будет убирать не только номера для гостей, но также беседки, территорию бассейна. Горничной предлагают бесплатное проживание и бесплатное трехразовое питание. За каждую смену она будет получать 3500 рублей на руки. Горничная, которая готова работать вахтовым методом в Абрау-Дюрсо – 90 суток, будет зарабатывать до 4 тыс. рублей за сутки. Питание и проживание бесплатно.

Ждут администратора в мини-отеле на работу с мая по сентябрь с зарплатой от 80 тыс. рублей в месяц. В этом же отеле требуется горничная с зарплатой от 60 тыс. в месяц.

Вакансии горничных, поваров, официантов, мойщиков посуды уборщиков есть в заведениях общепита, базах отдыха и гостиницах в Широкой балке, Мысхако, Абрау-Дюрсо. Ближе к лету их будет еще больше.",3,4,3,1,''
GigaChat-2,10,"Я родился полвека тому назад, в средней России, в деревне, в отцовской усадьбе.
У нас нет чувства своего начала и конца. И очень жаль, что мне сказали, когда именно я 
родился. Если бы не сказали, я бы теперь и понятия не имел о своем возрасте, – тем более, 
что я еще совсем не ощущаю его бремени, – и, значит, был бы избавлен от мысли, что мне 
будто бы полагается лет через десять или двадцать умереть. А родись я и живи на 
необитаемом острове, я бы даже и о самом существовании смерти не подозревал. «Вот было 
бы счастье!» – хочется прибавить мне. Но кто знает? Может быть, великое несчастье. Да и 
правда ли, что не подозревал бы? Не рождаемся ли мы с чувством смерти? А если нет, если 
бы не подозревал, любил ли бы я жизнь так, как люблю и любил?
О роде Арсеньевых, о его происхождении мне почти ничего не известно. Что мы 
вообще знаем! Я знаю только то, что в Гербовнике род наш отнесен к тем, «происхождение 
коих теряется во мраке времен». Знаю, что род наш «знатный, хотя и захудалый» и что я всю 
жизнь чувствовал эту знатность, гордясь и радуясь, что я не из тех, у кого нет ни рода, ни 
племени. В Духов день призывает Церковь за литургией «сотворить память всем от века 
умершим». Она возносит в этот день прекрасную и полную глубокого смысла молитву: 
– Вси рабы Твоя, Боже, упокой во дворех Твоих и в недрех Авраама, – от Адама даже до 
днесь послужившая Тебе чисто отцы и братiи наши, други и сродники!",5,4,4,1,''
GigaChat-2,18,"Вавилен Татарский родился задолго до этой исторической победы красного над красным. Поэтому он автоматически попал в поколение «П», хотя долгое время не имел об этом никакого понятия. Если бы в те далекие годы ему сказали, что он, когда вырастет, станет копирайтером, он бы, наверно, выронил от изумления бутылку «Пепси-колы» прямо на горячую гальку пионерского пляжа. В те далекие дни детям положено было стремиться к сияющему шлему пожарного или белому халату врача. Даже мирное слово «дизайнер» казалось сомнительным неологизмом, прижившимся в великом русском языке по лингвистическому лимиту, до первого серьезного обострения международной обстановки.

Но в те дни в языке и в жизни вообще было очень много сомнительного и странного. Взять хотя бы само имя «Вавилен», которым Татарского наградил отец, соединявший в своей душе веру в коммунизм и идеалы шестидесятничества. Оно было составлено из слов «Василий Аксенов» и «Владимир Ильич Ленин». Отец Татарского, видимо, легко мог представить себе верного ленинца, благодарно постигающего над вольной аксеновской страницей, что марксизм изначально стоял за свободную любовь, или помешанного на джазе эстета, которого особо протяжная рулада саксофона заставит вдруг понять, что коммунизм победит. Но таков был не только отец Татарского, – таким было все советское поколение пятидесятых и шестидесятых, подарившее миру самодеятельную песню и кончившее в черную пустоту космоса первым спутником – четыреххвостым сперматозоидом так и не наставшего будущего.

Татарский очень стеснялся своего имени, представляясь по возможности Вовой. Потом он стал врать друзьям, что отец назвал его так потому, что увлекался восточной мистикой и имел в виду древний город Вавилон, тайную доктрину которого ему, Вавилену, предстоит унаследовать. А сплав Аксенова с Лениным отец создал потому, что был последователем манихейства и натурфилософии и считал себя обязанным уравновесить светлое начало темным. Несмотря на эту блестящую разработку, в возрасте восемнадцати лет Татарский с удовольствием потерял свой первый паспорт, а второй получил уже на Владимира.",5,4,3,1,''
GigaChat-2,4,"Все это Рутилов говорил, по обыкновению своему, быстро и весело, улыбаясь, но он, 
высокий, узкогрудый, казался чахлым и хрупким, и из-под шляпы его, новой и модной, 
как-то жалко торчали жидкие, коротко остриженные светлые волосы.
– Ну, уж и втрое, – вяло возразил Передонов, снимая и протирая золотые очки.
– Да уж верно! – воскликнул Рутилов. – Смотри, не зевай, пока я жив, а то они у меня 
тоже с гонором, – потом захочешь, да поздно будет. А только из них каждая за тебя с 
превеликим удовольствием пойдет.
– Да, в меня здесь все влюбляются, – с угрюмым самохвальством сказал Передонов.
– Ну, вот видишь, вот ты и лови момент, – убеждал Рутилов.
– Мне бы, главное, не хотелось, чтобы она была сухопарая, – с тоскою в голосе сказал 
Передонов. – Жирненькую бы мне.
– Да уж на этот счет ты не беспокойся, – горячо говорил Рутилов. – Они и теперь 
барышни пухленькие, а если не совсем вошли в объем, так это только до поры до времени. 
Выйдут замуж, и они раздобреют, как старшая. Лариса-то у нас, сам знаешь, какая кулебяка 
стала.
– Я бы женился, – сказал Передонов, – да боюсь, что Варя большой скандал устроит.
– Боишься скандала, так ты вот что сделай, – с хитрою улыбкою сказал Рутилов: –
сегодня же венчайся, не то завтра: домой явишься с молодой женой, и вся недолга. Правда, 
хочешь, я это сварганю, завтра же вечером? С какою хочешь?
Передонов внезапно захохотал, отрывисто и громко.
– Ну, идет? по рукам, что ли? – спросил Рутилов.
Передонов так же внезапно перестал смеяться и угрюмо сказал, тихо, почти шопотом:
– Донесет, мерзавка.
– Ничего не донесет, нечего доносить, – убеждал Рутилов.
– Или отравит, – боязливо шептал Передонов.
– Да уж ты во всем на меня положись, – горячо уговаривал его Рутилов, – я все так 
тонко обстрою тебе…
– Я без приданого не женюсь, – сердито крикнул Передонов.
Рутилова нисколько не удивил новый скачок в мыслях его угрюмого собеседника. Он 
возразил все с тем же одушевлением:
– Чудак, да разве они бесприданницы! Ну, что же, идет, что ли? Ну, я побегу, все 
устрою. Только чур, никому ни гу-гу, слышишь, никому!
Он потряс руку Передонова и побежал от него. Передонов молча смотрел за ним. 
Барышни Рутиловы припомнились ему, веселые, насмешливые. Нескромная мысль выдавила 
на его губы поганое подобие улыбки, – оно появилось на миг и исчезло. Смутное 
беспокойство поднялось в нем.",5,4,3,1,''
GigaChat-2,65,"Нежелание работать отмечают и работодатели. Владелица торговой точки по продаже корейской косметики Татьяна Вакарчук говорит, что те же студенты, еще не начав трудовой путь, пытаются выставлять свои условия: график, зарплата, какие-то бонусы вроде скидок на продукцию. Но несмотря на все это, лояльность к компании проявлять не спешат: могут опоздать, не предупредив, а то и уволиться одним днем без объяснения причин.

— Им важно, чтобы было удобно и прикольно. А вставать рано утром «не удобно» и «не прикольно», равно как и стоять смену в торговом центре, общаться с людьми, что-то им объяснять, продавать. При этом у меня в фирме продавцы помимо окладной части получают еще и процент от реализации. Чем не мотивация? Но современным молодым людям не особенно это и нужно — заработали сегодня на какую-то нехитрую еду, а что будет завтра их не особенно волнует. Уж не думала, что нынешние юноши и девушки будут жить по принципу «лучше кашки не доложат, но на работу не потревожат», — говорит Татьяна Вакарчук.

Отсутствие амбиций отмечают и рестораторы. Они утверждают, что буквально несколько лет назад официантами, барменами, хостес были в основном студенты и трудились они прилежно, а сейчас на их место пришли люди среднего возраста и работают они куда усерднее, чем их более молодые коллеги.

— Современная молодежь не отличается надежностью и какой-то профессиональной порядочностью. За последний год в моих заведениях каждые два месяца студенты-официанты не выходят на смену без объяснения причин. Они просто не отвечают на звонки и не появляются на рабочем месте. Но еще лет пять назад картина была другая — молодые люди трудились со всей ответственностью, не боялись работы и зарабатывали, кстати, хорошо, ведь все знают, что официанта ноги кормят, — рассказал управляющий сети закусочных Вадим Терехов.

Отдельно он отметил, что нынешним парням и девушкам достаточно малого во многом именно потому, что для того, чтобы получить больше, нужно и работать больше. Терехов привел пример: официант среднего возраста сознательно берется обслуживать больше столов в смену, он знает, что от этого зависит заработок, поэтому за день он может получить около 5 тысяч рублей. Его 18-летний коллега заработает раза в три меньше, поскольку и смену он себе выбивает короче, и столов обслуживает меньше. Ему не важно, что денег мало, ему важна «свобода» и нетяжелая работа.

По мнению Терехова, привести молодежь в чувства может помочь нужда. Речь о том, что когда «сильно прижмет» придется променять свое «хочу» на «нужно» работодателя. Иными словами, если человеку станет нечего есть, то он, скорее всего, перестанет пытаться прогнуть мир и взрослых людей под себя и каким-то образом примирится с действительностью и необходимостью выжить.",3,3,3,1,''
