text_id,author,source,link,year_of_creation,text_domen,original_text,idiomatic_expressions,len,word_count,ratio,idiom_count,ratio_2
1,Андрей Белый,Петербург,,1913,художественный,"Над пустыми петербургскими улицами пролетали едва озаренные смутности; обрывки туч перегоняли друг друга.

Какое-то фосфорическое пятно и туманно, и мертвенно проносилось по небу; фосфорическим блеском протуманилась высь; и от этого проблистали железные крыши и трубы. Протекали тут зеленые воды Мойки; по одной ее стороне то же высилось все трехэтажное здание о пяти своих белых колоннах; наверху были выступы. Там, на светлом фоне светлого здания, медленно проходил Ее Величества кирасир; у него была золотая, блиставшая каска.

И серебряный голубь над каской распростер свои крылья.

Николай Аполлонович, надушенный и выбритый, пробирался по Мойке, запахнувшись в меха; голова упала в шинель, а глаза как-то чудно светились; в душе – поднимались там трепеты без названья; что-то жуткое, сладкое пело там: словно в нем самом разлетелся на части буревой эолов мешок и сыны нездешних порывов на свистящих бичах в странные, в непонятные страны угоняли жестоко.

Думал он: неужели и это – любовь? Вспомнил он: в одну туманную ночь, выбегая стремительно из того вон подъезда, он пустился бежать к чугунному петербургскому мосту, чтобы там, на мосту…

Вздрогнул он.

Пролетел сноп огня: придворная, черная пролетела карета: пронесла мимо светлых впадин оконных того самого дома ярко-красные свои, будто кровью налитые, фонари; на струе черной мойской фонари проиграли и проблистали; призрачный абрис треуголки лакея и абрис шинельных крыльев пролетели с огнем из тумана в туман.","пролетали едва озаренные смутности
обрывки туч перегоняли друг друга
фосфорическое пятно и туманно, и мертвенно проносилось по небу
фосфорическим блеском протуманилась высь
здание о пяти своих белых колоннах
серебряный голубь над каской распростер свои крылья
голова упала в шинель
глаза как-то чудно светились
в душе – поднимались там трепеты без названья
жуткое, сладкое пело там
разлетелся на части буревой эолов мешок и сыны нездешних порывов на свистящих бичах в странные, в непонятные страны угоняли жестоко
Пролетел сноп огня: придворная, черная пролетела карета
пронесла мимо светлых впадин оконных того самого дома ярко-красные свои, будто кровью налитые, фонари
фонари проиграли и проблистали
призрачный абрис треуголки лакея и абрис шинельных крыльев пролетели с огнем из тумана в туман",202,98,"48,51485149",15,"7,425742574"
2,Андрей Белый,Петербург,,1913,художественный,"То место увенчивал великолепный дворец; вверх протянутой башнею напоминал он причудливый замок: розово-красный, тяжелокаменный! Не теперь это было, и венценосца того уже нет.

Розово-красный дворец выступал своим верхом из гущи безлистных суков; те суки протянулися к небу глухими порывами и, качаясь, ловили бегущие облака; каркая, вверх стрельнула ворона; взлетела, качалась над хлопьями; и — обратно низринулась.

Пролетка пересекала то место.

И конная статуя вычернялась неясно от площади; посетители Петербурга той статуе не уделяют внимания: великолепная статуя!

Своему великому прадеду соорудил эту статую самодержец; он жил в розовокаменном замке; не долго томился.

Вероятно, не раз появлялась курносая в белых локонах голова в амбразуре окна. И курносая в локонах голова дозирала пространства за стеклами; утопали глаза в розовеющих угасаниях неба, иль упирались в серебряную игру и в кипение месячных отблесков в густолиственных древесах; у подъезда стоял часовой в треуголке с полями и брал   н а   к а р а у л   при проходе золотогрудого генерала в андреевской ленте к расписанной акварелью карете; и краснопламенный высился кучер с приподнятых козел; а на запятках — стояли губастые негры.

И Павел Петрович, окинувши взглядом все это, опять возвращался к сентиментальному разговору с кисейною фрейлиной; фрейлина улыбалась; обозначились лукавые ямочки, мушка.

В ту ночь разливалося лунное серебро, упадая на мебели императорской опочивальни, озолощая лукаво амурчика; на подушке уже вырисовывался профиль лежащего; где-то били куранты; и — намечались шаги... Не прошло трех мгновений — постель была смята: а простыни были теплы; почившего — не было; кучечка белокудерных офицеров с порывисто обнаженными шашками наклоняла главы к опустевшему ложу; в дверь сбоку ломились; и — плакался женский голос; рука розовогубого офицера приподняла оконную штору; и из-под спущенной кисеи, на окне, в серебре — прочернела дрожащая тень.

Где-то били куранты; а там, в отдалении, топотали шаги.","место увенчивал великолепный дворец
вверх протянутой башнею
те суки протянулися к небу глухими порывами и, качаясь, ловили бегущие облака
вверх стрельнула ворона; взлетела, качалась над хлопьями; и — обратно низринулась.
статуя вычернялась неясно от площади
в амбразуре окна
курносая в локонах голова дозирала
пространства за стеклами
утопали глаза в розовеющих угасаниях неба, иль упирались в серебряную игру и в кипение месячных отблесков в густолиственных древесах;
краснопламенный высился кучер
обозначились лукавые ямочки
разливалося лунное серебро, упадая на мебели императорской опочивальни, озолощая лукаво амурчика
вырисовывался профиль
намечались шаги
Не прошло трех мгновений
кучечка белокудерных офицеров с порывисто обнаженными шашками
и из-под спущенной кисеи, на окне, в серебре — прочернела дрожащая тень.
топотали шаги",278,94,"33,81294964",18,"6,474820144"
3,Евгений Замятин,Мы,,1920,художественный,"Вечер. Легкий туман. Небо задернуто золотисто-молочной тканью и не видно: что там — дальше, выше. Древние знали, что там их величайший, скучающий скептик — Бог. Мы знаем, что там хрустально-синее, голое, непристойное ничто. Я теперь не знаю, что там: я слишком много узнал. Знание, абсолютно уверенное в том, что оно безошибочно, — это вера. У меня была твердая вера в себя, я верил, что знаю в себе все. И вот — —Я — перед зеркалом. И первый раз в жизни — именно так: первый раз в жизни — вижу себя ясно, отчетливо, сознательно — с изумлением вижу себя, как кого-то «его». Вот я — он: черные, прочерченные по прямой брови; и между ними — как шрам — вертикальная морщина (не знаю, была ли она раньше). Стальные, серые глаза, обведенные тенью бессонной ночи; и за этой сталью... оказывается, я никогда не знал, что там. И из «там» (это «там» одновременно и здесь, и бесконечно далеко) — из «там» я гляжу на себя — на него и твердо знаю: он — с прочерченными по прямой бровями — посторонний, чужой мне, я встретился с ним первый раз в жизни. А я настоящий — я — не он...Нет: точка. Все это — пустяки, и все эти нелепые ощущения — бред, результат вчерашнего отравления... Чем: глотком зеленого яда — или ею? Все равно. Я записываю это, только чтобы показать, как может странно запутаться и сбиться человеческий — такой точный и острый — разум. Тот разум, который даже эту, пугавшую древних, бесконечность сумел сделать удобоваримой — посредством...Щелк нумератора — и цифры: R-13. Пусть, я даже рад: сейчас одному мне было бы...","Небо задернуто золотисто-молочной тканью
скучающий скептик — Бог
голое, непристойное ничто
черные, прочерченные по прямой брови
между ними — как шрам — вертикальная морщина
Стальные, серые глаза, обведенные тенью бессонной ночи
за этой сталью...
это «там» одновременно и здесь, и бесконечно далеко
с прочерченными по прямой бровями
глотком зеленого яда — или ею
как может странно запутаться и сбиться человеческий — такой точный и острый — разум",265,57,"21,50943396",11,"4,150943396"
4,Евгений Замятин,Мы,,1920,художественный,"Она была в фантастическом костюме древней эпохи: плотно облегающее черное платье, остро подчеркнуто белое открытых плечей и груди, и эта теплая, колыхающаяся от дыхания тень между... и ослепительные, почти злые зубы...
Улыбка — укус, сюда — вниз. Села, заиграла. Дикое, судорожное, пестрое, как вся тогдашняя их жизнь, — ни тени разумной механичности. И, конечно, они, кругом меня, правы: все смеются. Только немногие... но почему же и я — я?
Да, эпилепсия — душевная болезнь — боль... Медленная, сладкая боль — укус — и чтобы еще глубже, еще больнее. И вот, медленно — солнце. Не наше, не это голубовато-хрустальное и равномерное сквозь стеклянные кирпичи — нет: дикое, несущееся, опаляющее солнце — долой все с себя — все в мелкие клочья.
Сидевший рядом со мной покосился влево — на меня — и хихикнул. Почему-то очень отчетливо запомнилось: я увидел — на губах у него выскочил микроскопический слюнный пузырек и лопнул. Этот пузырек отрезвил меня. Я — снова я.
Как и все — я слышал только нелепую, суетливую трескотню струн. Я смеялся. Стало легко и просто. Талантливый фонолектор слишком живо изобразил нам эту дикую эпоху — вот и все.
С каким наслаждением я слушал затем нашу теперешнюю музыку. (Она продемонстрирована была в конце — для контраста.) Хрустальные хроматические ступени сходящихся и расходящихся бесконечных рядов — и суммирующие аккорды формул Тэйлора, Маклорена; целотонные, квадратно-грузные ходы Пифагоровых штанов; грустные мелодии затухающе-колебательного движения; переменяющиеся фраунгоферовыми линиями пауз яркие такты — спектральный анализ планет... Какое величие! Какая незыблемая закономерность! И как жалка своевольная, ничем — кроме диких фантазий — не ограниченная музыка древних...
Как обычно, стройными рядами, по четыре, через широкие двери все выходили из аудиториума. Мимо мелькнула знакомая двояко-изогнутая фигура; я почтительно поклонился.","остро подчеркнуто белое открытых плечей и груди
теплая, колыхающаяся от дыхания тень между
ослепительные, почти злые зубы
Улыбка — укус
Села, заиграла. Дикое, судорожное, пестрое, как вся тогдашняя их жизнь, — ни тени разумной механичности.
все смеются. Только немногие... но почему же и я — я?
Да, эпилепсия — душевная болезнь — боль... Медленная, сладкая боль — укус — и чтобы еще глубже, еще больнее. И вот, медленно — солнце. Не наше, не это голубовато-хрустальное и равномерное сквозь стеклянные кирпичи — нет: дикое, несущееся, опаляющее солнце — долой все с себя — все в мелкие клочья.
суетливую трескотню струн
слишком живо изобразил нам эту дикую эпоху
Хрустальные хроматические ступени сходящихся и расходящихся бесконечных рядов — и суммирующие аккорды формул Тэйлора, Маклорена; целотонные, квадратно-грузные ходы Пифагоровых штанов; грустные мелодии затухающе-колебательного движения; переменяющиеся фраунгоферовыми линиями пауз яркие такты — спектральный анализ планет...
незыблемая закономерность
И как жалка своевольная, ничем — кроме диких фантазий — не ограниченная музыка древних...
двояко-изогнутая фигура",271,146,"53,87453875",13,"4,79704797"
5,Федор Сологуб ,Мелкий бес,,1902,художественный,"Все это Рутилов говорил, по обыкновению своему, быстро и весело, улыбаясь, но он, 
высокий, узкогрудый, казался чахлым и хрупким, и из-под шляпы его, новой и модной, 
как-то жалко торчали жидкие, коротко остриженные светлые волосы.
– Ну, уж и втрое, – вяло возразил Передонов, снимая и протирая золотые очки.
– Да уж верно! – воскликнул Рутилов. – Смотри, не зевай, пока я жив, а то они у меня 
тоже с гонором, – потом захочешь, да поздно будет. А только из них каждая за тебя с 
превеликим удовольствием пойдет.
– Да, в меня здесь все влюбляются, – с угрюмым самохвальством сказал Передонов.
– Ну, вот видишь, вот ты и лови момент, – убеждал Рутилов.
– Мне бы, главное, не хотелось, чтобы она была сухопарая, – с тоскою в голосе сказал 
Передонов. – Жирненькую бы мне.
– Да уж на этот счет ты не беспокойся, – горячо говорил Рутилов. – Они и теперь 
барышни пухленькие, а если не совсем вошли в объем, так это только до поры до времени. 
Выйдут замуж, и они раздобреют, как старшая. Лариса-то у нас, сам знаешь, какая кулебяка 
стала.
– Я бы женился, – сказал Передонов, – да боюсь, что Варя большой скандал устроит.
– Боишься скандала, так ты вот что сделай, – с хитрою улыбкою сказал Рутилов: –
сегодня же венчайся, не то завтра: домой явишься с молодой женой, и вся недолга. Правда, 
хочешь, я это сварганю, завтра же вечером? С какою хочешь?
Передонов внезапно захохотал, отрывисто и громко.
– Ну, идет? по рукам, что ли? – спросил Рутилов.
Передонов так же внезапно перестал смеяться и угрюмо сказал, тихо, почти шопотом:
– Донесет, мерзавка.
– Ничего не донесет, нечего доносить, – убеждал Рутилов.
– Или отравит, – боязливо шептал Передонов.
– Да уж ты во всем на меня положись, – горячо уговаривал его Рутилов, – я все так 
тонко обстрою тебе…
– Я без приданого не женюсь, – сердито крикнул Передонов.
Рутилова нисколько не удивил новый скачок в мыслях его угрюмого собеседника. Он 
возразил все с тем же одушевлением:
– Чудак, да разве они бесприданницы! Ну, что же, идет, что ли? Ну, я побегу, все 
устрою. Только чур, никому ни гу-гу, слышишь, никому!
Он потряс руку Передонова и побежал от него. Передонов молча смотрел за ним. 
Барышни Рутиловы припомнились ему, веселые, насмешливые. Нескромная мысль выдавила 
на его губы поганое подобие улыбки, – оно появилось на миг и исчезло. Смутное 
беспокойство поднялось в нем.","казался чахлым и хрупким
жалко торчали жидкие, коротко остриженные светлые волосы
они у меня тоже с гонором
в меня здесь все влюбляются
лови момент
не совсем вошли в объем
до поры до времени
раздобреют
какая кулебяка стала
и вся недолга
я это сварганю
по рукам, что ли?
я все так тонко обстрою тебе
скачок в мыслях
ни гу-гу
Нескромная мысль выдавила на его губы поганое подобие улыбки, – оно появилось на миг и исчезло.
Смутное беспокойство поднялось в нем",376,63,"16,75531915",17,"4,521276596"
6,Федор Сологуб ,Творимая легенда,,1912,художественный,"Беру кусок жизни, грубой и бедной, и творю из него сладостную легенду, ибо я — поэт. 
Косней во тьме, тусклая, бытовая, или бушуй яростным пожаром, — над тобою, жизнь, я, 
поэт, воздвигну творимую мною легенду об очаровательном и прекрасном.
В спутанной зависимости событий случайно всякое начало. Но лучше начать с того, 
что и в земных переживаниях прекрасно, или хотя бы только красиво и приятно. Прекрасны 
тело, молодость и веселость в человеке, — прекрасны вода, свет и лето в природе.
Было лето, стоял светлый, знойный полдень, и на реку Скородень падали тяжелые 
взоры пламенного Змия. Вода, свет и лето сияли и радовались, сияли солнцем и простором, 
радовались одному ветру, веющему из страны далекой, многим птицам и двум обнаженным 
девам.
Две сестры, Елисавета и Елена, купались в реке Скородени. И солнце, и вода были 
веселы, потому что две девы были прекрасны и были наги. И обеим девушкам было весело, 
прохладно и хотелось двигаться, и смеяться, и болтать, и шутить. Они говорили о человеке, 
который волновал их воображение.
Девушки были дочери богатого помещика. Место, где они купались, примыкало к 
обширному, старому саду их усадьбы. Может быть, им было особенно приятно купаться в 
этой реке потому, что они чувствовали себя госпожами этих быстротекущих вод и песчаных 
отмелей под их быстрыми ногами. И они плавали и смеялись в этой реке с уверенностью и 
свободою прирожденных владетельниц и госпож. Никто не знает пределов своего 
господства, — но блаженны утверждающие свое обладание, свою власть!
","Беру кусок жизни, грубой и бедной, и творю из него сладостную легенду
Косней во тьме, тусклая, бытовая, или бушуй яростным пожаром
над тобою, жизнь, я, поэт, воздвигну творимую мною легенду
в спутанной зависимости событий случайно всякое начало
падали тяжелые взоры пламенного Змия
вода, свет и лето сияли и радовались
радовались одному ветру, веющему из страны далекой
чувствовали себя госпожами этих быстротекущих вод
песчаных отмелей под их быстрыми ногами
с уверенностью и свободою прирожденных владетельниц и госпож
Никто не знает пределов своего господства
блаженны утверждающие свое обладание, свою власть",233,77,"33,0472103",12,"5,150214592"
7,Мариам Петросян,"Дом, в котором...",,2009,художественный,"Дом стоит на окраине города. В месте, называемом Расческами. Длинные 
многоэтажки здесь выстроены зубчатыми рядами с промежутками квадратно-
бетонных дворов – предполагаемыми местами игр молодых «расчесочников». 
Зубья белы, многоглазы и похожи один на другой. Там, где они еще не вырос-
ли, – обнесенные заборами пустыри. Труха снесенных домов, гнездилища крыс и 
бродячих собак гораздо более интересны молодым «расчесочникам», чем их 
собственные дворы – интервалы между зубьями.
На нейтральной территории между двумя мирами – зубцов и пустырей –
стоит Дом. Его называют Серым. Он стар и по возрасту ближе к пустырям – за-
хоронениям его ровесников. Он одинок – другие дома сторонятся его – и не по-
хож на зубец, потому что не тянется вверх. В нем три этажа, фасад смотрит на 
трассу, у него тоже есть двор – длинный прямоугольник, обнесенный сеткой. 
Когда-то он был белым. Теперь он серый спереди и желтый с внутренней, дво-
ровой стороны. Он щетинится антеннами и проводами, осыпается мелом и пла-
чет трещинами. К нему жмутся гаражи и пристройки, мусорные баки и собачьи 
будки. Все это со двора. Фасад гол и мрачен, каким ему и полагается быть.
Серый Дом не любят. Никто не скажет об этом вслух, но жители Расчесок 
предпочли бы не иметь его рядом. Они предпочли бы, чтобы его не было вооб-
ще.
","Длинные многоэтажки здесь выстроены зубчатыми рядами с промежутками квадратно-бетонных дворов
Зубья белы, многоглазы и похожи один на другой
где они еще не выросли
между двумя мирами – зубцов и пустырей
Он стар
захоронениям его ровесников
Он одинок – другие дома сторонятся его
не похож на зубец, потому что не тянется вверх
Он щетинится антеннами и проводами, осыпается мелом и плачет трещинами.
К нему жмутся гаражи и пристройки
Фасад гол и мрачен",200,61,"30,5",11,"5,5"
8,Мариам Петросян,"Дом, в котором...",,2009,художественный,"Выяснилось, что всякий человек, пытающийся привлечь к себе внимание, есть человек 
самовлюбленный и нехороший, способный на что угодно и воображающий о себе невесть 
что, в то время как на самом деле он просто-напросто пустышка. Ворона в павлиньих перь-
ях. Или что-то в этом роде. Сип прочел басню о вороне. Потом стихи об осле, угодившем в 
озеро и потонувшем из-за собственной глупости. Потом он хотел еще спеть что-то на ту же 
тему, но его уже никто не слушал. Сип надул щеки, расплакался и замолчал. Ему сказали 
спасибо, передали платок, заслонили учебником и предоставили слово Гулю.
Гуль говорил еле слышно, не поднимая головы, как будто считывал текст с поверхно-
сти стола, хотя ничего, кроме поцарапанного пластика, там не было. Белая челка лезла в 
глаз, он поправлял ее кончиком пальца, смоченным слюной. Палец фиксировал бесцветную 
прядь на лбу, но как только отпускал, она тут же сползала обратно в глаз. Чтобы смотреть на 
Гуля долго, нужно иметь стальные нервы. Поэтому я на него не смотрел. От моих нервов и 
так остались одни ошметки, незачем было лишний раз их терзать.
– К чему пытается привлечь внимание обсуждаемый? К своей обуви, казалось бы. На 
самом деле это не так. Посредством обуви он привлекает внимание к своим ногам. То есть 
афиширует свой недостаток, тычет им в глаза окружающим. Этим он как бы подчеркивает 
нашу общую беду, не считаясь с нами и нашим мнением. В каком-то смысле он по-своему 
издевается над нами…
Он еще долго размазывал эту кашу. Палец сновал вверх и вниз по переносице, белки 
наливались кровью. Я знал наизусть все, что он может сказать – все, что вообще принято 
говорить в таких случаях. Все слова, вылезавшие из Гуля, были такими же бесцветными и 
пересушенными, как он сам, его палец и ноготь на пальце.","пустышка
ворона в павлиньих перьях
что-то в этом роде
Сип надул щеки
как будто считывал текст с поверхности стола
стальные нервы
От моих нервов и так остались одни ошметки, незачем было лишний раз их терзать.
афиширует свой недостаток
тычет им [недостатком] в глаза
Он еще долго размазывал эту кашу.
белки наливались кровью
все слова, вылезавшие из Гуля, были такими же бесцветными и пересушенными, как он сам ",282,55,"19,5035461",12,"4,255319149"
9,Владимир Набоков,Машенька,,1926,художественный,"За последнее время он стал вял и угрюм. Еще так недавно он умел, не хуже японского 
акробата, ходить на руках, стройно вскинув ноги и двигаясь, подобно парусу, умел зубами 
поднимать стул и рвать веревку на тугом бицепсе. В его теле постоянно играл огонь, – же-
ланье перемахнуть через забор, расшатать столб, словом – ахнуть, как говорили мы в юно-
сти. Теперь же ослабла какая-то гайка, он стал даже горбиться и сам признавался Подтягину, 
что, «как баба», страдает бессонницей. Плохо он спал и в ту ночь с воскресенья на поне-
дельник, после двадцати минут, проведенных с развязным господином в застрявшем лифте. 
В понедельник утром он долго просидел нагишом, сцепив между колен протянутые, холод-
новатые руки, ошеломленный мыслью, что и сегодня придется надеть рубашку, носки, 
штаны, – всю эту потом и пылью пропитанную дрянь, – и думал о цирковом пуделе, кото-
рый выглядит в человеческих одеждах до ужаса, до тошноты жалким. Отчасти эта вялость 
происходила от безделья. Особенно трудиться ему сейчас не приходилось, так как за зиму 
он накопил некоторую сумму, от которой впрочем оставалось теперь марок двести, не 
больше: эти три последних месяца обошлись дороговато.
В прошлом году, по приезде в Берлин, он сразу нашел работу и потом до января тру-
дился, – много и разнообразно: знал желтую темноту того раннего часа, когда едешь на 
фабрику; знал тоже, как ноют ноги после того, как десять извилистых верст пробежишь с 
тарелкой в руке между столиков в ресторане «Pir Goroi»; знал он и другие труды, брал на 
комиссию все, что подвернется, – и бублики, и бриллиантин и просто бриллианты. Не брез-
говал он ничем: не раз даже продавал свою тень подобно многим из нас. Иначе говоря, ез-дил в качестве статиста на съемку, за город, где в балаганном сарае, с мистическим писком 
закипали светом чудовищные фацеты фонарей, наведенных, как пушки, на мертвенно-яркую 
толпу статистов, палили в упор белым убийственным блеском, озаряя крашеный воск за-
стывших лиц, щелкнув, погасали, – но долго еще в этих сложных стеклах дотлевали красно-
ватые зори: – наш человеческий стыд. Сделка была совершена, и безымянные тени наши 
пущены по миру.","вигаясь, подобно парусу
В его теле постоянно играл огонь
словом – ахнуть, как говорили мы в юности
ослабла какая-то гайка
«как баба», страдает бессонницей
вошеломленный мыслью, что и сегодня придется надеть рубашку, носки, штаны, – всю эту потом пылью пропитанную дрянь, – и думал о цирковом пуделе, который выглядит в человеческих одеждах до ужаса, до тошноты жалким.
знал желтую темноту того раннего часа, когда едешь на фабрику
десять извилистых верст пробежишь с тарелкой в руке между столиков
брал на комиссию все, что подвернется, – и бублики, и бриллиантин и просто бриллианты
продавал свою тень
где в балаганном сарае, с мистическим писком 
закипали светом чудовищные фацеты фонарей, наведенных, как пушки, на мертвенно-яркую толпу статистов, палили в упор белым убийственным блеском, озаряя крашеный воск застывших лиц, щелкнув, погасали, – но долго еще в этих сложных стеклах дотлевали красноватые зори: – наш человеческий стыд
Сделка была совершена, и безымянные тени наши пущены по миру.",330,140,"42,42424242",13,"3,939393939"
10,Владимир Набоков,Машенька,,1926,художественный,"День-деньской кровать скользит в жаркое ветреное небо и, когда привстаешь, то ви-
дишь верхушки лип, круто прохваченные желтым солнцем, телефонные проволоки, на ко-
торые садятся стрижи, и часть деревянного навеса над мягкой красной дорогой перед па-
радным крыльцом. Оттуда доносятся изумительные звуки: щебетанье, далекий лай, скрип 
водокачки.
Лежишь, плывешь и думаешь о том, что скоро встанешь; и в солнечной луже играют 
мухи, и цветной моток шелка, как живой, спрыгивает с колен матери, сидящей подле, мягко 
катится по янтарному паркету…
В этой комнате, где в шестнадцать лет выздоравливал Ганин, и зародилось то счастье, 
тот женский образ, который, спустя месяц, он встретил наяву. В этом сотворении участво-
вало все, – и мягкие литографии на стенах, и щебет за окном, и коричневый лик Христа в 
киоте, и даже фонтанчик умывальника. Зарождавшийся образ стягивал, вбирал всю солнеч-
ную прелесть этой комнаты и, конечно, без нее он никогда бы не вырос. В конце концов это 
было просто юношеское предчувствие, сладкие туманы, но Ганину теперь казалось, что ни-
когда такого рода предчувствие не оправдывалось так совершенно. И целый день он пере-
ходил из садика в садик, из кафе в кафе, и его воспоминанье непрерывно летело вперед, как 
апрельские облака по нежному берлинскому небу. Люди, сидевшие в кафе, полагали, что у 
этого человека, так пристально глядящего перед собой, должно быть какое-нибудь глубокое 
горе, а на улице он в рассеяньи толкал встречных, и раз быстрый автомобиль затормозил и 
выругался, едва его не задев.
Он был богом, воссоздающим погибший мир. Он постепенно воскрешал этот мир, в 
угоду женщине, которую он еще не смел в него поместить, пока весь он не будет закончен. 
Но ее образ, ее присутствие, тень ее воспоминанья требовали того, чтобы наконец он и ее бы 
воскресил, – и он нарочно отодвигал ее образ, так как желал к нему подойти постепенно, 
шаг за шагом, точно так же как тогда, девять лет тому назад. Боясь спутаться, затеряться в 
светлом лабиринте памяти, он прежний путь свой воссоздавал осторожно, бережно, возвра-
щаясь иногда к забытой мелочи, но не забегая вперед. Блуждая в этот весенний вторник по 
Берлину, он и вправду выздоравливал, ощущал первое вставанье с пастели, слабость в ногах, 
смотрелся во все зеркала. Белье и одежды казались необыкновенно чистыми, просторными и немного чужими. Он медленно шел по широкой аллее, что вела от площадки дома в дебри 
парка. Там и сям вздувались на лиловатой от лиственной тени земле черные червистые 
холмики, – работа кротов. Он надел белые панталоны, сиреневые носки. Он мечтал встре-
тить кого-нибудь в парке, кого – он еще не знал.
","День-деньской
кровать скользит в жаркое ветреное небо и
верхушки лип, круто прохваченные желтым солнцем
Лежишь, плывешь
в солнечной луже
играют мухи
цветной моток шелка, как живой, спрыгивает с колен матери
мягко катится по янтарному паркету
зародилось то счастье, тот женский образ, который, спустя месяц, он встретил наяву
В этом сотворении участвовало все
Зарождавшийся образ стягивал, вбирал всю солнечную прелесть этой комнаты
без нее он никогда бы не вырос
юношеское предчувствие
сладкие туманы
не оправдывалось так совершенно
воспоминанье непрерывно летело вперед, как апрельские облака по нежному берлинскому небу
быстрый автомобиль затормозил и выругался
Он был богом, воссоздающим погибший мир. Он постепенно воскрешал этот мир, в угоду женщине, которую он еще не смел в него поместить, пока весь он не будет закончен.
ее образ, ее присутствие, тень ее воспоминанья требовали того, чтобы наконец он и ее бы воскресил
он нарочно отодвигал ее образ, так как желал к нему подойти постепенно, 
шаг за шагом
Боясь спутаться, затеряться в светлом лабиринте памяти
Белье и одежды казались необыкновенно чистыми, просторными и немного чужими.
дебри парка
Там и сям вздувались на лиловатой от лиственной тени земле черные червистые холмики
",400,160,40,26,"6,5"
