,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,author,source,link,year_of_creation,text_domen,original_text,idiomatic_expressions,literal_version,len_original,len_idioms,idiomatic_density,len_literal,grammar,fluency,naturalness,idiomacy,idiom_diversity,idiomatic_expressions_judge,level,len_idioms_judge,idiomatic_density_judge,bertscore_score,bleurt_score,comet_score,meteor_score,wmd_score,abstractness_score,sentiment,perplexity,coh_diff,word_freq_mean,word_freq_coverage
0,0,0,0,Андрей Белый,Петербург,,1913,художественный,"Над пустыми петербургскими улицами пролетали едва озаренные смутности; обрывки туч перегоняли друг друга.

Какое-то фосфорическое пятно и туманно, и мертвенно проносилось по небу; фосфорическим блеском протуманилась высь; и от этого проблистали железные крыши и трубы. Протекали тут зеленые воды Мойки; по одной ее стороне то же высилось все трехэтажное здание о пяти своих белых колоннах; наверху были выступы. Там, на светлом фоне светлого здания, медленно проходил Ее Величества кирасир; у него была золотая, блиставшая каска.

И серебряный голубь над каской распростер свои крылья.

Николай Аполлонович, надушенный и выбритый, пробирался по Мойке, запахнувшись в меха; голова упала в шинель, а глаза как-то чудно светились; в душе – поднимались там трепеты без названья; что-то жуткое, сладкое пело там: словно в нем самом разлетелся на части буревой эолов мешок и сыны нездешних порывов на свистящих бичах в странные, в непонятные страны угоняли жестоко.

Думал он: неужели и это – любовь? Вспомнил он: в одну туманную ночь, выбегая стремительно из того вон подъезда, он пустился бежать к чугунному петербургскому мосту, чтобы там, на мосту…

Вздрогнул он.

Пролетел сноп огня: придворная, черная пролетела карета: пронесла мимо светлых впадин оконных того самого дома ярко-красные свои, будто кровью налитые, фонари; на струе черной мойской фонари проиграли и проблистали; призрачный абрис треуголки лакея и абрис шинельных крыльев пролетели с огнем из тумана в туман.","пролетали едва озаренные смутности
обрывки туч перегоняли друг друга
фосфорическое пятно и туманно, и мертвенно проносилось по небу
фосфорическим блеском протуманилась высь
здание о пяти своих белых колоннах
серебряный голубь над каской распростер свои крылья
голова упала в шинель
глаза как-то чудно светились
в душе – поднимались там трепеты без названья
жуткое, сладкое пело там
разлетелся на части буревой эолов мешок и сыны нездешних порывов на свистящих бичах в странные, в непонятные страны угоняли жестоко
Пролетел сноп огня: придворная, черная пролетела карета
пронесла мимо светлых впадин оконных того самого дома ярко-красные свои, будто кровью налитые, фонари
фонари проиграли и проблистали
призрачный абрис треуголки лакея и абрис шинельных крыльев пролетели с огнем из тумана в туман","Над пустынными петербургскими улицами двигались слабо освещённые неясные очертания облаков; клочья облаков быстро сменялись одно другим.

Некий тусклый светящийся объект неопределённой формы перемещался по небу неясно и бесцветно; небо приобрело слабое сияние; от этого заблестели металлические крыши и дымовые трубы. Здесь протекала река Мойка зелёного цвета; вдоль одного берега располагалось трёхэтажное строение с пятью белыми колоннами; сверху выступали архитектурные элементы. На ярком фоне строения спокойно шёл солдат Её Величества в блестящем шлеме с позолотой.

На каске была серебряная фигурка голубя, расправившего крылья.

Николай Аполлонович, предварительно использовав парфюм и сбрив щетину, шел вдоль набережной реки Мойки, укрывшись меховым пальто; его голова находилась внутри воротника одежды, а глаза необычно отражали свет; внутри он испытывал волнения без определённого названия; ощущал нечто одновременно страшное и приятное: как будто внутри него возникло сильное внутреннее напряжение и какие-то необъяснимые чувства направляли его в неизвестные места.

Он размышлял: возможно ли, что это чувство является любовью? В памяти всплывало воспоминание: однажды ночью, покрытый туманом, быстро выйдя из указанного подъезда, он поспешил к чугунной петербургской переправе, намереваясь именно там...

Он ощутил дрожь.

Мимо пролетел пучок света: чёрная императорская повозка проследовала рядом с окнами хорошо освещенного дома, везя ярко-красные фонари; эти светильники отразили своё изображение на тёмной поверхности вод Мойки; расплывчатое очертание головного убора слуги и форма края верхней одежды промелькнули вместе со светом, появившись из туманной области и исчезнув в другой туманной зоне.",214,114,0.5327102803738317,224,5,5,5,2,5,"'едва озаренные смутности, фосфорическое пятно, проблистали железные крыши и трубы, протекали тут зелёные воды, бледно-белые колонны, золотые, блиставшие каски, ветер рвал из мешка бурю, её величество Кирасир, сыновья нездешних порывов, голенище снаряда, траурные огоньки, кортик бесшумной молнией'",2,37,0.1728971962616822,0.7118249535560608,0.2446944117546081,0.7480394244194031,0.2059559667889907,0.67470008821334,2.211705080423729,negative,20.8997859954834,-0.00478954,3.6172142857142857,0.9090909090909091
1,1,1,1,Андрей Белый,Петербург,,1913,художественный,"То место увенчивал великолепный дворец; вверх протянутой башнею напоминал он причудливый замок: розово-красный, тяжелокаменный! Не теперь это было, и венценосца того уже нет.

Розово-красный дворец выступал своим верхом из гущи безлистных суков; те суки протянулися к небу глухими порывами и, качаясь, ловили бегущие облака; каркая, вверх стрельнула ворона; взлетела, качалась над хлопьями; и — обратно низринулась.

Пролетка пересекала то место.

И конная статуя вычернялась неясно от площади; посетители Петербурга той статуе не уделяют внимания: великолепная статуя!

Своему великому прадеду соорудил эту статую самодержец; он жил в розовокаменном замке; не долго томился.

Вероятно, не раз появлялась курносая в белых локонах голова в амбразуре окна. И курносая в локонах голова дозирала пространства за стеклами; утопали глаза в розовеющих угасаниях неба, иль упирались в серебряную игру и в кипение месячных отблесков в густолиственных древесах; у подъезда стоял часовой в треуголке с полями и брал н а к а р а у л при проходе золотогрудого генерала в андреевской ленте к расписанной акварелью карете; и краснопламенный высился кучер с приподнятых козел; а на запятках — стояли губастые негры.

И Павел Петрович, окинувши взглядом все это, опять возвращался к сентиментальному разговору с кисейною фрейлиной; фрейлина улыбалась; обозначились лукавые ямочки, мушка.

В ту ночь разливалося лунное серебро, упадая на мебели императорской опочивальни, озолощая лукаво амурчика; на подушке уже вырисовывался профиль лежащего; где-то били куранты; и — намечались шаги... Не прошло трех мгновений — постель была смята: а простыни были теплы; почившего — не было; кучечка белокудерных офицеров с порывисто обнаженными шашками наклоняла главы к опустевшему ложу; в дверь сбоку ломились; и — плакался женский голос; рука розовогубого офицера приподняла оконную штору; и из-под спущенной кисеи, на окне, в серебре — прочернела дрожащая тень.

Где-то били куранты; а там, в отдалении, топотали шаги.","место увенчивал великолепный дворец
вверх протянутой башнею
те суки протянулися к небу глухими порывами и, качаясь, ловили бегущие облака
вверх стрельнула ворона; взлетела, качалась над хлопьями; и — обратно низринулась.
статуя вычернялась неясно от площади
в амбразуре окна
курносая в локонах голова дозирала
пространства за стеклами
утопали глаза в розовеющих угасаниях неба, иль упирались в серебряную игру и в кипение месячных отблесков в густолиственных древесах;
краснопламенный высился кучер
обозначились лукавые ямочки
разливалося лунное серебро, упадая на мебели императорской опочивальни, озолощая лукаво амурчика
вырисовывался профиль
намечались шаги
Не прошло трех мгновений
кучечка белокудерных офицеров с порывисто обнаженными шашками
и из-под спущенной кисеи, на окне, в серебре — прочернела дрожащая тень.
топотали шаги","На указанном месте располагался роскошный дворец; своей верхней частью, похожей на вытянутую башню, он напоминал странной формы замок: кирпично-розовый, массивный каменный. Это происходило давно, и сейчас монарха, жившего здесь тогда, больше нет.

Кирпично-розовый дворец возвышался среди голых ветвей деревьев; ветви тянулись вверх подобно тихим порывам ветра и колебались, словно пытаясь ухватить проплывавшие мимо облака; каркая, резко взметнулась вверх ворона; поднявшись высоко, она некоторое время парила над облаками, после чего снова стремительно спустилась вниз.

Экипаж проезжал через этот район.

Конная скульптура отчетливо выделялась на фоне площади; гости города редко обращают на неё внимание, хотя эта фигура величественна.

Сам монарх воздвигнул памятник своему знаменитому предку; он проживал во дворце красного кирпича; прожил недолго.

Возможно, неоднократно показывалась круглая белая голова с завитушками волос возле узкого проёма окна дворца. Человек внимательно смотрел сквозь стекло; взгляд либо терялся в мягких оттенках заката, либо фиксировался на серебристом мерцании отражённого света месяца среди густой листвы деревьев; у входа дежурил солдат в треугольной шляпе с полями и отдавал честь, когда золотой грудью генерал проходил мимо, направляясь к украшенной картинами повозке; рядом находился высокий возница, сидящий на высоком сиденье экипажа; сзади стояли черные слуги.

Павел Петрович вновь смотрел вокруг себя и возобновлял беседу с изнеженой фрейлиной, одетой в прозрачную ткань; дама улыбалась; на щеках стали заметны небольшие впадинки, родинка.

В ту ночь пространство заливал свет луны, освещавший предметы интерьера императорских покоев, блестевший даже на маленьком изображении купидона; на подушке уже ясно виднелась форма головы человека, лежавшего ранее; откуда-то раздавались удары часов; вскоре послышались чьи-то приближающиеся шаги… Прошло лишь несколько секунд — постель оказалась помятой: простыни ещё сохраняли тепло тела; покойника уже не было видно; группа молодых офицеров с обнажёнными саблями склонились над пустым изголовьем кровати; кто-то пытался открыть дверь; слышался плач женского голоса; бледнолицый офицер поднял край шторы; и за прозрачной тканью окна проявилось смутное очертание дрожащей тени.

Откуда-то доносились звуки боя часов; неподалёку звучали удаляющиеся шаги.",279,109,0.3906810035842294,307,5,5,5,2,5,"'вверх протянутой башнею, розово-красный, тяжеловеснокаменный, печально всплескивая крыльями, мрачные пальцы деревьев, пасмурно смотрит, летучие призраки зимы, вздохнул снег, вскрикнули сосульки, проснулась природа, белая стужа накрыла город, снежинки кружатся в вальсе, зимняя тишина молчаливо легла, звезды замерли в холодном небе'",2,39,0.1397849462365591,0.6998132467269897,0.2385382950305938,0.7260954976081848,0.1958338034051603,0.6603101912095789,2.288819077585366,negative,20.578968048095703,-0.0017707169,3.380526315789474,0.8592964824120602
2,2,2,2,Евгений Замятин,Мы,,1920,художественный,"Вечер. Легкий туман. Небо задернуто золотисто-молочной тканью и не видно: что там — дальше, выше. Древние знали, что там их величайший, скучающий скептик — Бог. Мы знаем, что там хрустально-синее, голое, непристойное ничто. Я теперь не знаю, что там: я слишком много узнал. Знание, абсолютно уверенное в том, что оно безошибочно, — это вера. У меня была твердая вера в себя, я верил, что знаю в себе все. И вот — —Я — перед зеркалом. И первый раз в жизни — именно так: первый раз в жизни — вижу себя ясно, отчетливо, сознательно — с изумлением вижу себя, как кого-то «его». Вот я — он: черные, прочерченные по прямой брови; и между ними — как шрам — вертикальная морщина (не знаю, была ли она раньше). Стальные, серые глаза, обведенные тенью бессонной ночи; и за этой сталью... оказывается, я никогда не знал, что там. И из «там» (это «там» одновременно и здесь, и бесконечно далеко) — из «там» я гляжу на себя — на него и твердо знаю: он — с прочерченными по прямой бровями — посторонний, чужой мне, я встретился с ним первый раз в жизни. А я настоящий — я — не он...Нет: точка. Все это — пустяки, и все эти нелепые ощущения — бред, результат вчерашнего отравления... Чем: глотком зеленого яда — или ею? Все равно. Я записываю это, только чтобы показать, как может странно запутаться и сбиться человеческий — такой точный и острый — разум. Тот разум, который даже эту, пугавшую древних, бесконечность сумел сделать удобоваримой — посредством...Щелк нумератора — и цифры: R-13. Пусть, я даже рад: сейчас одному мне было бы...","Небо задернуто золотисто-молочной тканью
скучающий скептик — Бог
голое, непристойное ничто
черные, прочерченные по прямой брови
между ними — как шрам — вертикальная морщина
Стальные, серые глаза, обведенные тенью бессонной ночи
за этой сталью...
это «там» одновременно и здесь, и бесконечно далеко
с прочерченными по прямой бровями
глотком зеленого яда — или ею
как может странно запутаться и сбиться человеческий — такой точный и острый — разум","Вечер. Легкая дымка. Туман скрывает небо, нельзя увидеть, что находится выше. В древности полагали, что над облаками обитает главный бог, равнодушный наблюдатель всего происходящего. Сейчас известно, что выше облаков лишь прозрачная синева и пустота космоса. Теперь же я теряюсь в догадках относительно того, что скрывается за пределами видимости, поскольку получил много новых знаний. Полностью убежденное знание эквивалентно верованию. Раньше я был уверен в своей правоте во всём касающемся меня самого. Однако теперь впервые осознаю своё отражение в зеркале совершенно ясно и отчётливо. Впервые внимательно смотрю на собственное лицо и удивлённо воспринимаю себя словно другого человека. Передо мной человек с чёрными ровными бровями и вертикальной морщиной меж ними (раньше я не замечал её). Серые глаза имеют стальной оттенок, под ними темные круги от бессонницы. По моему взгляду не видны мои настоящие чувства и переживания, и ранее я их не понимал. Оттуда же, изнутри сознания, смотрящего на моё изображение, появляется твёрдое убеждение, что этот отражённый мужчина чужд мне самому, мы я вижу его впервые. Настоящий же я — другой. Нет смысла продолжать размышления: всё перечисленное бессмысленно и является результатом недавних неприятных переживаний после употребления отравляющего вещества накануне вечером. Неважно какого именно. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться логичный человеческий разум. Разум, способный объяснить непонятную древним бескрайнюю даль, представить её понятной и доступной — благодаря использованию числовых обозначений. R-13. К слову, я доволен его приходом: мне бы не хотелось сейчас оставаться одному.",241,61,0.2531120331950207,232,5,5,5,2,5,"'легкий туман, небеса задернуты тканью, скучающий скептик, непристойное ничто, абсолютно уверенный, твердая вера, увидел ясно и отчетливо, гляжу на себя, прочерченные по прямой брови, взглянул на себя впервые, взгляд из ""там"", глоток зелёного яда, путаница разума, удобный бесконечности'",1,38,0.1576763485477178,0.6937927603721619,0.2415210902690887,0.8151361346244812,0.1721502725078366,0.6861499437438998,3.2715262026578946,positive,15.856841087341309,0.00028021357,4.225491803278689,0.976
3,3,3,3,Евгений Замятин,Мы,,1920,художественный,"Она была в фантастическом костюме древней эпохи: плотно облегающее черное платье, остро подчеркнуто белое открытых плечей и груди, и эта теплая, колыхающаяся от дыхания тень между... и ослепительные, почти злые зубы...
Улыбка — укус, сюда — вниз. Села, заиграла. Дикое, судорожное, пестрое, как вся тогдашняя их жизнь, — ни тени разумной механичности. И, конечно, они, кругом меня, правы: все смеются. Только немногие... но почему же и я — я?
Да, эпилепсия — душевная болезнь — боль... Медленная, сладкая боль — укус — и чтобы еще глубже, еще больнее. И вот, медленно — солнце. Не наше, не это голубовато-хрустальное и равномерное сквозь стеклянные кирпичи — нет: дикое, несущееся, опаляющее солнце — долой все с себя — все в мелкие клочья.
Сидевший рядом со мной покосился влево — на меня — и хихикнул. Почему-то очень отчетливо запомнилось: я увидел — на губах у него выскочил микроскопический слюнный пузырек и лопнул. Этот пузырек отрезвил меня. Я — снова я.
Как и все — я слышал только нелепую, суетливую трескотню струн. Я смеялся. Стало легко и просто. Талантливый фонолектор слишком живо изобразил нам эту дикую эпоху — вот и все.
С каким наслаждением я слушал затем нашу теперешнюю музыку. (Она продемонстрирована была в конце — для контраста.) Хрустальные хроматические ступени сходящихся и расходящихся бесконечных рядов — и суммирующие аккорды формул Тэйлора, Маклорена; целотонные, квадратно-грузные ходы Пифагоровых штанов; грустные мелодии затухающе-колебательного движения; переменяющиеся фраунгоферовыми линиями пауз яркие такты — спектральный анализ планет... Какое величие! Какая незыблемая закономерность! И как жалка своевольная, ничем — кроме диких фантазий — не ограниченная музыка древних...
Как обычно, стройными рядами, по четыре, через широкие двери все выходили из аудиториума. Мимо мелькнула знакомая двояко-изогнутая фигура; я почтительно поклонился.","остро подчеркнуто белое открытых плечей и груди
теплая, колыхающаяся от дыхания тень между
ослепительные, почти злые зубы
Улыбка — укус
Села, заиграла. Дикое, судорожное, пестрое, как вся тогдашняя их жизнь, — ни тени разумной механичности.
все смеются. Только немногие... но почему же и я — я?
Да, эпилепсия — душевная болезнь — боль... Медленная, сладкая боль — укус — и чтобы еще глубже, еще больнее. И вот, медленно — солнце. Не наше, не это голубовато-хрустальное и равномерное сквозь стеклянные кирпичи — нет: дикое, несущееся, опаляющее солнце — долой все с себя — все в мелкие клочья.
суетливую трескотню струн
слишком живо изобразил нам эту дикую эпоху
Хрустальные хроматические ступени сходящихся и расходящихся бесконечных рядов — и суммирующие аккорды формул Тэйлора, Маклорена; целотонные, квадратно-грузные ходы Пифагоровых штанов; грустные мелодии затухающе-колебательного движения; переменяющиеся фраунгоферовыми линиями пауз яркие такты — спектральный анализ планет...
незыблемая закономерность
И как жалка своевольная, ничем — кроме диких фантазий — не ограниченная музыка древних...
двояко-изогнутая фигура","Она была одета в костюм древнего стиля: тесное чёрное платье подчёркивало белизну обнажённых плеч и груди, а также выделяло светлые зубы, казавшиеся чрезмерно яркими.
Женщина села и начала играть. Её исполнение отличалось хаотичностью и нервозностью, отражавшими характер той эпохи, когда она жила. Она играла беспорядочно, без какой-либо структурированности. Остальные вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения, и я тоже задумался над причиной своего смеха.
Эпилепсия является психическим заболеванием, вызывающим страдания. Боль возникает постепенно, усиливаясь и становясь всё интенсивнее. Постепенно приходит осознание болезненности происходящего. Затем появилось ощущение солнечного света, яркого и сильного, резко отличающегося от обычного спокойного освещения. Это чувство заставило снять одежду и разорвать её на куски.
Человек, сидящий рядом со мной, посмотрел в мою сторону и усмехнулся. Запомнилось одно обстоятельство: я заметил маленький пузырь слюны, появившийся и тут же исчезнувший на его губах. Наблюдение этого явления вернуло мне ясность сознания.
Подобно остальным, я воспринимал лишь бессмысленный шум струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей.
После прослушала я современную музыку, демонстрируемую специально для сопоставления с предыдущей. Удовольствие доставляли чёткость структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов.
Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек, имевший необычную фигуру, выгнутую в двух направлениях одновременно; я уважительно приветствовал его кивком головы.",254,143,0.562992125984252,255,5,5,5,2,5,"'улыбка — укус, медленная, сладкая боль — укус, хрустальные хроматические ступени сходящихся и расходящихся бесконечных рядов, суммирующие аккорды формул Тейлора, Маклорена, целотонные, квадратно-грузные ходы Пифагоровых штанов, грустные мелодии затухающе-колебательного движения, переменяющиеся фраунгоферовыми линиями пауз яркие такты — спектральный анализ планет'",2,37,0.1456692913385826,0.6555854082107544,0.2130674868822097,0.777736246585846,0.1663183954625535,0.6722386824542753,2.8715835114181814,positive,17.93146324157715,-0.0003505711,3.689397590361446,0.9378531073446328
4,4,4,4,Федор Сологуб,Мелкий бес,,1902,художественный,"Все это Рутилов говорил, по обыкновению своему, быстро и весело, улыбаясь, но он, 
высокий, узкогрудый, казался чахлым и хрупким, и из-под шляпы его, новой и модной, 
как-то жалко торчали жидкие, коротко остриженные светлые волосы.
– Ну, уж и втрое, – вяло возразил Передонов, снимая и протирая золотые очки.
– Да уж верно! – воскликнул Рутилов. – Смотри, не зевай, пока я жив, а то они у меня 
тоже с гонором, – потом захочешь, да поздно будет. А только из них каждая за тебя с 
превеликим удовольствием пойдет.
– Да, в меня здесь все влюбляются, – с угрюмым самохвальством сказал Передонов.
– Ну, вот видишь, вот ты и лови момент, – убеждал Рутилов.
– Мне бы, главное, не хотелось, чтобы она была сухопарая, – с тоскою в голосе сказал 
Передонов. – Жирненькую бы мне.
– Да уж на этот счет ты не беспокойся, – горячо говорил Рутилов. – Они и теперь 
барышни пухленькие, а если не совсем вошли в объем, так это только до поры до времени. 
Выйдут замуж, и они раздобреют, как старшая. Лариса-то у нас, сам знаешь, какая кулебяка 
стала.
– Я бы женился, – сказал Передонов, – да боюсь, что Варя большой скандал устроит.
– Боишься скандала, так ты вот что сделай, – с хитрою улыбкою сказал Рутилов: –
сегодня же венчайся, не то завтра: домой явишься с молодой женой, и вся недолга. Правда, 
хочешь, я это сварганю, завтра же вечером? С какою хочешь?
Передонов внезапно захохотал, отрывисто и громко.
– Ну, идет? по рукам, что ли? – спросил Рутилов.
Передонов так же внезапно перестал смеяться и угрюмо сказал, тихо, почти шопотом:
– Донесет, мерзавка.
– Ничего не донесет, нечего доносить, – убеждал Рутилов.
– Или отравит, – боязливо шептал Передонов.
– Да уж ты во всем на меня положись, – горячо уговаривал его Рутилов, – я все так 
тонко обстрою тебе…
– Я без приданого не женюсь, – сердито крикнул Передонов.
Рутилова нисколько не удивил новый скачок в мыслях его угрюмого собеседника. Он 
возразил все с тем же одушевлением:
– Чудак, да разве они бесприданницы! Ну, что же, идет, что ли? Ну, я побегу, все 
устрою. Только чур, никому ни гу-гу, слышишь, никому!
Он потряс руку Передонова и побежал от него. Передонов молча смотрел за ним. 
Барышни Рутиловы припомнились ему, веселые, насмешливые. Нескромная мысль выдавила 
на его губы поганое подобие улыбки, – оно появилось на миг и исчезло. Смутное 
беспокойство поднялось в нем.","казался чахлым и хрупким
жалко торчали жидкие, коротко остриженные светлые волосы
они у меня тоже с гонором
в меня здесь все влюбляются
лови момент
не совсем вошли в объем
до поры до времени
раздобреют
какая кулебяка стала
и вся недолга
я это сварганю
по рукам, что ли?
я все так тонко обстрою тебе
скачок в мыслях
ни гу-гу
Нескромная мысль выдавила на его губы поганое подобие улыбки, – оно появилось на миг и исчезло.
Смутное беспокойство поднялось в нем","Всё это Рутилов произносил, как обычно, бодрым голосом и оживлённо, улыбаясь, однако он был худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светлые коротко стриженые волосы.
– Ну, разве же втрое!  – слабо возразил Передонов, снимая и вытирая золотые очки.
– Но это же правда! – вскричал Рутилов. – Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя.
– Здесь действительно многие испытывают ко мне симпатию, – угрюмо похвалился Передонов.
– Вот видишь, значит используй ситуацию, – советовал Рутилов.
– Самое важное для меня, чтобы девушка не была худощавой, – с грустью в голосе сказал Передонов. – Лучше пусть будет полной.
– Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису.
– Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт.
– Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: – сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку.
Передонов неожиданно начал громко и резко смеяться.
– Значит, соглашаешься? Заключаем сделку? – поинтересовался Рутилов.
Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом:
– Она расскажет обо всём, эта негодяйка.
– Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдёт, – успокаивал Рутилов.
– Или отравит, – испуганно бормотал Передонов.
– Просто доверься мне во всех вопросах, – убедительно настаивал Рутилов, – я обеспечу всё аккуратно и продуманно.
– Без приданого я вступать в брак не намерен, – раздражённо выкрикнул Передонов.
Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно:
– Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?
Рутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему весёлыми и насмешливыми. Непристойная мысль вызвала мимолетную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги.",360,78,0.2166666666666666,363,5,5,5,2,5,"'быстро и весело, жалко торчали, вяло возразил, ухватился за возможность, вон какой красавчик стал, не зевай, поймать момент, пока живой, женщина с гонором, каждой за тебя с превеликим удовольствием пошла бы, сейчас ты лови момент, боится скандала, выход замуж, раздобреют, стали кулебякой, молодая жена, никто ничего не узнает, не донёсёт, никого не убьет, без приданого не женюсь, взялся устроить свадьбу'",1,60,0.1666666666666666,0.7659617066383362,0.2315120995044708,0.8276224732398987,0.2856626429928771,0.7183116592843637,3.0582825291463416,neutral,10.05057430267334,-0.0032574493,3.791027027027027,0.9068627450980392
