,index,idiomatic_version
0,0,"text='Слегка просветленные неясными очертаниями облаков, слабо освещенные петербургские улицы напоминали живописный рисунок на фоне неба. Каждое новое кусочко тьмы на небосклоне быстро сменивалось другим — будто гладкие слоями краски, покрываясь разными тонахами. Внезапно светлый пятнышко в сером сиянии отчего-то расплескалось как будто бы танцевал по небосклону: оно перемещалось неясным и бесцветным танец, а вместе с этим — светлые отблески металлических крыш и дымовых труб тоже начали вспыхивать. Вот здесь протекала зелёная Мойка; справа от неё стояло строение с пятью белыми колоннами, а сверху его украшали архитектурные элементы. Вдали на фоне воротника его головы и лица ясно были видны очертания солдата Её Величества: в блестящем шлеме он стоял, словно носитель легендарного голубя, раскрывшего крылья. Вот и Николай Аполлонович, предварительно выспавшись и отрастил себе щетину — укрылся шубой на набережной: его лицо скрывалось внутри воротника одежды, а глаза пылали как лампы, необычно светясь под угасанием солнца. Внутри его бурлило что-то непонятное и тревожное, словно он был заперт внутри собственного страха или волны любви; то ощущалось жуткое напряжение за пределами, но там же — приятные муки. Вдруг Николай Аполлонович почувствовал дрожь — как будто таинственный голубиный голос унес его в неизвестность. Вдруг он ощутил пронзительное пятнышко света, приближавшегося к окнам освещенного дома: черная повозка с яркими фонариками проследовала рядом и отразила своё изображение на воде Мойки, а вместе со светом — тонкие очертания лица слуги и форма верхней одежды. Это было как греза, прокатившаяся между облачными вихрями, словно его собственный сон был вырван из глубины души на поверхность.' ratio=0.1"
1,1,"text='Роскошный дворец, похожий на вытянутую башню и странной формы замок, возвышался среди безлистных деревьев. Его кирпично-розовый, массивный каменный облик напоминал древний величественый римский монумент. Ветви тянулись вверх подобно тихим порывам ветра и колебались, словно пытаясь ухватить облака; каркая, резко взметнулась вверх ворона; поднявшись высоко, она некоторое время парила над облаками, после чего снова стремительно спустилась вниз. В этот район проехал экипаж. Конная скульптура отчетливо выделялась на фоне площади и была мало замечена гостями города; она была величественна и могла служить напоминанием о времённой власти монарха. Монарх воздвиг памятник своему знаменитому предку в красном кирпиче, где прожил недолго. Возможно, неоднократно показывалась круглая белая голова с завитушками волос возле узкого проёма окна; человек внимательно смотрел сквозь стекло. Даже маленький изображение купидона на подушке отражал свет луны, освещавший интерьер императорских покоев и давая видимость формы тела покойника. В ту ночь пространство заливало свет луны, освещая предметы интерьера. Откуда-то доносились звуки боя часов; неподалёку удалялись шаги гостей и офицеров.' ratio=0.12"
2,2,"text='Вечер. Легкая дымка скрывает небо от любых созвездий. Туман тянется к горизонту, словно облака, а они в свою очередь скрывают главного бога-зрительчика древних времен — равнодушного наблюдателя всего происходящего на Земле и далее. Теперь знаем только о прозрачной синеве и пустоте космоса, где нет ни богов, ни звёзд. Я опускаюсь в тени догадок: что за мрачным полумраком прячется надлежащее? Сначала я был убеждён в своей правоте, теперь же понимаю, что даже собственное отражение — это кто-то другой. Даже морщина между моими черными ровными бровями стала заметной только сейчас. Серые глаза с металлическим блеском сверкают под темными кругами от усталости ночного светила. Наслаждаясь прозрачностью тела, я не поймал ни капли моих настоящих чувств и переживаний — их раньше мне и не хотелось знать. Внутренний зритель, осматривающий мое отражение, считает этим бессмысленным и непонятным образом того, кто я есть на самом деле. Теперь я осознаю свою внешность как зеркальный отсвет другого существа, которого я не могу понять и с которым впервые знаком. Весь этот процесс — результат недавних переживаний после употребления отравляющего вещества. Время показало: разум человеков способен верить бескрайней даль без числовых обозначений, лишь представив её, как бы издалека. И всё это время я сам не замечал этот мистический процесс в себе. Вечерние тени оставили меня один в кромешной тьме мыслей и восприаниях.' ratio=0.7"
3,3,"text='Она была обута в костюм древнего стиля: чёрное тесное платье подчёркивало белизну её обнажённых плеч и грудей, а также выделяло светлые зубы, словно яркое солнце на фоне затенённого дня. Женщина села и начала играть, исполняя таинственную музыку, где хаос отражался в её исполнении и ритме нервозности эпохи, когда она жила. Она играла беспорядочно, без структуры или закономерности. Остальные вокруг были согласны друг с другом и весело смеялись, но некоторые из присутствующих испытывали сомнения — даже я задумался над причиной своего смеха.' ratio=0.98"
4,4,"text='Всё это произносил Рутилов, как обычно, бодрым голосом и с живостью, освещаясь улыбкой, однако он был худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светлые коротко стриженные волосы. — Ну, разве же втрое! — слабо возразил Передонов, снимая и вытирая золотые очки. — Но это же правда! — вскричал Рутилов, подняв голос. — Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя. — Здесь действительно многие испытывают ко мне симпатию, — угрюмо похвалился Передонов. — Вот видишь, значит используй ситуацию, — советовал Рутилов. — Самое важное для меня, чтобы девушка не была худощавой, — с грустью в голосе сказал Передонов. — Лучше пусть будет полной. — Тебе совершенно не стоит волноваться по этому поводу, — энергично уверял Рутилов. — Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису. — Я бы хотел вступить в брак, — сказал Передонов, однако испугался, что моя жена Варя устроит крупный конфликт. — Поскольку боишься конфликта, поступи так, — предложил Рутилов с лукавой улыбкой: — сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку. Передонов внезапно начал громко и резко смеяться. — Значит, соглашаешься? Заключаем сделку? — поинтересовался Рутилов. Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом: — Она расскажет обо всём, эта негодяйка. — Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдёт, — успокаивал Рутилов. — Или отравит, — испуганно бормотал Передонов. — Просто доверься мне во всех вопросах, — убедительно настаивал Рутилов, — я обеспечу всё аккуратно и продуманно. — Без приданого я вступать в брак не намерен, — раздражённо выкрикнул Передонов. Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: — Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?. Рутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему весёлыми и насмешливыми. Непристойная мысль вызвала мимолетную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги.' ratio=38.0"
5,5,"text='Вспоминаю простую, непритязательную ситуацию из жизни и превращаю её в привлекательную историю. Я поэт, мой долг - создать красивую и увлекательную ткань событий для тебя. Времена и случайности определяют течение событий, но лучше начинать с человеческих аспектов, которые вызывают восхищение или эстетическое удовольствие. Красивыми качествами человека являются здоровье, юность и жизнерадостность, красивыми явлениями природы - прозрачная вода, солнечный свет и теплое время года. Был летний день, ясный и жаркий, где река Скородень зеркально отражала яркое солнце. Прозрачные воды, яркий свет и юное лето создавали атмосферу радости благодаря теплу солнца и открытому пространству, дуновению ветра издалека, птичьим свисткам и двух красивых девушек - Елизавете и Елене. Они купались в этой реке, которая принадлежала их родственнице-владелице, находясь на обширном садовом участке дома её хозяина. Несмотря ни на что, они чувствовали себя главами своей воды и песчаного берега, играя в воде с уверенностью владелиц. Человек не знает границ власти, но те, кто уверенно знает свои права, являются счастливыми.' ratio=0.05"
6,6,"text='Дом поселился на краю городка, в районе известном как Расчески. Здесь стоят длинные многоквартирные здания, выстроенные параллельными рядами с интервалами между собой — это бетонные дворики, где юные местные жители любят играть. Здания белые и украшены множеством окон, каждый из них смотрится одинаково. Между домами раскиданы пустующие земли, окружённые заборами, за которыми прячутся стены разрушенных строений, на которых больше всего внимание обращают дети. Вокруг этого района расположился отдельный дом известный как Серый — старое сооружение, утратившее привычное для нас внешнее обличье и теперь похожее на кусочек старого городка, лишь снаружи покрытый серым цветом, а внутри — желтым. Рядом стоят гаражи, подсобные помещения и контейнеры для мусора, за которыми заботливо хранятся будки для собак. Весь двор выглядит так, словно туда уже никто не заглядывал долгое время: забралась грязь на стены и крышу покрыты антенной и кабелями. Передняя часть фасада пребывает в изоляции от красоты — мрачный и молчаливый полотенец, обволакивающий дом в тени.' ratio=7.0"
7,7,"text='Оказалось, что каждый стремящийся обратить на себя внимание человек становится эгоистичным существом с негативными качествами, способным совершать любые поступки и переоценивать собственные достоинства. Действительно он почти не значим. Такая же картина всплыла в рассказе о птице, желавшей казаться лучше самой себя, или стихотворении о животном, утонувшем из-за своей невнимательности. Сип решил написать ещё одну песню подобного содержания — но теперь уже никто не слушал его. Лицо Сипа исказилось от гнева, и он заплакал, прикрывая рукой рот. Его поблагодарили за выступление, дали салфетку, чтобы укрыть книгу и предложили другому ученику продолжить его выступление.' ratio=0.07"
8,8,"text='Недавно он был бодрым и энергичным человеком, подобно золотому шару — словно парус. Он с легкостью стоял на руках, поднимая тело вверх ногами, и плавно перемещался по комнате, словно гибкий артист в фантастическом спектакле. При его зубах мог быть поднят даже самый прочный стул, когда сила мышц рук была на высоте. Его тело бурлило энергией — желанием прыгнуть через ограду, рухнуть на столб или совершить что-то невероятное для молодости. Теперь же изменилось все: словно механизм слегка испортился. Он начал сутулиться и признался другу Подтягину в бессоннице — как будто ночью накануне понедельника он провел двадцать минут в компании непристойного человека, находящегося в остановившемся лифте. Утро следующего дня началось тяжело: долгое время сидел голым, держа вытянутые руки между коленами — пораженный осознанием необходимости накинуть рубаху, носки и брюки, извращенных вещей, которые пахли потом и грязью, казавшимися непривычными. Это вызывало воспоминание о цыганском пуделе в человеческой одежде — ужасающе жалко выглядящем существе. Частично апатия объяснялась отсутствием работы: за прошедшие зимние месяцы удалось скопить небольшую сумму денег, оставив около двухсот марок. В предыдущем году, находясь в Берлине, он быстро устроился на работу и продолжил трудиться до января, испытывая тяжесть утренних поездок на завод и боль в ногах после десяти километров беготни с подносом. Также занимался посредничеством: предлагал любые товары — будь то баранки, средство для укладки волос или драгоценности. Он не отвергал ничего и зарабатывал продажей собственной тени, как многие из нас. В конце концов, после завершения съемок контракта сумма расходовалась — все это было частью глобальной игры киносъемок за городом, где ярко освещали лица статистов прожекторами, создавая ощущение дискомфорта и стыда.' ratio=7.0"
9,9,"text='Целый день лежишь неподвижно на кровати — будто движешься вверх к ясному солнечному небу, приподнявшись и видя кроны деревьев, ярко освещённые жёлтым светом солнца. Тонкие провода становятся местом отдыха птиц, а деревянный навес над дорожкой радостно красного цвета напоминает о парадном входе. Издали слышатся приятные звуки природы: пение птиц, отдалённый собачий лай, поскрипывание водяного насоса. Лежишь неподвижно, погружён в размышления о предстоящем подъёме. В твоих глазах мерцает солнечные блики, движущиеся по поверхности стола. Позже ты видел этот образ счастья и девушки в реальности, когда Ганин находился на выздоровлении в возрасте шестнадцати лет, в данной комнате. Именно здесь, в этой комнате, сформировался он, благодаря совокупности факторов окружающей обстановки: картинам на стенах, звукам природы за окном, изображению Хрина в киоте, журчащей воде в раковине. Частью развивающегося образа стала атмосфера солнечного света в помещении — без её воздействия такой образ не мог бы появиться. По сути, это были лишь обычные ощущения юности, мечтательные переживания, однако теперь Ганину представлялось, что такое совпадение мыслей и действительности ранее не происходило столь идеально. Целый день он переходил из одного сада в другой, посещал различные кафе, и воспоминания постоянно увлекали его вперёд — как движущиеся облака в небе весны в Берлине. Посетители кафе думали, что мужчина, внимательно смотрящий вдаль, переживает какую-то глубокую печаль, а на улицах он случайно сталкивался с прохожими, один раз водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись с ним. Ганин чувствовал себя творцом, восстанавливающим утраченный мир. Постепенно он возвращал детали исчезнувшего мира ради той женщины, которой ещё не решился придать место в нем, пока восстановление не завершится целиком. Однако мысль о ней, ощущение её присутствия, почти забытое воспоминание прошлых впечатлений вынуждали его завершить создание образа окончательно, хотя он сознательно откладывал появление этого образа — поскольку хотел приблизиться к нему поэтапно, следуя определённой последовательности шагов. Стараясь избежать путаницы среди ярких образов прошлого, он аккуратно реконструировал события своей жизни, иногда останавливаясь на незначительных деталях, избегая преждевременного перехода к последующим этапам. Бродя по Берлину тёплым майским днём, он действительно выздоравливал физически — испытывал первые признаки восстановления после болезни, слабость в ногах, рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой, свободной и слегка непривычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал небольшие земляные бугорки чёрного цвета, образовавшиеся в результате деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки. У него была мечта встретить кого-либо в парке — но конкретного представления о том, кто именно должен встретиться, у него не было.' ratio=38.0"
