index_orig,text,ratio,level,model,size,grammar,fluency,naturalness,idiomacy,idiom_diversity,idiomatic_expressions,len_generated,len_idioms,idiomatic_density,literal_version,original_text,bertscore_score,bleurt_score,comet_score,meteor_score,wmd_score
0,"'Совершенно непохожее явление в тёмных улицах Петербурга, где мерцали непонятные фигуры облаков, которые быстро сменялись друг другом. В небе висел тусклый, бесцветный объект, который казался неопределённой формы и двигался невидимкой рукой. Небо затемнелось, но оно было ещё светло; металлические крыши и дымовые трубы покаялись в тусклом свете, а река Мойка протекала зелёной волной. По берегу размещалось величественное триэтажное здание с пятью белыми колоннами и архитектурными деталями, которые выступали на ярком фоне. По центру здания гулял солдат в блестящем шлеме с позолотой, а на его каске висела серебряная фигурка голубя, расправившего крылья. \n\nНиколай Аполлонович, осыпавшись парфюмом и оставшись без щетины, шёл вдоль зелёной волны Мойки, завернувшись меховым пальто; его лицо было скрыто воротником, а глаза казались туманными. Внутри него происходили беспорядочные чувства без определённого наименования, как будто внутри него возникло сильное внутреннее напряжение и непознанные эмоции указывали ему путь в неизвестную землю. \n\nОн задумывался: может ли это чувство быть любовью? В его памяти встал воспоминание: однажды ночью, покрытый туманом, он вышел из указанного подъезда и спешил к чёрной императорской карете. \n\nОн ощутил дрожь.\n\nПоднялся пучок света: чёрная императорская повозка проследовала мимо, таская ярко-красные фонари; эти светильники отразили своё изображение на тёмной поверхности воды Мойки, а расплывчатые очертания головы слуги и края верхней одежды промелькнули вместе с пучком света, появившись из туманной области и исчезнув в другой. \n\nВозможно ли, что его непонятные чувства являются любовью?'",45.93,2,mistral,7b,5.0,5.0,5.0,2.0,5.0,"'мерцали непонятные фигуры облаков, двигался невидимой рукой, лица были скрыты воротником, глаза казались туманными, беспорядок чувств без определения, возникшее сильное внутреннее напряжение, неопознанные эмоции указывают путь, загадочное чувство любви, восставшие воспоминания, ощущение дрожи, поднялась струя света, яркие красные фонари отражаются в воде, очертания мелькали, неясные границы между светом и тьмой'",222,50,0.2252252252252252,"Над пустынными петербургскими улицами двигались слабо освещённые неясные очертания облаков; клочья облаков быстро сменялись одно другим.

Некий тусклый светящийся объект неопределённой формы перемещался по небу неясно и бесцветно; небо приобрело слабое сияние; от этого заблестели металлические крыши и дымовые трубы. Здесь протекала река Мойка зелёного цвета; вдоль одного берега располагалось трёхэтажное строение с пятью белыми колоннами; сверху выступали архитектурные элементы. На ярком фоне строения спокойно шёл солдат Её Величества в блестящем шлеме с позолотой.

На каске была серебряная фигурка голубя, расправившего крылья.

Николай Аполлонович, предварительно использовав парфюм и сбрив щетину, шел вдоль набережной реки Мойки, укрывшись меховым пальто; его голова находилась внутри воротника одежды, а глаза необычно отражали свет; внутри он испытывал волнения без определённого названия; ощущал нечто одновременно страшное и приятное: как будто внутри него возникло сильное внутреннее напряжение и какие-то необъяснимые чувства направляли его в неизвестные места.

Он размышлял: возможно ли, что это чувство является любовью? В памяти всплывало воспоминание: однажды ночью, покрытый туманом, быстро выйдя из указанного подъезда, он поспешил к чугунной петербургской переправе, намереваясь именно там...

Он ощутил дрожь.

Мимо пролетел пучок света: чёрная императорская повозка проследовала рядом с окнами хорошо освещенного дома, везя ярко-красные фонари; эти светильники отразили своё изображение на тёмной поверхности вод Мойки; расплывчатое очертание головного убора слуги и форма края верхней одежды промелькнули вместе со светом, появившись из туманной области и исчезнув в другой туманной зоне.","Над пустыми петербургскими улицами пролетали едва озаренные смутности; обрывки туч перегоняли друг друга.

Какое-то фосфорическое пятно и туманно, и мертвенно проносилось по небу; фосфорическим блеском протуманилась высь; и от этого проблистали железные крыши и трубы. Протекали тут зеленые воды Мойки; по одной ее стороне то же высилось все трехэтажное здание о пяти своих белых колоннах; наверху были выступы. Там, на светлом фоне светлого здания, медленно проходил Ее Величества кирасир; у него была золотая, блиставшая каска.

И серебряный голубь над каской распростер свои крылья.

Николай Аполлонович, надушенный и выбритый, пробирался по Мойке, запахнувшись в меха; голова упала в шинель, а глаза как-то чудно светились; в душе – поднимались там трепеты без названья; что-то жуткое, сладкое пело там: словно в нем самом разлетелся на части буревой эолов мешок и сыны нездешних порывов на свистящих бичах в странные, в непонятные страны угоняли жестоко.

Думал он: неужели и это – любовь? Вспомнил он: в одну туманную ночь, выбегая стремительно из того вон подъезда, он пустился бежать к чугунному петербургскому мосту, чтобы там, на мосту…

Вздрогнул он.

Пролетел сноп огня: придворная, черная пролетела карета: пронесла мимо светлых впадин оконных того самого дома ярко-красные свои, будто кровью налитые, фонари; на струе черной мойской фонари проиграли и проблистали; призрачный абрис треуголки лакея и абрис шинельных крыльев пролетели с огнем из тумана в туман.",0.8112446665763855,0.3292365074157715,0.8372822999954224,0.5053931217415165,0.772576984262066
1,"'Видны следы великолепного дворца, напоминающего башню в форме, странной для глаз; его кирпично-розовый камень покрыт временем, а власть, жившая здесь раньше, ушла. Дворец возвышается среди голых деревьев, как корона ветров; их ветви поднимаются к небу, как пытающиеся захватить облака, колеблятся и качаются, а вороны, летят высоко над облаками, словно играя со звездами. В этом районе проезжал конный экипаж. На площади стоит конная статуя, которую горожане не замечают часто; она величественна как горная вершина. Сам монарх воздвиг памятник своему предку, который прожил в красном кирпичном дворце только короткое время. Возможно, в окне дворца висели круглая белая голова с завитушками, словно охранник зимнего леса. Здесь происходили беседы между Павлом Петровичем и изнеженной фрейлиной в прозрачной ткани; девушка улыбалась и имела родинку на щеках. Вечер свет луны, блестевший даже на миниатюрном изображении купидона внутри интерьера императорских покоев; там было видно тело человека, лежавшего ранее. Удары часов доносились откуда-то, а скоро стали слышны шаги к постели — всего несколько секунд и она была помята, горячие простыни сохраняли тепло тела; тело исчезло; молодые офицеры с открытыми саблями наклонились над пустой постелью. Слышался плач женского голоса; бледнолицый офицер поднял край шторы и увидел сквозь прозрачную ткань окна смутное очертание дрожащей тени.'",38.0,2,mistral,7b,5.0,5.0,5.0,2.0,5.0,"'следы великолепного дворца, башня в форме странной для глаз, покрытый временем, корона ветров, ветви поднимаются к небу пытаясь захватить облака, колеблются и качаются, вороны играют со звёздами, конный экипаж проехал мимо, городская площадь, конная статуя, горожане не замечают её часто, величественная гора, памятник предку, красный кирпичный дворец, круглая белая голова, охранник зимнего леса, беседа Павла Петровича и фрейлины, девушка улыбнулась и имела родинку на щеке, вечерний лунный свет, блеск на миниатюре Купидона, тело лежит в интерьере императорской спальни, удары часов, приближение шагов к постели, постель быстро стала помятой, тёплые простыни сохраняют тепло тела, молодой офицер с открытой саблей склоняется над кроватью, женский голос рыдает, бледнолицый офицер приподнимает штору, смутное очертание дрожащей тени'",194,112,0.5773195876288659,"На указанном месте располагался роскошный дворец; своей верхней частью, похожей на вытянутую башню, он напоминал странной формы замок: кирпично-розовый, массивный каменный. Это происходило давно, и сейчас монарха, жившего здесь тогда, больше нет.

Кирпично-розовый дворец возвышался среди голых ветвей деревьев; ветви тянулись вверх подобно тихим порывам ветра и колебались, словно пытаясь ухватить проплывавшие мимо облака; каркая, резко взметнулась вверх ворона; поднявшись высоко, она некоторое время парила над облаками, после чего снова стремительно спустилась вниз.

Экипаж проезжал через этот район.

Конная скульптура отчетливо выделялась на фоне площади; гости города редко обращают на неё внимание, хотя эта фигура величественна.

Сам монарх воздвигнул памятник своему знаменитому предку; он проживал во дворце красного кирпича; прожил недолго.

Возможно, неоднократно показывалась круглая белая голова с завитушками волос возле узкого проёма окна дворца. Человек внимательно смотрел сквозь стекло; взгляд либо терялся в мягких оттенках заката, либо фиксировался на серебристом мерцании отражённого света месяца среди густой листвы деревьев; у входа дежурил солдат в треугольной шляпе с полями и отдавал честь, когда золотой грудью генерал проходил мимо, направляясь к украшенной картинами повозке; рядом находился высокий возница, сидящий на высоком сиденье экипажа; сзади стояли черные слуги.

Павел Петрович вновь смотрел вокруг себя и возобновлял беседу с изнеженой фрейлиной, одетой в прозрачную ткань; дама улыбалась; на щеках стали заметны небольшие впадинки, родинка.

В ту ночь пространство заливал свет луны, освещавший предметы интерьера императорских покоев, блестевший даже на маленьком изображении купидона; на подушке уже ясно виднелась форма головы человека, лежавшего ранее; откуда-то раздавались удары часов; вскоре послышались чьи-то приближающиеся шаги… Прошло лишь несколько секунд — постель оказалась помятой: простыни ещё сохраняли тепло тела; покойника уже не было видно; группа молодых офицеров с обнажёнными саблями склонились над пустым изголовьем кровати; кто-то пытался открыть дверь; слышался плач женского голоса; бледнолицый офицер поднял край шторы; и за прозрачной тканью окна проявилось смутное очертание дрожащей тени.

Откуда-то доносились звуки боя часов; неподалёку звучали удаляющиеся шаги.","То место увенчивал великолепный дворец; вверх протянутой башнею напоминал он причудливый замок: розово-красный, тяжелокаменный! Не теперь это было, и венценосца того уже нет.

Розово-красный дворец выступал своим верхом из гущи безлистных суков; те суки протянулися к небу глухими порывами и, качаясь, ловили бегущие облака; каркая, вверх стрельнула ворона; взлетела, качалась над хлопьями; и — обратно низринулась.

Пролетка пересекала то место.

И конная статуя вычернялась неясно от площади; посетители Петербурга той статуе не уделяют внимания: великолепная статуя!

Своему великому прадеду соорудил эту статую самодержец; он жил в розовокаменном замке; не долго томился.

Вероятно, не раз появлялась курносая в белых локонах голова в амбразуре окна. И курносая в локонах голова дозирала пространства за стеклами; утопали глаза в розовеющих угасаниях неба, иль упирались в серебряную игру и в кипение месячных отблесков в густолиственных древесах; у подъезда стоял часовой в треуголке с полями и брал н а к а р а у л при проходе золотогрудого генерала в андреевской ленте к расписанной акварелью карете; и краснопламенный высился кучер с приподнятых козел; а на запятках — стояли губастые негры.

И Павел Петрович, окинувши взглядом все это, опять возвращался к сентиментальному разговору с кисейною фрейлиной; фрейлина улыбалась; обозначились лукавые ямочки, мушка.

В ту ночь разливалося лунное серебро, упадая на мебели императорской опочивальни, озолощая лукаво амурчика; на подушке уже вырисовывался профиль лежащего; где-то били куранты; и — намечались шаги... Не прошло трех мгновений — постель была смята: а простыни были теплы; почившего — не было; кучечка белокудерных офицеров с порывисто обнаженными шашками наклоняла главы к опустевшему ложу; в дверь сбоку ломились; и — плакался женский голос; рука розовогубого офицера приподняла оконную штору; и из-под спущенной кисеи, на окне, в серебре — прочернела дрожащая тень.

Где-то били куранты; а там, в отдалении, топотали шаги.",0.7108099460601807,0.2277203351259231,0.7769820094108582,0.2913611497143194,0.714240709188736
2,"'В сумерах, мгла затюшила небо, скрывая все, что находится выше - как будто глубины космоса втянулись в бесконечный мир древних богов. Сейчас известно, что облака прозрачнее синей стеклянной кулисы, а небо - бесконечное пространство пустоты. На смену веры пришло убеждение, которое называют знанием. В детстве я был уверен в своей правоте во всём, но теперь впервые осознаю, как отражение во лбу камня застилается в воде, где прошлое не может быть изменено. Раньше я смотрел на себя как на призрак, а теперь вглядываюсь в глаза и вижу другой, чужого человека, незнакомого, с черными ровными бровями и вертикальной морщиной между ними. Как будто я увидел зеркало судьбы - то, что отражается в нём, чуждо мне самому. Серые глаза имеют стальной оттенок, под ними темные круги от бессонницы и неподдерживаемых надежд. По моему взгляду не видны мои настоящие чувства и переживания, а теперь они ясно показались мне в зеркале. Оттуда же, изнутри сознания, смотрящего на моё изображение, появляется твердое убеждение, что этот отражённый мужчина чужд мне самому, мы я вижу его впервые. Настоящий же я - другой, не такой, каким я и сам себя представляю. Неважно какого именно вещества я употребил накануне вечером, но оно предало меня в ловушку собственных предрассудков и неожиданного разумения. Это показалось мне как необыкновенное зеркало - как прозрачный шар, который отражает настоящее лицо в непостижимых видениях. R-13.'",42.95,2,mistral,7b,4.0,4.0,4.0,2.0,4.0,"'затюшила небо, прозрачнее стеклянной кулисы, вера сменилась убеждением, отражалось в воде, отражение во лбу камня, взгляд в глаза другого человека, видеть чужого человека, зеркало судьбы, взгляд не показывает чувств, твёрдое убеждение, ловушка предрассудков'",214,33,0.1542056074766355,"Вечер. Легкая дымка. Туман скрывает небо, нельзя увидеть, что находится выше. В древности полагали, что над облаками обитает главный бог, равнодушный наблюдатель всего происходящего. Сейчас известно, что выше облаков лишь прозрачная синева и пустота космоса. Теперь же я теряюсь в догадках относительно того, что скрывается за пределами видимости, поскольку получил много новых знаний. Полностью убежденное знание эквивалентно верованию. Раньше я был уверен в своей правоте во всём касающемся меня самого. Однако теперь впервые осознаю своё отражение в зеркале совершенно ясно и отчётливо. Впервые внимательно смотрю на собственное лицо и удивлённо воспринимаю себя словно другого человека. Передо мной человек с чёрными ровными бровями и вертикальной морщиной меж ними (раньше я не замечал её). Серые глаза имеют стальной оттенок, под ними темные круги от бессонницы. По моему взгляду не видны мои настоящие чувства и переживания, и ранее я их не понимал. Оттуда же, изнутри сознания, смотрящего на моё изображение, появляется твёрдое убеждение, что этот отражённый мужчина чужд мне самому, мы я вижу его впервые. Настоящий же я — другой. Нет смысла продолжать размышления: всё перечисленное бессмысленно и является результатом недавних неприятных переживаний после употребления отравляющего вещества накануне вечером. Неважно какого именно. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться логичный человеческий разум. Разум, способный объяснить непонятную древним бескрайнюю даль, представить её понятной и доступной — благодаря использованию числовых обозначений. R-13. К слову, я доволен его приходом: мне бы не хотелось сейчас оставаться одному.","Вечер. Легкий туман. Небо задернуто золотисто-молочной тканью и не видно: что там — дальше, выше. Древние знали, что там их величайший, скучающий скептик — Бог. Мы знаем, что там хрустально-синее, голое, непристойное ничто. Я теперь не знаю, что там: я слишком много узнал. Знание, абсолютно уверенное в том, что оно безошибочно, — это вера. У меня была твердая вера в себя, я верил, что знаю в себе все. И вот — —Я — перед зеркалом. И первый раз в жизни — именно так: первый раз в жизни — вижу себя ясно, отчетливо, сознательно — с изумлением вижу себя, как кого-то «его». Вот я — он: черные, прочерченные по прямой брови; и между ними — как шрам — вертикальная морщина (не знаю, была ли она раньше). Стальные, серые глаза, обведенные тенью бессонной ночи; и за этой сталью... оказывается, я никогда не знал, что там. И из «там» (это «там» одновременно и здесь, и бесконечно далеко) — из «там» я гляжу на себя — на него и твердо знаю: он — с прочерченными по прямой бровями — посторонний, чужой мне, я встретился с ним первый раз в жизни. А я настоящий — я — не он...Нет: точка. Все это — пустяки, и все эти нелепые ощущения — бред, результат вчерашнего отравления... Чем: глотком зеленого яда — или ею? Все равно. Я записываю это, только чтобы показать, как может странно запутаться и сбиться человеческий — такой точный и острый — разум. Тот разум, который даже эту, пугавшую древних, бесконечность сумел сделать удобоваримой — посредством...Щелк нумератора — и цифры: R-13. Пусть, я даже рад: сейчас одному мне было бы...",0.7647750377655029,0.2851219475269317,0.7894851565361023,0.4316956395918124,0.7451949775197614
3,"'Персонаж одет в стиль древности: тесный чёрный костюм подчёркивал белизну обнажённых плеч и груди, а также выделял светлые зубы, казавшиеся сверхъяркими. Женщина усадилась и начинает импровизовать. Её исполнение отличалось хаосом и нервизмом, которые отражают характер той эпохи, в которой она жила. Она играла беспорядочно, без какой-либо структурированности. Прочие вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения, и я тоже задумался над причиной своего смеха. Эпилепсия является психическим расстройством, вызывающим страдания. Боль нарастает постепенно, усиливаясь и становящейся всё интенсивнее. Постепенно пробуждается осознание болезненности ситуации. Затем приходит ощущение солнечного света, яркого и мощного, резко отличающегося от обычного спокойного освещения. Это чувство заставило снять одежду и разорвать её на куски. Человек, сидящий рядом со мной, посмотрел в мою сторону и усмехнулся. Запомнилось одно обстоятельство: я заметил маленький пузырь слюны, появившийся и тут же исчезнувший на его губах. Наблюдение этого явления вернуло мне ясность сознания. Подобно остальным, я воспринимал лишь бессмыслицу шума струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей. После прослушала я современную музыку, демонстрируемую специально для сопоставления с предыдущей. Удовольствие доставляли чёткость структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов. Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек, имевший необычную фигуру, выгнутую в двух направлениях одновременно; я уважительно приветствовал его кивком головы.'",38.1,2,mistral,7b,5.0,5.0,5.0,2.0,5.0,"'стиль древности, тесный черный костюм подчеркивал белизну обнажённых плеч и груди, выделял светлые зубы, казавшиеся сверхъяркими, начала импровизировать, отличие исполнения выражало хаос и нервизм, играла беспорядочно, без структурированности, другие соглашались и смеялись, испытывали сомнения, причина моего смеха, боль усиливается и становится интенсивнее, медленно осознавал болезненность, солнечный свет яркий и мощный, одежда была разорвана на куски, возвращено сознание, воспринимаю бессмысленность шума струн, чувствовал облегчение и спокойствие, реалистическое представление событий, наслаждался четкостью структуры современных композиций, ощущал мощь порядка и гармонии современной музыки, противоставляя искусство прошлого, лишённое ограничений'",254,85,0.3346456692913386,"Она была одета в костюм древнего стиля: тесное чёрное платье подчёркивало белизну обнажённых плеч и груди, а также выделяло светлые зубы, казавшиеся чрезмерно яркими.
Женщина села и начала играть. Её исполнение отличалось хаотичностью и нервозностью, отражавшими характер той эпохи, когда она жила. Она играла беспорядочно, без какой-либо структурированности. Остальные вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения, и я тоже задумался над причиной своего смеха.
Эпилепсия является психическим заболеванием, вызывающим страдания. Боль возникает постепенно, усиливаясь и становясь всё интенсивнее. Постепенно приходит осознание болезненности происходящего. Затем появилось ощущение солнечного света, яркого и сильного, резко отличающегося от обычного спокойного освещения. Это чувство заставило снять одежду и разорвать её на куски.
Человек, сидящий рядом со мной, посмотрел в мою сторону и усмехнулся. Запомнилось одно обстоятельство: я заметил маленький пузырь слюны, появившийся и тут же исчезнувший на его губах. Наблюдение этого явления вернуло мне ясность сознания.
Подобно остальным, я воспринимал лишь бессмысленный шум струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей.
После прослушала я современную музыку, демонстрируемую специально для сопоставления с предыдущей. Удовольствие доставляли чёткость структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов.
Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек, имевший необычную фигуру, выгнутую в двух направлениях одновременно; я уважительно приветствовал его кивком головы.","Она была в фантастическом костюме древней эпохи: плотно облегающее черное платье, остро подчеркнуто белое открытых плечей и груди, и эта теплая, колыхающаяся от дыхания тень между... и ослепительные, почти злые зубы...
Улыбка — укус, сюда — вниз. Села, заиграла. Дикое, судорожное, пестрое, как вся тогдашняя их жизнь, — ни тени разумной механичности. И, конечно, они, кругом меня, правы: все смеются. Только немногие... но почему же и я — я?
Да, эпилепсия — душевная болезнь — боль... Медленная, сладкая боль — укус — и чтобы еще глубже, еще больнее. И вот, медленно — солнце. Не наше, не это голубовато-хрустальное и равномерное сквозь стеклянные кирпичи — нет: дикое, несущееся, опаляющее солнце — долой все с себя — все в мелкие клочья.
Сидевший рядом со мной покосился влево — на меня — и хихикнул. Почему-то очень отчетливо запомнилось: я увидел — на губах у него выскочил микроскопический слюнный пузырек и лопнул. Этот пузырек отрезвил меня. Я — снова я.
Как и все — я слышал только нелепую, суетливую трескотню струн. Я смеялся. Стало легко и просто. Талантливый фонолектор слишком живо изобразил нам эту дикую эпоху — вот и все.
С каким наслаждением я слушал затем нашу теперешнюю музыку. (Она продемонстрирована была в конце — для контраста.) Хрустальные хроматические ступени сходящихся и расходящихся бесконечных рядов — и суммирующие аккорды формул Тэйлора, Маклорена; целотонные, квадратно-грузные ходы Пифагоровых штанов; грустные мелодии затухающе-колебательного движения; переменяющиеся фраунгоферовыми линиями пауз яркие такты — спектральный анализ планет... Какое величие! Какая незыблемая закономерность! И как жалка своевольная, ничем — кроме диких фантазий — не ограниченная музыка древних...
Как обычно, стройными рядами, по четыре, через широкие двери все выходили из аудиториума. Мимо мелькнула знакомая двояко-изогнутая фигура; я почтительно поклонился.",0.9567532539367676,0.4850125908851623,0.8958777189254761,0.9079692227424218,0.930231558530929
4,"'Это слова Рутилова казались оживлёнными и жизнерадостными, как обычно, но внутри их лгала мгла. Его голос был ярким и веселым, улыбка на его лице - широкой и заразительной, но его сердце было холодно и мертвое. Под шляпой, которую он носил, чтобы выглядеть модерном, скрывались тёмные, немытые волосы, укоренившиеся в его голове от забот и страданий. - Не можно так! - слабо возразил Передонов, снимая золотые очки и кивнув головой. - Это же правда! - крикнул Рутилов, вздыхая глубоко. - Смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет гораздо сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя. - Да, действительно много людей желают познакомиться с тобой, - угрюмо похвалился Передонов. - Именно поэтому необходимо использовать ситуацию, - советовал Рутилов. - Лучшее для меня, чтобы девушка была полная и привлекательной, - с грустью в голосе сказал Передонов. - Не стоится беспокоиться по этому вопросу, - энергично уверял Рутилов. - Мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временное. После замужества они станут ещё более привлекательными, посмотри хотя бы на мою старшую дочь Ларису. - Я хотел бы вступить в брак, но боюсь конфликта с женой Варькой, - задумчиво похвалился Передонов. - Поскольку ты боишься конфликта, прибеги к хитрости, - предложил Рутилов со взглядом, полным уверенности и изобретательности: - сегодня же заключай брачный союз, лучше сделать это немедленно. Вернись домой с молодой супругой, проблема сама по себе разрешится. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку. Передонов начал грохотать от смеха. - Разве соглашаешься? Заключаем сделку? - поинтересовался Рутилов. Передонов прекратил смех и низко прошептал тихим голосом: - Она расскажет всему миру об этом, эта негодяйка. - Ничего, о чем стоит рассказывать, не произойдет, - успокаивал Рутилов. - Или отравит тебя, - испуганно бормотал Передонов. - Просто доверься мне во всех вопросах, - убедительно настаивал Рутилов, - я обеспечу всё аккуратно и продуманно. - Без приданого я вступать в брак не хочу, - раздражённо выкрикнул Передонов. Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: - Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понимаешь? Рутилов пожал руку Передонова и ушел прочь.'",83.0,2,mistral,7b,5.0,5.0,5.0,2.0,5.0,"'лгала мгла, сердце было холодно и мёртвое, взгляд полный уверенности и изобретательности, полновата, договориться хитростью, устроить проблему самому себе, пригнать конфликт, отплатить действием заранее, войти в силу договора, пойти наперекор жене, закрутить дело ловко'",347,34,0.0979827089337175,"Всё это Рутилов произносил, как обычно, бодрым голосом и оживлённо, улыбаясь, однако он был худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светлые коротко стриженые волосы.
– Ну, разве же втрое!  – слабо возразил Передонов, снимая и вытирая золотые очки.
– Но это же правда! – вскричал Рутилов. – Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя.
– Здесь действительно многие испытывают ко мне симпатию, – угрюмо похвалился Передонов.
– Вот видишь, значит используй ситуацию, – советовал Рутилов.
– Самое важное для меня, чтобы девушка не была худощавой, – с грустью в голосе сказал Передонов. – Лучше пусть будет полной.
– Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису.
– Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт.
– Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: – сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку.
Передонов неожиданно начал громко и резко смеяться.
– Значит, соглашаешься? Заключаем сделку? – поинтересовался Рутилов.
Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом:
– Она расскажет обо всём, эта негодяйка.
– Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдёт, – успокаивал Рутилов.
– Или отравит, – испуганно бормотал Передонов.
– Просто доверься мне во всех вопросах, – убедительно настаивал Рутилов, – я обеспечу всё аккуратно и продуманно.
– Без приданого я вступать в брак не намерен, – раздражённо выкрикнул Передонов.
Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно:
– Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?
Рутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему весёлыми и насмешливыми. Непристойная мысль вызвала мимолетную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги.","Все это Рутилов говорил, по обыкновению своему, быстро и весело, улыбаясь, но он, 
высокий, узкогрудый, казался чахлым и хрупким, и из-под шляпы его, новой и модной, 
как-то жалко торчали жидкие, коротко остриженные светлые волосы.
– Ну, уж и втрое, – вяло возразил Передонов, снимая и протирая золотые очки.
– Да уж верно! – воскликнул Рутилов. – Смотри, не зевай, пока я жив, а то они у меня 
тоже с гонором, – потом захочешь, да поздно будет. А только из них каждая за тебя с 
превеликим удовольствием пойдет.
– Да, в меня здесь все влюбляются, – с угрюмым самохвальством сказал Передонов.
– Ну, вот видишь, вот ты и лови момент, – убеждал Рутилов.
– Мне бы, главное, не хотелось, чтобы она была сухопарая, – с тоскою в голосе сказал 
Передонов. – Жирненькую бы мне.
– Да уж на этот счет ты не беспокойся, – горячо говорил Рутилов. – Они и теперь 
барышни пухленькие, а если не совсем вошли в объем, так это только до поры до времени. 
Выйдут замуж, и они раздобреют, как старшая. Лариса-то у нас, сам знаешь, какая кулебяка 
стала.
– Я бы женился, – сказал Передонов, – да боюсь, что Варя большой скандал устроит.
– Боишься скандала, так ты вот что сделай, – с хитрою улыбкою сказал Рутилов: –
сегодня же венчайся, не то завтра: домой явишься с молодой женой, и вся недолга. Правда, 
хочешь, я это сварганю, завтра же вечером? С какою хочешь?
Передонов внезапно захохотал, отрывисто и громко.
– Ну, идет? по рукам, что ли? – спросил Рутилов.
Передонов так же внезапно перестал смеяться и угрюмо сказал, тихо, почти шопотом:
– Донесет, мерзавка.
– Ничего не донесет, нечего доносить, – убеждал Рутилов.
– Или отравит, – боязливо шептал Передонов.
– Да уж ты во всем на меня положись, – горячо уговаривал его Рутилов, – я все так 
тонко обстрою тебе…
– Я без приданого не женюсь, – сердито крикнул Передонов.
Рутилова нисколько не удивил новый скачок в мыслях его угрюмого собеседника. Он 
возразил все с тем же одушевлением:
– Чудак, да разве они бесприданницы! Ну, что же, идет, что ли? Ну, я побегу, все 
устрою. Только чур, никому ни гу-гу, слышишь, никому!
Он потряс руку Передонова и побежал от него. Передонов молча смотрел за ним. 
Барышни Рутиловы припомнились ему, веселые, насмешливые. Нескромная мысль выдавила 
на его губы поганое подобие улыбки, – оно появилось на миг и исчезло. Смутное 
беспокойство поднялось в нем.",0.7910318970680237,0.3396161198616028,0.8678786158561707,0.6075165368571463,0.8361824964337304
