,index,idiomatic_version
0,0,"text='Перемещаясь по петербургским улицам, затёнными туманом, видны слабо освещённые очертания облаков, быстро меняющие друг на друга. Как будто небо содержит невидимый светоносный объект неопределённой формы, который медленно перемещается по небу слабым бескомпонентным блеском. Небо внезапно набирает силу, освещая металлические крыши и дымовые трубы. Здесь течёт река Мойка зелёного цвета, а берегом стоят трёхэтажное строение с пятью белыми колоннами, над которым выступают архитектурные элементы. На ярком фоне строения спокойно проходит солдат Её Величества в блестящем шлеме с позолотой. На каске висит серебряная фигурка голубя, расправленного крыльев. Николай Аполлонович, после примирительных действий с парфюмом и бритьём шеи, шёл вдоль набережной реки Мойки, обёрнутый меховым пальто; его голова находилась внутри воротника одежды, а глаза казались необычайно светящимися; внутри он испытывал странные чувства без определённого названия; ощущал одновременно что-то страшное и приятное: как будто внутри него возникало сильное внутреннее напряжение и какие-то неопознаваемые эмоции направляли его в неизвестные места. Он задумался: возможно ли, что это чувство является любовью? В памяти всплыло воспоминание: однажды ночью, покрытый туманом, вырвавшись из указанного подъезда, он спешил к чугунной петербургской переправе, намереваясь именно там... Он ощутил дрожь. Мимо пролетел пучок света: чёрная императорская повозка проследовала рядом с окнами хорошо освещённого дома, везя ярко-красные фонари; эти светильники отразились на тёмной поверхности вод Мойки; расплывчатое очертание головного убора слуги и форма края верхней одежды промелькнули вместе со светом, появившись из туманной области и исчезнув в другой туманной зоне.' ratio=8.75"
1,1,"text='На данном месте стоял пышный дворец; своей верхней частью, похожей на вытянутую башню, он напоминал странного внешнего вида замка: кирпично-розовый, массивный каменный. Это происходило давно, и сегодня монарха, жившего здесь тогда, больше нет. Дворец возвышался над голыми ветвями деревьев; ветви тянулись кверху подобно слабым взрывам ветра и колебались, будто пытаясь уловить проплывающие мимо облака. Скрежет, резко поднимаясь ввысь, вдруг появилась ворона; поднявшись на большую высоту, она некоторое время парила над облаками, после чего снова стремительно спустилась вниз. Конная статуя ярко выделялась на фоне площади; гости города редко обращают внимание на неё, хотя эта фигура величественна. Сам монарх воздвиг памятник своему знаменитому предку; он проживал во дворце из красного кирпича; прожил недолго. Вероятно, неоднократно показывалась круглая белая голова с завитушками волос возле узкого проёма окна дворца. Человек внимательно смотрел сквозь стекло; либо взгляд терялся в мягких оттенках заката, либо фиксировался на серебристом блеске отражённого света луны посреди густой листвы деревьев; у входа дежурил солдат в треугольной шляпе с полями и отдавал честь, когда генерал проходил мимо, направляясь к украшенному картинами повозке; рядом находился высокий возница, сидящий на высоком сиденье экипажа; задними стояли черные слуги. Павел Петрович вновь смотрел вокруг себя и возобновлял разговор с изнеженной фрейлиной, одетой в прозрачную ткань; дама улыбалась; на щеках стали заметны небольшие впадинки, родинка. В ночь пространство было освещено лунным светом, блестевшим и даже на маленьком изображении купидона; уже видна была форма человека, лежавшего ранее; откуда-то раздавались звоны часов; вскоре прозвучали приближающиеся шаги... Прошло лишь несколько секунд — кровать оказалась сгромолёванной: постельная ткань ещё сохраняла тепло тела; покойника уже не было видно; группа молодых офицеров с оголенными саблями склонились над пустым изголовьем кровати; кто-то пытался открыть дверь; слышался плач женского голоса; бледноликий офицер поднял край штор; и через прозрачную ткань окна появилось туманное очертание дрожащей тени. Откуда-то доносились звуки боя часов; неподалеку уже звучали уходящие шаги.' ratio=7.3"
2,2,"text='Утренняя заря. Нежная туманность. Облака скрывают небо, видно лишь бескрайнее море звезд. В древние времена верили, что над облаками сидит верховный бог, созерцающий все без изъяна. Сегодня мы знаем, что над облаками лежит прозрачная фиолетовая ткань и пустота космоса. Теперь же я потерялся в мечтах о том, что скрывается за пределами наших видимостей, поскольку получил много новых знаний. Неизменяемое познание равно веру. Я всегда уверен был в своей правоте во всем, касающемся меня самого. Однако теперь впервые осознаю своё отражение в зеркале очень ясно и чётко. Впервые внимательно смотрю на себя и удивляюсь собой, как если бы перед мною стоял незнакомец. Впереди меня человек с бровями, покрытыми тёмными пятнами, и вертикальной морщинкой между ними (раньше я не замечал её). Глубокие глаза имеют стальную окраску, под ними темные круги от безсонницы. По моему взгляду не видно моих истинных чувств и переживаний, и ранее я их не понимал. Оттуда же, изнутри сознания, смотрящего на своё отражение, появляется твёрдое убеждение, что этот отображённый человек чужд мне самому, мы я вижу его впервые. Настоящий же я — другой. Не надо продолжать мечтаний: все перечисленное бессмыслица и является результатом недавних трудных переживаний после потребления отравляющего вещества вчера вечером. Неважно какого именно. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться логичный человеческий разум. Разум, способный объяснить непонятное древним бескрайне дальнейшим космосом — благодаря использованию цифровых координат.' ratio=9.67"
3,3,"text='Она одета в стиль древности: чёрное тесное платье подчеркивало белизну открытых плеч и груди, а также выделяло светлые зубы, казавшиеся яркими до предела. Женщина посадилась и начала играть. Исполнение её не было ни в чем особенно структурированным или упорядоченным, отражая хаотичность характера той эпохи, в которой она жила. Она играла беспорядочно и неопределенно, показав свою нервозность и безупорядкость. Вокруг было смешно и весело, но некоторые из присутствующих сомневались в том, что происходит, и я тоже начал задумываться о своем смехе. Эпилепсия - это психическое заболевание, вызывающее страдания. Боль нарастает постепенно, достигая непреодолимого уровня и разрушая равновесие. Постепенно происходит осознание болезненности, которая затем сменяется ощущением солнечного света - яркого, сильного, отличающегося от обычного спокойного освещения. Это чувство заставило её снять одежду и разорвать ее на куски. Человек рядом с мною посмотрел в мою сторону и усмехнулся. Наблюдая его, я запомнил одну вещь: я заметил маленький пузырь слюны, появившийся и тут же исчезнувший на его губах. Это наблюдение вернуло мне ясность сознания. Подобно остальным я воспринимал лишь бессмысленный шум струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей. После прослушала я современную музыку, специально демонстрированную для сопоставления с предыдущей. Удовольствие доставляло строгость структуры музыкальных произведений, построенных по научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой неограниченному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов. Все покинули зал в парах по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошел знакомый человек с необычной фигурой, выгнутой в двух направлениях одновременно; я уважительно приветствовал его кивком головы.' ratio=9.75"
4,4,"text='Все это Рутилов произносил с ярким голосом и оживленной манерой, улыбаясь, однако его худое впечатление не могло быть замаскировано даже новым атмосферическим шляпочным образом. – Ну, разве же втрое! – слабо возразил Передонов, поднимая и прочищая золотые очки. – Но это же правда, невероятно! – воскликнул Рутилов. – Смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти будет гораздо сложнее найти подходящую женой, именно для тебя. Каждая из моих дочерей охотно бы согласилась выйти за тебя. – Здесь действительно многие испытывают к тебе симпатию, – угрюмо похвалился Передонов. – Вот видишь, значит используй ситуацию, – советовал Рутилов. – Моя главная требование, чтобы девушка не была худощавой, – с грустью в голосе сказал Передонов. – Лучше пусть будет полной. – Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут еще пышнее, посмотри хотя бы на мою старшую дочь Ларису. – Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт. – Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: – сегодня же заключай брачный союз, лучше сделать это немедленно. Вернись домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку. Передонов неожиданно начал громко и резко смеяться. – Значит, соглашаешься? Заключаем сделку? – поинтересовался Рутилов. Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом: – Она расскажет обо всем, эта негодяйка. – Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдет, – успокаивал Рутилов. – Или отравит, – испуганно бормотал Передонов. – Просто доверься мне во всех вопросах, – убедительно настаивал Рутилов, – я обеспечу всё аккуратно и продуманно. – Без приданого я вступать в брак не намерен, – раздражённо выкрикнул Передонов. Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: – Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял? Рутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему веселыми и насмешливыми. Непристойная мысль вызвала мимолетную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги.' ratio=8.15"
5,5,"text='Изображаю в памяти простую, непритязательную жизненную ситуацию, преобразуя ее во впечатляющую историю, поскольку я - поэт. Бессилие или однообразие - это мне не дороги, и мне, будучи поэтом, надеюсь создать над тобой красивую и увлекательную историю о приятном и привлекательном. Случайностью пронизаны события, а их начало всегда обусловлено случайностью. Однако более разумно начинать с тех аспектов человеческого опыта, которые являются достойными восхищения или хотя бы эстетичными и приносящими удовольствие. Любовью к красоте заворождены не только здоровье, юность и жизнерадостность, но и прозрачная вода, солнечный свет и теплое время года. Благополучное лето призвало меня к реке Скородень, где ясное солнце освещало прозрачную воду. Изображение радости возникало из-за тепла солнца, открытости пространства, дуновения ветра издалека и присутствия множества птиц и двух молодых девушек. Елисавета и Елена, родные сестры, купались в реке Скородень. Картина вызывала радость из-за хорошей погоды, а еще потому, что девушки были красивее обычного и обнаженными. Обе испытывали приятные ощущения: прохладу, желание активно двигаться, улыбаться, разговаривать и развлекаться. В беседе они упомянули мужчину, который был предметом их фантазий. Родовые владелицы имения, девушки свободно передвигались и играли в воде на берегу быстро текущей реки, чувствуя силу и свободу от природы и своего положения. Люди часто ошибаются в границах своей власти, однако счастливы те, кто уверен в своем положении и полномочиях!' ratio=10.86"
6,6,"text='Домашний уют находится в самом краю града, в районе, известном как Расчь. Здесь растянуты многоэтажные строения, стоящие параллельными рядами с интервалами, заполненными бетонными дворцами, предназначенными для игр молодых жителей местного круга. Здания белые, обладают многочисленными окнами и выглядят одинаково. Между зданиями находятся пустующие участки земли, окружённые забором. Остатки развалин привлекают больше внимания детей, чем эти дворца. Между жилыми районами и пустырей находится отдельно стоящий дом, известный как Серый. Он старик, относится скорее к времени разрушения предыдущих построек, чем к современным жилым комплексам. Другие дома расположены вдали от него. У дома три этажа, фасад обращён к дороге, также имеется внутренний двор, ограниченный металлической сеткой. Раньше здание было белого цвета, сейчас оно серое снаружи и жёлтое внутри. Крыша покрыта антенной и кабелями, стены покрываются мелкими частицами штукатурки и трескаются. Рядом располагаются гаражи, подсобные помещения, контейнеры для мусора и будки для собак. Во дворе всё выглядит запущенным. Передняя сторона фасада лишена каких-либо украшений и выглядит мрачной. Жители окрестности испытывают неприязнь к этому дому. Хотя никто открыто не проклинает его, большинство предпочитает жить подальше от него и желало бы, чтобы этот дом вообще не существовал.' ratio=8.25"
7,7,"text='Увы, каждый, кого апеллирует к вниманию публики, неизбежно оказывается эгоистичным существом с подлыми качествами, готовым совершить любые действия и переоценивающим свои достоинства, а тем не менее оставаясь незначительной фигурой. Одобрение своего эго — главное дело его жизни. Скорее всего он похож на того ворона, который пытался казаться больше и сильнее, чем был на самом деле, но в конце концов оказался предательством своей природы жертвой своих собственных амбиций. Стихотворение про животное, которое утонуло из-за своего неразумия, напомнило ему об этом, но он вновь решил исполнить песню подобного содержания, тем не менее его никому больше не слушали. И внезапно, словно от удара молнии, на лице Сипа расплавились рыжие волосы — он был ошеломлён и плакал с глубокой печалью. Затем поблагодарили его, дали салфетку, прикрыли книгой и предложили другому ученику продолжить выступление. Но Гуль произносил речь почти неслышно, будто читал написанное прямо на столе, несмотря на отсутствие там какого-либо текста. Белое морочное облако спускалось на его лицо, мешая видеть, и он поправлял их мокрыми пальцами. Прическа держалась лишь до тех пор, пока палец был приложен к лбу, после чего немедленно возвращалась назад, снова закрывая взгляд. Итак, какого рода внимания добивается обсуждаемый субъект? Очевидно, он пытается обратить внимание на свою обувь, однако это неверно — через привлечение интереса к обуви он просто демонстрирует свои ограниченности и уязвимость, подчёркивая недостатки остальным людям. В этом смысле он является своего рода глупой птицей, которая усиливает треск крыльев, показывая свои опухшие тело и бедные перья. Если же определить его как животное, то надо сравнивать его с лошадью, которая решила пробежать через непроходимую болотистую местность, не обращая внимания на предупреждения и тем самым попав в глубокое болото и таким образом совершив себя. Его речи типичны для тех, кто пытается выглядеть умнее и знаменитее, чем он на самом деле, но как раз таки это отталкивает других людей и не приносит ему нужного эффекта.' ratio=7.48"
8,8,"text='Недавно он был брызгующим с энергии человеком. Мог взлететь, как чайка, и плавно катиться по комнате, как лодка на текущем русле. У него были зубы из металла, которые могли поднять стул и прорезать стальной трос сильными мышцами ладоней. Его тело шумело от готовности совершить удивительный поступок, как мы говорили в молодые дни. Сегодня что-то изменилось, словно механизм слегка испортился. Он начал сутулиться и признался другу Подтягину, что мучается бессонницами. Ночью накануне понедельника плохо спал, проведя двадцать минут в компании непостоянного человека в остановившемся лифте. Утро следующего дня началось тяжело: долгое время сидел голый, держа холодные руки между коленями, пораженный осознанием, что снова должен был одеть рубашку, носки, брюки — вещи, казавшиеся неприятной обязанностью. Подобное чувство вызывало у него воспоминание о цыганском пуделе, выглядящем ужасающе жалко в человеческой одежде. Частично апатия объяснялась отсутствием работы. За прошедшую зиму удалось скопить небольшую сумму денег, от которой осталось около двухсот марок, потому что последние месяцы были затратными. В предыдущем году, прибыв в Берлин, он быстро устроился на работу и продолжал трудиться до января, выполняя разнообразные задания: испытывал тяжесть утренних поездок на завод; чувствовал боль в ногах после десяти километров беготни с подносом среди столов ресторанного заведения «Пир Горой». Занимался также посредничеством, предлагая любые товары, какие попадались под руку — будь то баранки, средство для укладки волос или драгоценности. Он ничего не отвергал: неоднократно зарабатывал продажей собственной тени, как многие из нас. Иными словами, участвовал в массовке киносъемки за городской чертой, где огромные прожекторы, направленные на группу статистов, ярко освещали лица людей своим ярким резким светом, создавая ощущение дискомфорта и стыда. После завершения съемки контракт считался выполненным, и заработанная сумма расходовалась.' ratio=9.28"
9,9,"text='В целом день пролежав на кровати кажется, будто карабкаешься вверх к ясным солнечным облакам, поднимаясь постепенно, можно увидеть кроны деревьев, залитые ярким солнечным светом, тонкие провода, служащие пристанищем птицам, и деревянный навес над дорожкой красного оттенка рядом с парадным входом. Здесь издали ухаживают звуки природы: пение птиц, собачий лай издали, поскрипывание водяных насосов. Ты лежишь неподвижно, погружён в размышления о будущем восхождении, смотришь, как блески солнца движутся по поверхности стола, наблюдаешь, как клубок нитей сливается с коленей сидящей рядом матери и плавно проплывает по гладкому деревянному полу... Именно в этой комнате, когда Ганин находился на излечении в возрасте шестнадцати лет, сформировалась мысленная картина радости и девушки, которую он позже увидел в действительности. Этот процесс формирования картины происходил благодаря совокупности факторов окружающей обстановки: картинами на стенах, звуками природы за окном, изображением Христа в киоте, журчащей воде в раковине. Частью развивающегося образа стала атмосфера солнечного света в помещении, и очевидно, что без воздействия этой среды такая картина не могла бы появиться. По сути, это были просто обычные ощущения юности, мечтательные переживания, однако сейчас Ганину представлялось, что такое совпадение мыслей и действительности ранее не происходило столь идеально. Целый день он перемещался от одного сада к другому, посещал разные кафе, и воспоминания постоянно затягивали его вперёд, подобно движущимся облакам в небе весной в Берлине. Посетители кафе думали, что мужчина, тщательно смотрящий вдаль, переживает какую-то глубокую печаль, а на улицах он случайно сталкивался с прохожими, один раз водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись с ним. Ганин чувствовал себя творцом, восстанавливающим утраченный мир. Постепенно он возвращал детали исчезнувшего мира ради той женщины, которой ещё не решился придать место в нём, пока восстановление не завершится целиком. Однако мысль о ней, ощущение её присутствия, почти забытое воспоминание прошлых впечатлений вынуждало его завершить создание картины окончательно, хотя он сознательно откладывал появление этой картины, поскольку хотел приблизиться к нею поэтапно, следуя определённой последовательности шагов. Стараясь избежать путаницы среди ярких образов прошлого, он аккуратно реконструировал события своей жизни, иногда останавливаясь на незначительных деталях, избегая преждевременного перехода к последующим этапам. Бродя по Берлину тёплым майским днём, он действительно выздоравливал физически, испытывал первые признаки восстановления после болезни, слабость в ногах, рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой, свободной и слегка непривычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал небольшие земляные бугорки чёрного цвета, образовавшиеся в результате деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки. У него была мечта встретить кого-либо в парке, но конкретного представления о том, кто именно должен встретиться, у него не было.' ratio=8.29"
