Unnamed: 0,index,text,ratio
0,0,"'В тихой суете петербургских переулков шелестели призрачные облачные кущи, меняясь стремительно и бесформенно; где-то высоко в этом суматошном небесном потоке двигался мерцающий светляк, растворяясь в мутной дымке. Звездопады тусклого сияния озаряли металлические шлемы крыш и труб, как будто память города пробуждалась от зимней спячки. Здесь серебрились воды Мойки; одна из береговых стен укрывала старинное здание с белоснежными колоннами, их архитектурные детали резко выступали на фоне голубизны неба. На этом живописном заднике уверенно шагал военный в парадной форме Её Величества, его блестящий шлем украшала золотая птаха с развернутыми крыльями — символ надежды и бдительности на холодных улицах столицы зимней ночи. На каске гордо восседал серебряный голубь, распростерший крыла, словно призывная метафора для тех, кто ищет путеводной звезды среди тумана бытия. Николай Аполлонович, дунув в ароматизированный воздух свежей бритвой, покинул уют своего дома; меховая куртка оберегала его от холода и шума ночного города, а глаза светились тихим огнем неуловимого трепета. Внутри он вел беседы с самим собой: может ли это нежданное чувство быть любовью? Отзвуки прошлого звучали эхом — как раз под тем самым подъездом, где однажды он спешно покинул уют тепла ради встречи с неизвестностью, вдыхая аромат ночного тумана и освещенного фонариками бульвара. Каждый шаг приносил волну непонятных эмоций — страх смешивался с восторгом, как будто сердце играло на музыкальной скрипке без твердых аккордов. И внезапно из темного проулка пронеслась чёрная карета императорского двора; красные фонари бросали свои отражения в водную гладь, словно зеркала для призраков прошлого и будущего. На миг можно было различить форму шляпы слуги и концы его верхней одежды — как тень, скользящая по поверхности воды, чтобы снова исчезнуть в дымке ночного города.'",41.0
1,1,"'На том месте возвышался великолепный дворец, чьей верхушкой напоминал странный замок — кирпично-розовый и массивный как скала. Это было давно; теперь того монарха уже нет, лишь воспоминания о нем остаются в камне и песке времени.\n\nКирпично-розовое величие поднималось среди голых рукавов деревьев; те растягивались к небу словно тихие порывы бриза, колеблясь и пытаясь ухватить проходящие облака. Каркающий звук прорезал тишину — ворона взмыла высоко, парила над облачным покровом, а затем стремительно опустилась обратно.\n\nЛегкий экипаж скользнул через этот район.\n\nКонная статуя явственно выделялась на фоне площади; редко кто из гостей города обращал на неё внимание, хотя эта фигура была величественна и могучей как гора.\n\nМонарх воздвиг памятник своему славному предку в своем кирпично-розовом дворце; он здесь недолго прожил.\n\nКто-то возможно неоднократно показывался узким оконным проемом, завитушки волос обрамляли круглую голову. Человек смотрел сквозь стекло, погружаясь в мягкие оттенки заката или зачарованно следя за серебристым мерцанием месяца среди густой листвы; у входа дежурил солдат в треугольной шляпе с полями, отдавая честь, когда золотистый военный проходил мимо к экипажу украшенному картинами; возница на высоком сидении наблюдал за происходящим, рядом стояли черные слуги.\n\nПавел Петрович вновь оглядывался и возобновлял беседу с изнеженной фрейлиной в прозрачном платье; на щеках ее стали заметны впадинки, родимое пятно выделялось.\n\nТа ночь была полна лунного света, озаряющего предметы императорских покоев и даже маленькую фигурку купидона. На подушке уже явственно виднелась голова человека; часы отбивали свои удары, шаги приближались… Несколько секунд — постель помялась, простыни еще сохраняли тепло ушедшего тела; покойника не было видно. Группа молодых офицеров с обнаженными мечами склонилась над пустым изголовьем кровати; кто-то пытался открыть дверь, женский голос раздавался в плаче; бледный офицер поднял штору — и за прозрачной тканью окна стала видна дрожащая тень.\n\nНеподалеку звучали шаги, удаляющиеся во мрак.'",41.0
2,2,"'Вечер погружается в сумрак дымки, где туман прячет небеса под завесой мистики и неведения. В давние времена люди верили, что за облаками притаился всевидящий бог, равнодушно наблюдающий за земным кипением событий. Сегодня мы знаем, что там лишь безбрежная голубизна небес и бескрайняя пустота космоса. Теперь же я увяз в сетях догадок о том, что скрывается за горизонтом видимого мира, поскольку мой ум напитан новыми истинами. Полное знание порой сродни вере — оно столь же непреклонно и безусловно. Раньше я был уверен в своей правоте во всём, касающемся меня самого, но теперь первый раз остро осознаю своё отражение в зеркале, будто впервые взглянув на чужого человека. Передо мной стоит незнакомец с чёрными бровями и вертикальной морщинкой между ними (раньше я не замечал её), серыми глазами со стальным оттенком, под которыми темные круги от недосыпания. Моё лицо словно маска, скрывающая истинную душу и переживания — раньше я их не понимал. Теперь же из глубины сознания всплывает уверенность: этот мужчина чужд мне самому, мы встречаемся как незнакомцы. Но настоящий я — другой, тот, кем хотел быть и которого ещё предстоит узнать. Беседа с собой бессмысленна: всё перечисленное — лишь плод недавних душевных терзаний после употребления вещества накануне вечером. Не важно какого именно. Я записываю это для демонстрации того, насколько странным образом способен ошибаться логичный человеческий разум — тот, который сумел раскрыть тайны древнего мира с помощью числовых обозначений и математических законов. R-13. К слову, я рад его приходу: не хотел бы сейчас оставаться в одиночестве.'",42.0
3,3,"'Она облачилась в наряд столь древнего облика, словно сошедший с древних полотен: тесное чёрное платье подчёркивало белизну её обнажённых плеч и груди, а светлые зубы казались такими яркими, будто сами по себе источали свечение. Женщина устроилась на месте и приступила к игре; её исполнение было хаотичным и нервным, словно отражало душевное состояние тех времен, когда она жила. Она сыграла без всякого порядка или структуры, как будто каждая нота была случайной каплей в потоке времени.\n\nОкружающие же были согласны между собой и весело смеялись, но некоторые из присутствующих испытывали неуверенность, а я задумался о причине своего собственного смеха. Эпилепсия — болезнь души, вызывающая страдания постепенно нарастающие и становящиеся всё более интенсивными, словно волны прибоя на пляже.\n\nПотом раздалось ощущение яркого света, резко отличающегося от обыденного освещения — солнечный свет, который заставил бы любого сбросить одежду и порвать её на куски. Сидящий рядом со мной человек улыбнулся мне уголком губ, а я заметил пузырёк слюны, появившийся и исчезнувший так же быстро, как и появился; это вернуло меня в мир реальности.\n\nЯ воспринимал лишь хаотичные звуки струн музыкального инструмента — бессмысленный шум. Я улыбался, испытывая облегчение и спокойствие, словно после долгого путешествия возвращаюсь домой. Лекционный материал подарил нам реалистичное представление о событиях того периода, вызвав смех слушателей.\n\nЗатем я послушал современную музыку, демонстрирующуюся для сравнения с предыдущим исполнением. Современная музыка была стройной и гармоничной, словно математическая формула, написанная на бумаге; она противопоставлялась примитивному искусству прошлого, лишённому каких-либо ограничений. Ощущалась мощь порядка и логики в современной музыке.\n\nПосле окончания мероприятия все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути прошёл знакомый человек с необычной фигурой, словно изогнутой в двух направлениях одновременно; я приветствовал его кивком головы, как будто мы были старыми друзьями.'",40.0
4,4,"'Всё это Рутилов излагал с обычным для него задором и оживлением, но его тощая фигура источала усталость и болезненность. Несмотря на модный головной убор, от которого виднелись редкие светлые волосы, слабость была неотъемлемой частью его облика.\n\n– Ну что ж, втрое? – слабо протестовал Передонов, вытирая золотые очки.\n\n– Но это правда! – вскрикнул Рутилов. – Ты должен использовать этот момент, пока я жив, ведь после моей смерти найти подходящую невесту станет труднее. Каждая из моих дочерей согласится стать твоей женой.\n\n– Здесь действительно многие проявляют ко мне симпатию, – угрюмо признался Передонов.\n\n– Вот и используй этот шанс, – посоветовал Рутилов. \n\n– Самое важное для меня — чтобы невеста не была худосочной, – промолвил Передонов с грустью в голосе. – Лучше пусть будет пышнотелой.\n\n– Не стоит беспокоиться по этому поводу, – энергично уверял Рутилов. – Мои дочери сейчас уже достаточно полны и станут ещё более аппетитными после свадьбы, взгляни на мою старшую дочку Ларису.\n\n– Я бы хотел вступить в брак, но боюсь реакции моей жены Вари, – сказал Передонов. \n\n– Поскольку опасаешься конфликта, сделай это прямо сейчас, – посоветовал Рутилов с хитрой улыбкой: заключи брачный союз сегодня и вернись домой с молодой женой. Проблемы разрешатся сами собой. Может, я уже завтра всё организую?\n\nПередонов внезапно заржал.\n\n– Значит, соглашаешься? – поинтересовался Рутилов.\n\n– Она всё расскажет этой ведьме, – мрачно прошептал Передонов.\n\n– Ей нечего рассказывать, ничего такого, что стоило бы сообщать, – успокаивал Рутилов. \n\n– Или отравит, – испуганно бормотал Передонов.\n\n– Просто доверься мне во всех вопросах, – настаивал Рутилов, – я обеспечу всё тактично и тщательно.\n\n– Без приданого я вступать не намерен, – раздражённо выкрикнул Передонов.\n\nНовое резкое изменение темы не смутило Рутилова. Он ответил столь же задорно:\n\n– Странный человек! Мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни: никому нельзя рассказывать об этом деле.\n\nРутилов крепко пожал руку Передонова и поспешил прочь. Тот молча наблюдал за ним, вспоминая весёлых и насмешливых девушек Рутилова. Непристойная мысль вызвала улыбку на его губах, тут же исчезнувшую. В душе Передонова возникло неясное чувство тревоги.'",42.0
5,5,"'Вспоминаю мгновение из жизни, скромное и незамысловатое, и превращаю его в шедевр поэтического мастерства. Я поэт — искуситель судьбы, который творит легенды о том, что заставляет сердца трепетать и души петь. Случайности направляют ход событий, каждый поворот истории обусловлен непредсказуемостью. Но разумнее всего начинать с того, что радует глаз и сердце — того, чем можно восхищаться или, по крайней мере, восторгаться эстетически. Сияют здоровье, молодость и жизненная энергия людей; сверкают чистая вода, солнечный свет и летняя пора года. Был июльский денек, ясное и жаркое утро, река Скородень пребывала под лучами ласкового солнца. Вода, свет и воздух играли золотыми нитями радости, раздвигая пространство и принося волну восторга теплым дуновением ветра, пением птиц и видом двух юных девиц. Елисавета и Елена, сестры родные, купались на реке Скородень. Картина была полна блаженства: природа благоволила им в этот день, а они выглядели еще более очаровательно благодаря своему обнаженному совершенству. Их кожа светилась свежестью, желание двигаться и смеяться наполняло их внутренний мир весельем и радостью. Во время беседы между ними всплыла тема юноши, который занимал их мысли. Эти девушки — наследницы поместья, владелицы обширного старинного сада у реки Скородень. Их пребывание здесь было особенным, так как они ощущали себя хозяйками быстротекущей воды и песчаного берега под своими ногами. Они свободно плавали и игриво ныряли в воду, чувствуя уверенность владетелей с самого рождения. Человек не знает границ своей власти, но счастье — это когда ты знаешь свою роль и имеешь полное право на неё.'",42.0
6,6,"'В оковах бетонной решётки города, где каждый уголок имеет своё имя, стоит район, известный как Расчески — место, будто сотканное из множества белых стенных рядов, словно строительные блоки для сна и отдыха. Эти дома, словно выстроенные из квадратных глаз, глядят одинаково на мир за окнами своих бесконечных рядов. Между этими монолитами земли лежат пустые клочья, заборы которых не дают душам детей вольного полёта. Останки разрушенных крепостей привлекают юные сердца больше, чем унылые бетонные дворики, где игра забыта и позаброшена.\n\nВ этом ландшафте выделяется один дом, известный как Серый — старик среди зданий, отягощённый прошлыми строениями. Он стоит в одиночестве, словно выброшенная из круговорота жизни ненужная вещь. Дом этот трёхэтажный, его фасад обращён к пути жизни, как будто ожидая каждого прохожего. Внутри него — дворик, заперти металлической сетью, словно звериная клетка. Белое когда-то, теперь серым цветом облупленных стен и жёлтым внутри, он перестал быть тем домом, что когда-то был. На крыше его — антенны и провода, сплетённые в сетку, а стены покрываются трещинами, словно кожа старика. Рядом с ним гаражи, будки для собак и мусорные контейнеры, где жизнь не останавливается, но течёт по своему руслу.\n\nЖители окрестных стен испытывают к этому дому холодное презрение. Тихие перешёптывания ведутся за спиной дома Серого, но никто вслух не выражает недовольства. Большинство предпочитают жить подальше от этого уныния и мечтают о том, чтобы этот дом растворился в пустоте истории.'",45.0
7,7,"'Вдруг стало ясно: любой человек, пытающийся выделиться из толпы, – эгоистичный негодяй с завышенной самооценкой, готовый на всё ради признания собственной важности. На деле же он ничем не примечателен, лишь самонадеян и жаждет славы. Таков Сип после прочтения истории о птице, стремившейся казаться лучше истинной себя, и басне о животном, утонувшем из-за своей глупости. Хотел он исполнить ещё одну песню, но никто не обратил на него внимания, что вызвало в нём гнев и слёзы. Его поблагодарили, протянув салфетку, прикрыли книжкой и предложили другому ученику продолжить выступление.\n\nГуль произносил свою речь еле слышно, словно читая бумагу на столе, хотя там не было ни единого слова. Белые волосы мешали видеть лицо, и он поправлял их влажным пальцем, но каждый раз они снова падали на глаза. Для того чтобы долго смотреть на него, требовалась особая выдержка; из-за этого я старался не обращать внимания: мои нервы были на пределе.\n\n— Какой он хочет добиться славы? На первый взгляд – это его обувь. Но нет, через внимание к своей обуви он привлекает взоры к своим ногам. Тем самым он демонстрирует свои физические недостатки и насмехается над чувствами окружающих.\n\nГуль продолжал говорить с монотонностью учителя на скучной лекции, время от времени нервно перемещая палец по своему носу. Его взгляд начал меняться: ясно было, что он начинает злиться. Я уже знал все аргументы, которые мог привести Гуль, ведь такие речи в этой ситуации типичны. Каждое его слово и жест были столь же безжизненными и однообразными, как он сам.'",42.0
8,8,"'Недавно он был поистине кипучим парнем, полным живой энергии, словно горячий вулкан. Стоял на руках с легкостью, как пушинка в весеннем бризе, и перебирался от места к месту, изящно подобно лебедю на воде. Зубами мог поднять стул и порвать канат своими железными кулаками. Его тело носило затаённую мощь, жаждавшую проявиться в прыжках через заборы или качании столбов — словно юный орёл мечтал о свободе полета. Сейчас же что-то случилось: будто механизм слегка износился и стал не так гладко работать. Он начал сутулиться, признавшись другу Подтягину в бессоннице, которая стала его постоянным спутником. Ночью перед понедельником он провёл около двадцати минут в компании неприятного индивидуума в застрявшем лифте. Утро следующего дня принесло лишь тяжесть духа: долго сидел нагишом, держа прохладные руки между коленями, погружённый в мысли о том, что снова придётся облачиться во всё то же поношенное белье — неприятная обязанность, как будто на кожу натягивают чужую лошадиную шкуру. Этот образ вызывал воспоминания о цыганском пуделе в человеческой одежде, выглядевшем жалко и нелепо. Частично его апатия объяснялась отсутствием работы — за зиму удалось собрать немного денег, но из-за затратных месяцев осталось всего около двухсот марок. В прошлом году он прибыл в Берлин и быстро нашёл работу, усердно трудясь до января. Он испытывал тяжесть утренних поездок на завод и боль в ногах после беготни с подносом среди ресторанного зала «Пир Горой». Также занимался посредничеством, предлагая любые товары — от баранок до драгоценностей. Он ничего не исключал из своего ассортимента: продавал свою тень, как многие из нас, участвуя в массовках киносъёмок за городом, где прожектора, словно пылающие глаза, освещали лица статистов ярким светом, вызывая дискомфорт и неловкость. С завершением съёмки зарплата расходовалась на мгновение радости.'",42.0
9,9,"'Целый день проходит, словно ты плывешь по волнам небесной глади, приподнявшись на кровати – смотришь на верхушки деревьев, залитые теплыми лучами заката. Тонкие провода, служащие уютным укрытием для пташек, и красочный навес над дорожкой рядом с парадным входом словно напевают свою песнь тишины. Вдалеке звучит гармония природы: трели птиц, далекий лай собаки да скрип водяного насоса, прерывающий тишину как дыхание времени. Ты неподвижно лежишь, утонув в раздумьях о предстоящем подъеме, наблюдая за световыми рисунками на столе и глядя, как клубок нитей соскальзывает с колен матери – плавно катится по полу из брёвен. Именно здесь, в этой комнате, когда Ганин выздоравливал в свои шестнадцать лет, родился образ блаженной радости и девушки, которую он встретил потом во плоти. Этот духовный портрет возник благодаря совокупности факторов: картины на стенах, звуки природы за окном, изображение Христа в киоте да журчащая вода в раковине – всё это создавало атмосферу солнечного света и дыхания жизни. Без этой среды такой образ не мог бы появиться. Это были лишь обыденные юношеские ощущения, но сейчас Ганину казалось, что такое идеальное совпадение мыслей и действительности ранее не случалось. Целый день он переходил из одного сада в другой, посещая кафе – воспоминания тянули его вперёд, как движущиеся облака весной над Берлином. Посетители кафе думали, что мужчина вдали смотрит на горизонт глубокими глазами печали, а прохожие на улицах сталкивались с ним случайно – один раз даже водитель автомобиля резко остановился и выразил недовольство. Ганин чувствовал себя как художник, восстанавливающий потерянный мир. Постепенно он возвращал детали исчезнувшего мира для той женщины, которую ещё не решил признать своей, пока полное восстановление не завершится. Однако мысль о ней, её почти забытое присутствие вынуждали его завершить создание образа окончательно – хотя он сознательно откладывал появление этого образа, желая приблизиться к нему шаг за шагом. Стараясь избежать путаницы среди ярких воспоминаний прошлого, он аккуратно реконструировал события своей жизни, останавливаясь на незначительных деталях и избегая преждевременного перехода к следующим этапам. Бродя по Берлину тёплым маем, он действительно выздоравливал физически – ощущал первые признаки восстановления после болезни: слабость в ногах и своё отражение в зеркалах. Одежда казалась особенно чистой, свободной и непривычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал черные земляные бугорки – следы деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки. У него была мечта встретить кого-то в парке – но конкретного представления о том, кто именно должен встретиться, у него не было.'",42.0
