Unnamed: 0,index,text,ratio
0,0,"'Темные облака неясными очертаниями скользили над пустынными улицами Петербурга, словно хоровод из теней; их рябь быстро заменялась новыми формами. Откуда-то сияло какое-то тусклое пятно — мог ли это быть звезда? — и оно перемещалось по небу неясным, бесцветным потоком; приглаживая его было слабое светило. Вдоль берегов реки Мойки вспыхивали мраморные и металлопанельные крыши, словно бликующие волны; зелёная Мойка скользила между белыми колоннами старинного дома с пятью архитектурными элементами. Блестящий Её Величества солдат шёл по набережной, голову его укрывали меховое кокошье пальто; застежка воротника играла светом и отражениями, как бы приглашая внутрь своего тепла. Дрожь пробежала через его тело; солнце мелькнуло на небесах — черная повозка прошла рядом с окнами дома, везя ярко-красные фонари, которые отражались на воде Мойки, словно проплывали сквозь туман. Некоторые детали из головного убора слуги и форма верхней одежды коснулись его сознания — ощущение неизвестности и дрожания стало его знакомым чувством... Может ли это чувство быть любовью? В памяти всплывало воспоминание: один раз, ночью, покрытый туманом, он выскочил из указанного подъезда и бежал к чугунной переправе на Мойке... Оно снова охватило его — дрожь и призрачное видение движения.'",5.0
1,1,"'На указанном месте располагалась роскошная башня-дворец; своим верхним конусом он напоминал странную форму замка: кирпично-розовый, массивный каменный строение. Это происходило давно, и сейчас монарха, жившего здесь тогда, больше нет. Кирпично-розовый дворец возвышался среди голых ветвей деревьев; их тянулись вверх подобно спокойным порывам ветра, колебались, словно пытающиеся ухватить облака, проплывающие мимо них. Каркая, резко взметнулась вверх ворона; поднявшись высоко, она некоторое время парила над облаками, после чего снова стремительно спустилась вниз. Экипаж проезжал через этот район. Кирпично-розовый квадратный монумент отчетливо выделялся на фоне площади; гости города редко обращались на него внимания, хотя эта фигура была величественной. Сам монарх воздвиг памятник своему знаменитому предку; он проживал во дворце красного кирпича; прожил недолго. Возможно, неоднократно показывалась круглая белая голова с завитушками волос возле узкого проёма окна дома; человек внимательно смотрел сквозь стекло: либо его взгляд терялся в мягких оттенках заката, либо фиксировался на серебристом мерцании отражённого света месяца среди густой листвы деревьев. У входа дежурил солдат в треугольной шляпе с полями и отдавал честь, когда золотая грудь генерала проходила мимо, направляясь к украшенной картинами повозке; рядом находился высокий возница, сидящий на высоком сиденье экипажа; сзади стояли черные слуги. Павел Петрович вновь взирал вокруг себя и возобновлял беседу со своей изнеженной фрейлиной, одетой в прозрачную ткань; дама улыбалась; на щеках стали заметны небольшие впадинки, родинка. В ту ночь пространство заливал свет луны, освещавший предметы интерьера императорских покоев, блестевшего даже на маленьком изображении купидона; на подушке уже ясно виднелась форма головы человека, лежавшего ранее. Откуда-то раздавались удары часов; вскоре послышались чьи-то приближающиеся шаги… Прошло лишь несколько секунд — постель оказалась помятой: простыни ещё сохраняли тепло тела; покойника уже не было видно. Группа молодых офицеров с обнажёнными саблями склонилась над пустым изголовьем кровати; кто-то пытался открыть дверь, слышался плач женского голоса: бледный офицер поднял край шторы; за прозрачной тканью окна проявилось смутное очертание дрожащей тени. Откуда-то доносились звуки боя часов; неподалёку звучали удаляющиеся шаги.'",85
2,2,"'Вечер. Легкая дымка скрывает небо, как будто в тумане мысли и чувства. В древности полагали, что над облаками жил главный бог, равнодушный наблюдатель всего происходящего. Сейчас известно, что выше облаков лишь прозрачная синева и пустота космоса. А теперь я в запутанной тайне — не понимаю, что скрывает за пределами моего поля зрения, после получения многочисленных новых знаний. Полностью убежденное знание эквивалентно верованию. Раньше я был уверен в своей правоте во всём касающемся меня самого. Однако теперь впервые осознаю свою собственную призраковость, как будто смотрю на зеркало — отражение своего лица кажется чужим. Зрелище потрясает: черные ровные брови и вертикальная морщина между ними, серые глаза с твердым взглядом, под которым темные круги отсутствуют из-за недавней нехватки сна. По моему взгляду не видно настоящих чувств и переживаний, которые ранее я не понимал: раньше это было как бы невидимой тенью в зеркале. Там же, внутри своего собственного сознания, возникает убеждение — этот отражённый мужчина чужд мне самому, видящему его впервые. Настоящий я — другое. Не имеет смысла продолжать размышления: всё перечисленное кажется бессмысленным и является результатом недавних неприятных переживаний после употребления отравляющего вещества. Или, как говорится, «такого» в вечерней темноте. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться логичный человеческий разум. Разум, который, будучи призван объяснить непонятную древним бескрайнюю даль, преобразовал её в понятную и доступную форму, благодаря использованию числовых обозначений. R-13. К слову, я доволен его приходом: мне бы не хотелось сейчас оставаться одному.'",5.0
3,3,"'Она была одета в костюм древнего стиля: тесное чёрное платье подчёркивало белизну обнажённых плеч и груди, а также выделяло светлые зубы — казавшиеся чрезмерно яркими, словно лунный свет в сиянии дня. Женщина села и начала играть, её исполнение отличалось хаотичностью и нервозностью, отражавшей характер той эпохи, когда она жила — будто хоровод оживших страданий. Она играла беспорядочно, без какой-либо структурированности, словно дикие звери в оковах. Остальные вокруг были согласны друг с другом и весело смеялись, а некоторые испытывали сомнения — как и я, задумываясь над причиной своего смеха. Эпилепсия — это психическое заболевание, вызывающее страдания — постепенно возникало, усиливаясь и становясь всё более интенсивными, словно жгучий пламя в узком пространстве, оставлявшем лишь пепел. Женщина сидела рядом со мной и осмелилась усмехнуться — заставив это сделать маленький пузырь слюны на её губах, появившийся и тут же исчезнувший. Это наблюдение вернуло мне ясность сознания — как возвращающееся свет после долгой полуденной затмения. Подобно остальным, я воспринимал лишь бессмысленный шум струн музыкального инструмента — улыбался и улыбался от облегчения и спокойствия, как будто ожидая прихода нового дня. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей — словно ритмы древних танцев на фоне современных симфоний, несущих в себе мощь порядка и гармонии. После прослушала я современную музыку, демонстриющуюся специально для сопоставления с предыдущей — как старый резиновый мяч на фоне новых шаров, каждый с особой легкостью. Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы; мимо прошёл знакомый человек, имевший необычную фигуру — как высохшая ракушка на фоне живописных водорослей. Я уважительно приветствовал его кивком головы — словно признавая в нем древний археолог, исследующий незнакомые тайны.'",95.0
4,4,"'Рутилов произносил всё это, как обычно, весёлым бодрым голосом, искренне улыбаясь, однако он был худым человеком — слабым и болезненным, несмотря на новый и модной шляпу с редкими светлыми коротко стриженными волосами. \n\n– Ну, разве же втрое! – слабо возразил Передонов, стирая золотые очки.\n\n– Но это же правда! – вскричал Рутилов с лукавой улыбкой. – Ты смотри внимательно и пользуйся моментом, пока я жив, чтобы найти невесту подходящую именно тебе. Каждая из моих дочерей охотно согласится выйти за тебя.\n\n– Здесь действительно многие испытывают ко мне симпатию, – угрюмо похвалился Передонов.\n\n– Вот видишь, значит используй ситуацию, – советовал Рутилов.\n\n– Самое важное для меня, чтобы девушка была полной, не худощавой, – с грустью в голосе сказал Передонов.\n\n– Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то недостаточно полная, это временно. После замужества они станут ещё пышнее, как увидишь хотя бы на моей старшой дочери Ларисе.\n\n– Я бы хотел вступить в брак, – сказал Передонов, — но боюсь, что моя жена Варя устроит крупный конфликт.\n\n– Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: — сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку.\n\nПередонов внезапно начал громко и резко смеяться.\n\n– Значит, соглашаешься? Заключаем сделку? – поинтересовался Рутилов.\n\nПередонов также внезапно прекратил смех и тихо прошептал: — Она расскажет обо всём, эта негодяйка.\n\n– Ей нечего рассказывать о чем-то важном, ничего, о котором стоит сообщить, не произойдёт, – успокаивал Рутилов.\n\n– Или отравит, — испуганно бормотал Передонов.\n\n– Просто доверься мне во всех вопросах, — убедительно настаивал Рутилов, — я обеспечу всё аккуратно и продуманно.\n\n– Без приданого я вступать в брак не намерен, — раздражённо выкрикнул Передонов.\n\nНевыразимое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: — Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?\n\nРутилов пожал Передонову руку и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему весёлыми и насмешливыми, вызывая неясное чувство тревоги.\n\nРутилов удалился, оставляя Передонова с тоской и неприинатеющей ухмылкой на губах. Внезапная мысль о невесте привела к неясному чувству тревоги.'",4.0
5,5,"'Вспоминаю простую ситуацию из жизни, и превращаю её в привлекательную историю. Я — поэт. Случайности определяют развитие событий: их начало может быть скромным или внезапным, но важно начать с достойных восхищения моментов — таких, как здоровье, юность и жизнерадостные качества человека. Красивыми качествами природы могут служить прозрачная вода, солнечный свет и теплое летнее время года. Великолепным примером этого стало ясное и жаркое утро, когда яркие лучи солнца освещали реку Скородень. Прозрачные воды и ослепительный свет создавали незаурядную атмосферу радости благодаря теплу солнечных лучей. Ветер издалека, птицы поют, а два молодых девушки — Елена и Елисавета, родные сестры, купаются в Скородене. Удивительная картина вызывает радость от хорошей погоды, а также присутствия прекрасных девушек в таком наряду. Они необычно выглядят, обнажённые и весело развлекаясь — улыбка, взаимные шепотки и беседа придают естественности их отношения. У них есть мужчина на уме, который становится предметом фантазий. Эти девушки принадлежат обширному саду своего поместья и уделяют особое внимание своей быстрой воде и песчаному берегу, чувствуя себя хозяйками. Человек не знает, где заканчивается его власть — но те, кто уверены в себе и своих правах, уже сейчас наслаждаются им.'",3
6,6,"'Дома расположены на краю города в районе с именем Расчески. Здесь стоят длинные многоквартирные здания, построенные параллельными рядами с интервалами между ними – бетонными двориками, где у местных жителей есть место для игр. Здания белые и украшены множеством окон; выглядят они одинаково. Между зданиями находятся пустующие участки земли, окружённые забором. Остатки разрушенных строений привлекают внимание детей больше, чем эти дворики.'",7.0
7,7,"'Оказалось, что каждый человек, стремящийся обратить на себя внимание — это эгоистичный, негативно окрашенный существ, способный совершать любые поступки и переоценивать собственные достоинства. Вместе с тем, фактически этот человек совершенно незначителен. Самоуверенный и тщеславный — вот как можно охарактеризовать его. Поведение Сипа напомнило истории про птицу, стремившуюся казаться лучше самой себя, или же животное, утонувшее из-за своей собственной глупости. В результате он решил написать ещё одну песню на подобную тему, однако её никто не слушал — и он был обласкан, посылая ему салфетку и прикрывая книжкой. Лицо Сипа побагровело от гнева; он заплакал и тихонько умолк. Гуль произносил речь почти неслышно — словно читал написанное прямо на столе, даже несмотря на то, что там был только испорченный пластмассовый покрытий. Его белые волосы спускались на лицо, мешая видеть, и он поправлял их рукой, впитывая слезы. Прическа держалась лишь до тех пор, пока пальцы не прикоснулись ко лбу — после чего немедленно отскакивала назад, снова закрывая его. Наблюдение за Гулем было делом нелегким: требовалось особое выдерживание. В ответ я старался не смотреть на него; мои нервы уже находились в плохом состоянии, и дополнительная нагрузка могла бы их усугубить.'",6.0
8,8,"'Недавно он был энергичным человеком, способным легко подниматься на руках, как парус на ветру, перемещаясь плавно и бесшумно. Он мог зубами поднять стул и порвать крепкими мышцами рук канат. Тело его бурлило энергией, желанием совершить чудо — прыгнуть через ограду или швырнуть столб вверх. Сейчас что-то изменилось: он начал сутулиться и признаться другу Подтягину о бессоннице. Ночью перед понедельником ему не удалось нормально выспаться, проводя двадцать минут в компании неприятного человека в лифте. Утро следующего дня началось тяжело: он долго стоял голым между прохладных рук, держа их между коленями и осознавая, что снова придется надеть рубашку с пропитанной потом бельем, а также носки и брюки. Это вызывало воспоминания о цыганском пуделе в человеческой одежде — ужасающем зрелище для человека. Усталость из-за отсутствия работы частично объяснялась скопившейся зимой: он сумел накопить около двухсот марок, но последние месяцы были затратными. В прошлом году в Берлине он быстро нашел работу и продолжал трудиться до января, испытывая тяжесть утренних поездок на завод или беготню с подносом среди столиков ресторана «Пир Горой». Занимался также посредничеством, предлагая любые товары: от козлов до средств для укладки волос. Он не отказывался ни от чего — продавал собственную тень, как это делали многие из нас. После съемок за городом, где огромные прожекторы создавали дискомфортное и стыдливое освещение лица людей, он расходовал полученную сумму. '",8
9,9,"'Целый день лежащий неподвижно на кровати, кажется будто движется вверх к ясному солнечному небу и когда приподнимаешься, можно видеть кроны деревьев, ярко освещённые жёлтым светом солнца, тонкие провода, служащие местом отдыха птиц, и деревянный навес над дорожкой красного цвета рядом с парадным входом. Издали слышатся приятные звуки природы: пение птиц, отдалённый собачий лай, скрип воды насоса. Лежишь неподвижно, погружён в размышления о предстоящем подъёме, наблюдаешь солнечные блики на поверхности стола, смотришь как клубок нитей соскальзывает с коленей сидящей рядом матери и плавно перекатывается по гладкому деревянному полу. Именно здесь, в данной комнате, когда Ганин находился на выздоровлении в возрасте шестнадцати лет, сформировался мысленный образ счастья и девушки, которого он позже увидел в реальности. Этот процесс формирования образа происходил благодаря совокупности факторов окружающей обстановки: картинам на стенах, звукам природы за окном, изображению Хрина в киоте, журчащей воде в раковине. Частью развивающегося образа стала атмосфера солнечного света в помещении и очевидно, что без воздействия этой среды такой образ не мог бы появиться. По сути, это были лишь обычные ощущения юности, мечтательные переживания, однако сейчас Ганину представлялось, что такое совпадение мыслей и действительности ранее не происходило столь идеально. Целый день он переходил из одного сада в другой, посещал различные кафе и воспоминания постоянно увлекали его вперёд, подобно движущимся облакам в небе весны в Берлине. Посетители кафе думали что мужчина, внимательный смотрящий вдаль переживает какую-то глубокую печаль и на улицах он случайно сталкивался с прохожими, один раз водитель автомобиля резко остановился выразив недовольство, чуть не столкнувшись с ним. Ганин чувствовал себя творцом восстанавливающим утраченный мир. Постепенно он возвращал детали исчезнувшего мира ради женщины которой ещё не решился придать место в нем пока восстановление не завершится целиком. Однако мысль о ней, ощущение её присутствия, почти забытое воспоминание прошлых впечатлений вынуждали его завершить создание образа окончательно, хотя он сознательно откладывал появление этого образа поскольку хотел приблизиться к нему поэтапно следуя определённой последовательности шагов. Стараясь избежать путаницы среди ярких образов прошлого, он аккуратно реконструировал события своей жизни иногда останавливаясь на незначительных деталях избегая преждевременного перехода к последующим этапам. Бродя по Берлину тёплым майским днём, он действительно выздоравливал физически испытывал первые признаки восстановления после болезни слабость в ногах рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой свободной и непривычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал небольшие земляные бугорки черного цвета образовавшиеся в результате деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки. У него была мечта встретить кого-либо в парке, но конкретного представления о том кто именно должен встретиться у него не было.'",4.0
