index,text,ratio,level,model,size
0,"'Совершенно непохожее явление в тёмных улицах Петербурга, где мерцали непонятные фигуры облаков, которые быстро сменялись друг другом. В небе висел тусклый, бесцветный объект, который казался неопределённой формы и двигался невидимкой рукой. Небо затемнелось, но оно было ещё светло; металлические крыши и дымовые трубы покаялись в тусклом свете, а река Мойка протекала зелёной волной. По берегу размещалось величественное триэтажное здание с пятью белыми колоннами и архитектурными деталями, которые выступали на ярком фоне. По центру здания гулял солдат в блестящем шлеме с позолотой, а на его каске висела серебряная фигурка голубя, расправившего крылья. \n\nНиколай Аполлонович, осыпавшись парфюмом и оставшись без щетины, шёл вдоль зелёной волны Мойки, завернувшись меховым пальто; его лицо было скрыто воротником, а глаза казались туманными. Внутри него происходили беспорядочные чувства без определённого наименования, как будто внутри него возникло сильное внутреннее напряжение и непознанные эмоции указывали ему путь в неизвестную землю. \n\nОн задумывался: может ли это чувство быть любовью? В его памяти встал воспоминание: однажды ночью, покрытый туманом, он вышел из указанного подъезда и спешил к чёрной императорской карете. \n\nОн ощутил дрожь.\n\nПоднялся пучок света: чёрная императорская повозка проследовала мимо, таская ярко-красные фонари; эти светильники отразили своё изображение на тёмной поверхности воды Мойки, а расплывчатые очертания головы слуги и края верхней одежды промелькнули вместе с пучком света, появившись из туманной области и исчезнув в другой. \n\nВозможно ли, что его непонятные чувства являются любовью?'",45.93,2,mistral,7b
1,"'Видны следы великолепного дворца, напоминающего башню в форме, странной для глаз; его кирпично-розовый камень покрыт временем, а власть, жившая здесь раньше, ушла. Дворец возвышается среди голых деревьев, как корона ветров; их ветви поднимаются к небу, как пытающиеся захватить облака, колеблятся и качаются, а вороны, летят высоко над облаками, словно играя со звездами. В этом районе проезжал конный экипаж. На площади стоит конная статуя, которую горожане не замечают часто; она величественна как горная вершина. Сам монарх воздвиг памятник своему предку, который прожил в красном кирпичном дворце только короткое время. Возможно, в окне дворца висели круглая белая голова с завитушками, словно охранник зимнего леса. Здесь происходили беседы между Павлом Петровичем и изнеженной фрейлиной в прозрачной ткани; девушка улыбалась и имела родинку на щеках. Вечер свет луны, блестевший даже на миниатюрном изображении купидона внутри интерьера императорских покоев; там было видно тело человека, лежавшего ранее. Удары часов доносились откуда-то, а скоро стали слышны шаги к постели — всего несколько секунд и она была помята, горячие простыни сохраняли тепло тела; тело исчезло; молодые офицеры с открытыми саблями наклонились над пустой постелью. Слышался плач женского голоса; бледнолицый офицер поднял край шторы и увидел сквозь прозрачную ткань окна смутное очертание дрожащей тени.'",38.0,2,mistral,7b
2,"'В сумерах, мгла затюшила небо, скрывая все, что находится выше - как будто глубины космоса втянулись в бесконечный мир древних богов. Сейчас известно, что облака прозрачнее синей стеклянной кулисы, а небо - бесконечное пространство пустоты. На смену веры пришло убеждение, которое называют знанием. В детстве я был уверен в своей правоте во всём, но теперь впервые осознаю, как отражение во лбу камня застилается в воде, где прошлое не может быть изменено. Раньше я смотрел на себя как на призрак, а теперь вглядываюсь в глаза и вижу другой, чужого человека, незнакомого, с черными ровными бровями и вертикальной морщиной между ними. Как будто я увидел зеркало судьбы - то, что отражается в нём, чуждо мне самому. Серые глаза имеют стальной оттенок, под ними темные круги от бессонницы и неподдерживаемых надежд. По моему взгляду не видны мои настоящие чувства и переживания, а теперь они ясно показались мне в зеркале. Оттуда же, изнутри сознания, смотрящего на моё изображение, появляется твердое убеждение, что этот отражённый мужчина чужд мне самому, мы я вижу его впервые. Настоящий же я - другой, не такой, каким я и сам себя представляю. Неважно какого именно вещества я употребил накануне вечером, но оно предало меня в ловушку собственных предрассудков и неожиданного разумения. Это показалось мне как необыкновенное зеркало - как прозрачный шар, который отражает настоящее лицо в непостижимых видениях. R-13.'",42.95,2,mistral,7b
3,"'Персонаж одет в стиль древности: тесный чёрный костюм подчёркивал белизну обнажённых плеч и груди, а также выделял светлые зубы, казавшиеся сверхъяркими. Женщина усадилась и начинает импровизовать. Её исполнение отличалось хаосом и нервизмом, которые отражают характер той эпохи, в которой она жила. Она играла беспорядочно, без какой-либо структурированности. Прочие вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения, и я тоже задумался над причиной своего смеха. Эпилепсия является психическим расстройством, вызывающим страдания. Боль нарастает постепенно, усиливаясь и становящейся всё интенсивнее. Постепенно пробуждается осознание болезненности ситуации. Затем приходит ощущение солнечного света, яркого и мощного, резко отличающегося от обычного спокойного освещения. Это чувство заставило снять одежду и разорвать её на куски. Человек, сидящий рядом со мной, посмотрел в мою сторону и усмехнулся. Запомнилось одно обстоятельство: я заметил маленький пузырь слюны, появившийся и тут же исчезнувший на его губах. Наблюдение этого явления вернуло мне ясность сознания. Подобно остальным, я воспринимал лишь бессмыслицу шума струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей. После прослушала я современную музыку, демонстрируемую специально для сопоставления с предыдущей. Удовольствие доставляли чёткость структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов. Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек, имевший необычную фигуру, выгнутую в двух направлениях одновременно; я уважительно приветствовал его кивком головы.'",38.1,2,mistral,7b
4,"'Это слова Рутилова казались оживлёнными и жизнерадостными, как обычно, но внутри их лгала мгла. Его голос был ярким и веселым, улыбка на его лице - широкой и заразительной, но его сердце было холодно и мертвое. Под шляпой, которую он носил, чтобы выглядеть модерном, скрывались тёмные, немытые волосы, укоренившиеся в его голове от забот и страданий. - Не можно так! - слабо возразил Передонов, снимая золотые очки и кивнув головой. - Это же правда! - крикнул Рутилов, вздыхая глубоко. - Смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет гораздо сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя. - Да, действительно много людей желают познакомиться с тобой, - угрюмо похвалился Передонов. - Именно поэтому необходимо использовать ситуацию, - советовал Рутилов. - Лучшее для меня, чтобы девушка была полная и привлекательной, - с грустью в голосе сказал Передонов. - Не стоится беспокоиться по этому вопросу, - энергично уверял Рутилов. - Мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временное. После замужества они станут ещё более привлекательными, посмотри хотя бы на мою старшую дочь Ларису. - Я хотел бы вступить в брак, но боюсь конфликта с женой Варькой, - задумчиво похвалился Передонов. - Поскольку ты боишься конфликта, прибеги к хитрости, - предложил Рутилов со взглядом, полным уверенности и изобретательности: - сегодня же заключай брачный союз, лучше сделать это немедленно. Вернись домой с молодой супругой, проблема сама по себе разрешится. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку. Передонов начал грохотать от смеха. - Разве соглашаешься? Заключаем сделку? - поинтересовался Рутилов. Передонов прекратил смех и низко прошептал тихим голосом: - Она расскажет всему миру об этом, эта негодяйка. - Ничего, о чем стоит рассказывать, не произойдет, - успокаивал Рутилов. - Или отравит тебя, - испуганно бормотал Передонов. - Просто доверься мне во всех вопросах, - убедительно настаивал Рутилов, - я обеспечу всё аккуратно и продуманно. - Без приданого я вступать в брак не хочу, - раздражённо выкрикнул Передонов. Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: - Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понимаешь? Рутилов пожал руку Передонова и ушел прочь.'",83.0,2,mistral,7b
5,"'Вспомнилось изображение простого, абсолютно очаровательного момента жизни, который я превратил в захватывающую историю, потому что я - поэт. Я никогда не останусь пассивным или обычным, буду уязвим либо неуязвим, я сделаю из вас шедевр, прекрасную и захватывающую историю о веселье и очаровании. Начинание всегда обусловлено случайностью, но разумнее начать со стороны тех аспектов человеческого опыта, которые вызывают восхищение или хотя бы эстетическое удовлетворение. Прекрасными качествами человека являются сила духа, здоровье и молодость, прекрасными явлениями природы являются прозрачная вода, лучи солнца и теплое время года. Изобразился в голове летний день - ясный и жаркий, а река Скороденич находилась под сиянием солнца. Прозрачная вода, яркий свет и летняя погода создавали ощущение радости благодаря теплоте солнца, открытости пространства, пыханию ветра издалека, присутствию множества птиц и двух молодых красавиц. Елизавета и Елена, родные сестры, купались в реке Скороденич. Эта картина была радостной из-за хорошей погоды, а еще потому, что девушки выглядели необычно красивыми и были обнаженными. Обе испытывали приятные ощущения: прохладу, желание активно двигаться, улыбаться, разговаривать и развлекаться. Во время беседы они упомянули мужчину, который был предметом их мечты. Эти девушки были дочерьми обеспеченного владельца поместья. Участок реки, где они купались, прилегал к обширному старинному саду принадлежавшего им дома. Возможно, им нравилось находиться здесь еще больше, так как они ощущали себя владелицами быстро текущей воды и песчаного берега под ногами. Они свободно передвигались и играли в воде, чувствуя уверенность и свободу владелиц с рождения. Человек не знает, где заканчивается его власть, однако счастливы те, кто уверен в своем положении и полномочиях!'",47.18,2,mistral,7b
6,"'На краю града, в квартале, известном как Расчески, расположено жилище, окруженное длинными многоквартирными строениями, разбитыми параллельными рядами с промежутками, заполненными бетонными дворами, предназначенными для игры местных малышей. Здания одеты в белые одеяла, украшенные множеством окон и кажущиеся единообразными. Между строенийми лежат пустоши, окруженные забором. Остатки развалин привлекают больше внимания детской фантазии, чем эти дворы. \n\nМежду жилых кварталов и пустошей находится отдельно стоящий дом, известный как Серый. Он - старик, относится ко времени разрушения предыдущих построек, а не современным комплексам. Другие строения расположены далеко от него. В здании три этажа, фасад обращен к дороге, также есть внутренний двор, ограниченный металлической сетью. Раньше здание было обидно белым цветом, теперь оно серое снаружи и яркое внутри. Крыша покрыта антенной и кабелями, стены покрываются мелкими шрамами штукатурки и трескаются. рядом располагаются гаражи, подсобные помещения, контейнеры для мусора и будки для собак. Во дворе всё выглядит запущенным. Передняя сторона фасада лишена каких-либо украшений и кажется мрачной. \n\nОбитатели окрестности испытывают неприязнь к этому дому. Хотя никому открыто не высказывается своего недовольства, большинство предпочитает жить подальше от него и желало бы, чтобы этот дом вообще исчезал.'",41.8,2,mistral,7b
7,"'Когда любой человек стремится к вниманию, он выступает как эгоист с негативными качествами, готовясь совершить какие-либо поступки и чрезмерно оценивая свою ценность. Однако фактически такой человек остается бесценным. Этот самоуверенный и тщеславный человек — как птица, желавшая казаться лучше, чем была. Затем — животное, утонувшее вследствие собственного безумия. Подобные песни он хотел исполнить ещё раз, однако больше никто не был готов его слушать. Лицо Сипа изменилось от гнева и он заплакал молчаньем. Его поблагодарили, дали салфетку и предложили другому ученику продолжить выступление. \nГуль говорил почти неслышно, словно читал написанное прямо на столе, несмотря на отсутствие текста, кроме испорченного пластмассового покрытия. Белой шевелилось его волосы, мешая видеть, и он затем управлял ними мокрым пальцем. Прическа держалась только до тех пор, пока палец был приложен к челу, после чего немедленно возвращалась назад, снова закрывая взгляд. Для долговременного наблюдения за ним требуется особая выдержка. По этой причине я старался не смотреть на него: мои нервы находились и так в плохом состоянии, дополнительная нагрузка могла привести к ухудшению самочувствия. \nЧто именно обращает на себя внимание обсуждаемый субъект? Кажется, он стремится к вниманию своей обуви, однако это неверно. С помощью привлечения интереса к обуви он выставляет свои ноги на публичный очерк. Таким образом он демонстрирует физическое несовершенство и подчеркивает недостатки остальным, игнорируя их чувства и мнение. По этой причине он снижает нас...\nОн продолжал говорить монотонно и однообразно. Палец двигался вдоль носа, по его глазам было видно, что он начинал злиться. Я знаю все аргументы, которые он может изложить, поскольку такие речи типичны в данной ситуации. Каждое высказывание Гуля было столь же невыразительным и скучным, как он сам, его пальцы и ногти.'",64.32,2,mistral,7b
8,"'В далекие времена он был блестящим и пылким существом. Мгновенно лезть на руки, поднимая тело вверх ногами и двигаться как парус – это было для него, как будто родная речь. Зубами он мог вытащить стул и разорвать верёвку сильными мышцами рук. Его тело гремело энергией, желая прыгнуть через забор, раскачать столб, одним словом – совершить впечатляющую поступь, как мы говорили в молодости. Сегодня кажется, что произошло нечто изменчивое, словно механизм слегка испортился. Он начал сутулиться и признался другу Подтягину, что страдает бессонницой. Ночью перед понедельником плохо спал, проведя двадцать минут в обществе недостойного человека в остановленном лифте. Утро следующего дня началось тяжело: долгое время сидел голым, держа вытянутые прохладные руки между коленями, пораженный осознанием, что снова должен будет одеть рубаху, носки, брюки – вещи, заполненные грязью и нечистотами. Это чувство приносило у него воспоминание о циганском пуделе, выглядящем ужасающе жалко в человеческой одежде. Частично апатия объяснялась отсутствием работы. За прошедшую зиму удалось скопить небольшую сумму денег, осталось от которой около двухсот марок, потому что последние месяцы были затратными. В предыдущем году, прибыв в Берлин, он быстро нашел работу и продолжал трудиться до января, выполняя разнообразные задания: испытывал тяжесть утренних поездок на завод; чувствовал боль в ногах после десяти километров беготни с подносом среди ресторанных столов заведения «Пир Горой». Занимался также посредничеством, предлагая любые товары, какие попадались под руку – будь то баранки, средство для укладки волос или драгоценности. Он ничего не отвергал: неоднократно зарабатывал продажей собственной тени, как многие из нас. Иными словами, участвовал в массовке киносъемок за городом, где огромные прожекторы, направленные на группу статистов, ярко освещали лица людей своим ярким резким светом, создавая ощущение дискомфорта и стыда. После завершения съемки контракт считался выполненным, и заработанная сумма расходовалась.'",43.57,2,mistral,7b
9,"'В этой комнате лежит жизнь, словно на качелях движущиеся вверх к ясным солнечным облакам. Изображаясь деревьями и проводами, они становятся домом для птиц, а бело-красный дорожек считается уютной лабораторией мечтаний. Звуки природы — пение птиц, брызгающие струи воды и далёкий лай собак — создают симфонию для души, которая погружена в свои размышления. В этой комнате происходит преобразование мечты в реальность, как будто небо заливается золотом и накрывает все сквозь окно. Много лет спустя Ганин помнит, как картины на стенах, звуки природы и изображение Христа в киоте становились составляющими мечты о девушке, которую он видел в жизни. В этой комнате начинается новая страница его судьбы, где солнечное светлое небо создает чувство бесконечности и свободы, а звуки природы заполняют её мечтами и воспоминаниями. В этой комнате он проводит дни в одиночестве, как будто находится на корабле, плавающем по реке счастья. Через каждый шаг он движется ближе к своей мечте, как облака на небе весной в Берлине. Ганин чувствует себя творцом, восстанавливающим утраченный мир, но мечта о девушке ещё не полностью сформировалась, как будто она находится на краю картины и вскоре станет главной героиней. В этой комнате он продолжает создавать образ своей мечты, постепенно собирая все детали, чтоб вызвать чувство полного совершенства. Он проходит дни в этом городе, как будто спускается внутрь себя и начинает создавать новый мир, свободный от неопределенности и страха.'",43.6,2,mistral,7b
