Unnamed: 0,index,text,ratio
0,0,"'В пустынных улицах Петербурга двигались слабо освещённые, тусклые очертания облаков; скоротечно сменялись куски облаков, как будто танцуют в небесном балете. Какое-то туманное свечение заполнило небо, позволив металлическим крышам и дымовым трубам вздохнуть и ослепиться. Река Мойка текла с зелёным оттенком, а рядом с её берегом стояла трехэтажная постройка, украшенная пятью белыми колоннами; архитектурные детали выступали на ярком фоне. На красном фоне строения спокойно шел солдат Её Величества в блестящем шлеме, украшенном золотом. На его каске лежала серебряная фигурка голубя, расправлявшего крылья. Николай Аполлонович, используя парфюм и сбрив шевелюру, прогуливался вдоль набережной реки Мойки, покрывшись меховым плащом; его голова заковывалась воротником одежды, а глаза отражали необыкновенный свет. Внутри него возникало ощущение волнения без названия; это как будто внутреннее напряжение и непояснимые чувства тянули его в неизвестные места. «Может ли это чувство быть любовью?» — думал Николай Аполлонович, вспоминая ночное воспоминание: однажды покрытый туманом, он быстро вышел из подъезда и спешил к чугунной петербургской переправе, намереваясь именно там... Он испытал дрожь. За ним пролетел пучок света: тёмная императорская повозка двигалась рядом со стены хорошо освещённого дома, везя яркие фонари; эти светильники отразились на темной поверхности вод Мойки; расплывчатое очертание головного убора слуги и форма края верхней одежды промелькнули вместе со светлом пучком, появившись из туманной области и исчезнув в другой.'",24.0
1,1,"'В этом месте стоял экстравагантный дворец, отсылающий к высокой башне: его кирпичная розовая фасад и массивные каменные стены создавали впечатление необычного замка. Это произошло давно, теперь утраченного монарха, который здесь жил, больше нет. Без осени деревья, их веточки поднимались к небу как тихие вздутия ветра, колеблясь, словно пытаясь поймать пролетевшие мимо облака; виднелась ворона, острижно взлетевшая и на несколько секунд поднимаясь над облаками, а затем стремительно упав вниз. Экипаж проехал через этот район. Скульптура коня выделялась на фоне площади; жители города редко обращают на нее внимание, хотя эта фигура величественна. Сам монарх возвел памятник своему славному предку; он прожил здесь короткий период времени. Можно было видеть круглую белую голову с завитушками волос рядом с узким окном дворца; человек смотрел через стекло, либо терялся в мягких оттенках заката, либо фиксировался на серебристом блеске луны среди густой листвы деревьев. В ворота проходили солдаты в треугольных шляпах с шелковистыми петлицами и отдавали честь генералу, когда он проходил мимо в покрытой картинами карете; напротив находился высокий возница, сидящий на высоком сиденье экипажа; сзади стояли черные слуги. Павел Петрович еще раз посматривал вокруг себя и продолжил беседу со своею изнеженной фрейлиной, одетой в прозрачную ткань; дама улыбалась; на щеках появились небольшие впадинки, родинка. В ночь свет луны освещал интерьер императорских покоев и изображение купидона на подушке; там уже виднелась форма человека, который лежал ранее; откуда-то раздавались удары часов; вскоре слышались приближающиеся шаги... Прошло всего несколько секунд — постель оказалась помятой: простыни еще сохраняли тепло тела; покойника не было видно; группа молодых офицеров с обнажёнными саблями склонилась над пустым изголовьем кровати; кто-то пытался открыть дверь; слышался плач женского голоса; бледнолицый офицер поднял край шторы и за прозрачной тканью окна появилось смутное очертание дрожащей тени. Откуда-то доносились звуки боя часов; неподалеку раздавались уходящие шаги.'",32.0
2,2,"'Звездный вечер. Легкая дымка повисла над землёй, туман скрыл небо, не видно ничего выше. В старину говорили, что там обитает Бог-наблюдатель, равнодушный наблюдатель всего происходящего. Сейчас известно, что это — просто звездное небо и пустота космоса. Теперь я смеется над своими предыдущими предположениями относительно того, что скрывается за пределами видимости, поскольку получил много новых знаний. Полное убеждение равнозначно веру. До этого я был уверен в своей правоте во всем касающемся меня самого. Однако теперь впервые осознаю своё отражение в зеркале словно незнакомца. Впервые глубоко просматриваю собственное лицо и удивляюсь себе словно другому человеку. Перед мной появляется человек с чёрными ровными бровями и вертикальной морщиной меж ними (раньше я не замечал её). Глаза имеют серый оттенок, под ними темные круги от бессонницы. По моему взгляду не видны мои настоящие чувства и переживания, и ранее я их не понимал. Оттуда же, изнутри сознания, смотрящего на моё изображение, появляется твёрдое убеждение, что этот отражённый мужчина чужд мне самому, мы я вижу его впервые. Настоящий же я — другой. Нет смысла продолжать размышления: всё перечисленное бессмысленно и является результатом недавних неприятных переживаний после употребления какого-то отравляющего вещества накануне вечером. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться разум человеческий. РАЗУМ, способный объяснить непонятную древним бескрайнюю даль, представить её понятной и доступной — благодаря использованию числовых обозначений. R-13. К слову, я доволен его приходом: мне бы не хотелось сейчас оставаться одному.'",27.0
3,3,"'Это было вечером во время исторического бала. Венчающим собой все остальное была леди, одетая в античное платье: тесный чёрный костюм подчеркивал белизну обнажённых плеч и груди, а также выделял светлые зубы, казавшиеся блестящими, как перламутр. Она усадилась на стул и начала играть на лирах. Её исполнение было хаотичным и напряжённым, отражающим атмосферу той эпохи, которую она одухотворяла. Она играла беспорядочно, без какой-либо структурированности, в то время как остальные вокруг танцевали и весело смеялись. Некоторые из присутствующих были загадоваты, а я начинал сомневаться в своем восприятии этого эпического шоу. Кто был этот человек, который сидел рядом и усмехался? Запомнилось одно обстоятельство: я заметил маленький пузырь слюны на его губах, появившийся и тут же исчезнувший. Наблюдение этого явления вернуло мне разум. Кажется, для него было нечто более значимое, чем лишь звук струн музыкального инструмента. Он улыбался, чувствуя внутреннее ощущение гармонии и порядка. Лекционный материал дал реалистичное представление о событиях того периода, вызвав восхищение аудитории. Казалось, для него было нечто более значимое, чем лишь звук струн музыкального инструмента. Я попробовал современную музыку, которую специально демонстрировали для сравнения с прошлым. Удовольствие доставляло чёткость структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов. Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек с необычной фигурой: он был выгнут вверх и вниз одновременно; я уважительно приветствовал его кивком головы.'",31.875
4,4,"'Все это Рутилов говорил с одухотворенной энергией, светлым и жизнерадостным тоном, улыбаясь, однако он имел худшую внешность, создавая впечатление немощного и болезненного, несмотря на новую модную шляпу, скрывающую редкие коротко стриженые волосы. – Вот в третий раз! – ошеломлённо возразил Передонов, вытаскивая из кармана очки золотого блеска. – Неужели? – воскликнул Рутилов с неожиданной энергией. – Просто выбирайте! Смотрите на меня, пользуйтесь моментом, пока я жив, потому что после моей кончины будет трудно найти такую же красоту, как твоя. Каждая из моих дочерей бы готова выйти за тебя за руку. – В действительности многие испытывают к тебе симпатию, – с грустью в голосе сообщил Передонов. – А значит используй ситуацию, – советовал Рутилов с энтузиазмом. – Самое важное для меня, чтобы девушка была не худощавой, – с грустью в голосе сказал Передонов. – Лучше пусть будет полной. – Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису. – Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт. – Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: – сегодня же заключай брачный союз, лучше сделать это немедленно. Вернись домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберушь любую девушку. Передонов неожиданно начал грохотать от смеха. – Значит, соглашаешься? Заключаем сделку? – поинтересовался Рутилов. Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом: – Она расскажет обо всём, эта негодяйка. – Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдёт, – успокоил Рутилов. – Или отравит, – испуганно бормотал Передонов. – Просто доверься мне во всех вопросах, – убедительно настаивал Рутилов, – я обеспечу всё аккуратно и продуманно. – Без приданого я вступать в брак не намерен, – раздражённо выкрикнул Передонов. Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: – Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял? Рутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему веселыми и насмешливыми. Непристойная мысль вызвала мимолетную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги.'",28.0
5,5,"'Из жизни мне вспоминается простой и прозаичный эпизод, который я преобразую в привлекательную поэму, поскольку я - поэт. Я не оставлю тебя пассивным и однообразным, а наполню твою историю жизненной силой и эмоциями - несмотря ни на что, я, будучи поэтом, превращу тебя в красоту и увлекательную сказку о приятном и захватывающем. В жизни случаи определяют ход событий, любое начало обусловлено непредсказуемыми обстоятельствами. Однако более целесообразно начинать с тех аспектов человеческого опыта, которые вдохновляют и привлекают или, по крайней мере, являются эстетическими и удовлетворяющими душу. Красивыми качествами человека являются здоровье, юность и жизнерадостность, красивыми явлениями природы - прозрачная вода, солнечный свет и теплое время года. Лето было очень яркое и теплое, и река Скородень подвергалась блеску солнца. Прозрачная вода, яркий свет и летняя погода создавали эффект радости благодаря жаркому солнцу, открытости пространства, ветру издали, присутствию множества птиц и двух молодых девушек. Елизавета и Елена, родные сестры, купались в реке Скородень. Картинка вызывала радость из-за хорошей погоды, а еще потому, что девушки были более привлекательны обычного, и были обнаженными. Обе испытывали приятные ощущения: прохладу, желание активно двигаться, улыбаться, разговаривать и развлекаться. В беседе они упомянули мужчину, который был предметом их мечтаний. Эти девушки были дочерьми обеспеченного владельца поместья. Участок реки, где они купались, прилегал к обширному старинному саду, принадлежавшего им дома. Возможно, им нравилось находиться здесь еще больше, так как они ощущали себя владелицами быстро текущей воды и песчаного берега под ногами. Они свободно передвигались и играли в воде, чувствуя уверенность и свободу владелиц с рождения. Человек не знает, где заканчивается его власть, однако счастливы те, кто уверен в своем положении и полномочиях!'",28.0
6,6,"'На краю города стоит район, нарисованный как Расчески - место, где стоят высотки, расположенные в параллельных рядах с интервалами, занятыми бетонными дворами, предназначенными для игр местных детей. Эти белые здания, наполненные многочисленными окнами, выглядят одинаково и почти монотонно. Между высотками находятся пустыри, окруженные забором. Старые руины привлекают больше внимания детей, чем эти дворы. между жилыми зданиями и пустошами стоит отдельно стоящий дом, известный как Серый. Это старинное строение относится к периоду разрушения предыдущих построек, а не современным комплексам. Другие дома расположены вдали от него. Дом имеет три этажа, фасад направлен к дороге, также есть внутренний двор, ограниченный металлической сетью. Первоначально здание было белого цвета, но сейчас его покрывают серая корка и жёлтые отсечки. Крыша увенчана антенной и кабелями, а стены покрыты мелкими шрамами от трещин. На ближайших зданиях располагаются гаражи, подсобные помещения, контейнеры для мусора и будки для собак. В дворе все выглядит запущенным. Фасад лишен украшений и выглядит мрачным. Жители округи испытывают неприязнь к этому дому, хотя никто открыто не говорит о своем недовольстве. Большинство предпочитает жить подальше от него и желало бы, чтобы этот дом вообще исчезал.'",31.57
7,7,"'Оказалось, что каждый человек, стремящийся показывать свою значимость, является самоцентричным индивидумом с отрицательными чертами, способным совершать любые действия и переоценивающим свои достоинства, тогда как фактически этот человек не имеет никакого значения. Такой человек выдаёт себя за короля на балу без приглашений. Что-то похожее. Сип прочитал рассказ о птице, которая хотела казаться более величественной, чем ей было. Затем стих об животном, утонувшем вследствие собственной эгоцентричности. После этого он решил исполнить ещё одну песню подобного содержания, однако его больше никто не слушал. Лицо Сипа изменилось от гнева, он заплакал и умолк. Его благодарили, дали салфетку, прикрыли книгой и предложили другому ученику продолжить выступление. Гуль говорил словно отрывной птицей, не глядя вверх, казалось будто читал написанное прямо на столе, несмотря на отсутствие там какого-либо текста, кроме испорченного пластмассового покрытия. Белые волосы спускались на лицо, мешали видеть, и он поправлял их мокрым пальцем. Прическа держалась лишь до тех пор, пока палец был приложен ко лбу, после чего немедленно возвращалась назад, снова закрывая взгляд. Для длительного наблюдения за ним нужна особая выдержка. По этой причине я старался не смотреть на него: мои нервы находились и так в плохом состоянии, дополнительная нагрузка могла привести к ухудшению самочувствия. — Какого рода внимания добивается обсуждаемый субъект? Кажется, будто он стремится показать свою обувь. Однако это неверно. Через привлечение интереса к обуви он демонстрирует своё физическое уродство, подчёркивая недостатки остальным людям, игнорируя их чувства и мнение. В некотором отношении он таким образом унижает нас... Он продолжал говорить монотонно и однообразно. Палец перемещался вдоль носа, по его глазам было видно, что он начинал злиться. Мне заранее известны все аргументы, какие он мог изложить, поскольку такие речи типичны в данной ситуации. Каждое высказывание, произнесённое Гулем, было столь же невыразительным и скучным, как он сам, его пальцы и ногти.'",25.71
8,8,"'Недавно он был жизнерадостным и мощным человеком, легко державшийся на руках, как будто поднимал свое тело вверх ногами и танцевал плавно, словно парус на ветре. Мог быстро поднять стул, разорвать верёвку крепкими мышцами рук. Его тело пульсировало энергией, желая преодолеть стену, пойти на удар, в одном слове — совершить заметное действие, как мы говорили в молодости. Сейчас что-то изменилось, словно механизм слегка испортился. Он начал сутулиться и признался другу Подтягину, что страдает бессонницой. Ночью накануне понедельника плохо спал, проведя двадцать минут в непристойной компании человека в остановленном лифте. Утро следующего дня началось тяжело: долгое время сидел голым, держа вытянутые холодные руки между коленями, пораженный осознанием, что снова должен был одеть рубаху, носки, брюки — вещи казавшиеся нынешней обузой. Подобное чувство вызывало у него воспоминание о бедном цыганском пуделе, словно замученном в человеческой одежде. Частично апатия объяснялась отсутствием работы. За прошедший зимний период удалось скопить небольшую сумму денег, от которой осталось около двухсот марок, потому что последние месяцы были дорогими. В предыдущем году, прибыв в Берлин, он быстро нашел работу и продолжал трудиться вплоть до января, выполняя разнообразные задания: испытывал трудности утренних поездок на завод; чувствовал боль в ногах после десяти километров беготни с подносом среди ресторанных столов заведения «Пир Горой». Занимался также посредничеством, предлагая любые товары, какие попадались под руку — будь то баранки, средство для укладки волос или драгоценности. Он ничего не отвергал: неоднократно зарабатывал продажей собственной тени, как многие из нас. Иными словами, участвовал в массовке киносъемок за городом, где огромные прожекторы, направленные на группу статистов, ярко освещали лица людей своим ярким резким светом, создавая ощущение дискомфорта и стыда. После завершения съемки контракт считался выполненным, и заработанная сумма расходовалась.'",31.25
9,9,"'Весь день пребывая на кровати кажется, будто караулишься перед ясным, солнечным небом, взобравшись на вершину, видишь лиственные кроны деревьев, освещённых жарким солнечным светом, тонкие провода, предоставляющие убежище птицам, и деревянный козырь над тропинкой красного цвета рядом с парадным входом. Снаружи доносятся приятные звуки природы: певческое пение птиц, удалённый воронковый лай собак, трепещущие шумы водяного насоса. В заросшем солнечным светом помещении лежишь неподвижно, погружен в размышления о предстоящем восхождении, наблюдая как золотые лучи света плывут по поверхности стола, глядя как клубок нитей падает со коленей сидящей рядом матери и легко катится по гладкой деревянной поверхности... Именно здесь, в этой комнате, когда Ганин находился на выздоровлении в возрасте шестнадцати лет, сформировался ментальный образ рая и девушки, которого он позже увидел в реальности. Этот процесс формирования образа происходил благодаря совокупности факторов окружающей обстановки: картинам на стенах, звукам природы за окном, изображению Христа в киоте, журчащей воде в раковине. Частью развивающегося образа стала атмосфера солнечного света в помещении, и очевидно, что без воздействия этой среды такой образ не мог бы появиться. По сути, это были обычные чувства юности, мечтательные переживания, однако сейчас Ганину представлялось, что такое совпадение мыслей и действительности ранее не происходило столь совершенно. Всякий день он путешествовал из одного сада в другой, посещал различные кафе, а воспоминания всегда затягивали его вперёд, подобно текущему в весеннем небе облаку в Берлине. Гостям кафе казалось, что мужчина, увлекательно смотревший далеко, переживает глубокий горечь, а на улицах он случайно сталкивался с прохожими, один раз водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись с ним. Ганин чувствовал себя творцом, восстанавливающим утраченный мир. Постепенно он возвращал детали исчезнувшего мира ради той женщины, которой ещё не решился придать место в нём, пока восстановление не завершится целиком. Однако мысль о ней, ощущение её присутствия, почти забытое воспоминание прошлых впечатлений вынуждало его завершить создание образа окончательно, хотя он сознательно откладывал появление этого образа, поскольку хотел приблизиться к нему поэтапно, следуя определённой последовательности шагов. Стараясь избежать путаницы среди ярких образов прошлого, он аккуратно реконструировал события своей жизни, иногда останавливаясь на незначительных деталях, избегая преждевременного перехода к последующим этапам. Бродя по Берлину тёплым майским днём, он действительно выздоравливал физически, испытывал первые признаки восстановления после болезни, слабость в ногах, рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой, свободной и слегка непривычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал маленькие земляные бугорки чёрного цвета, образовавшиеся в результате деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки.'",21.46
