,index,idiomatic_version
0,0,"text='Над пустынными петербургскими улицами ковыляли неясные облака, слабо освещённые редким мраком; клочья туч бесшумно менялись друг за другом. Некий тусклый светящийся объект извивался в небе неярко и безцветно — небо приобрело слабое сияние, от чего металлические крыши и дымовые трубы засверкали. Здесь протекала зелёная река Мойка; её один берег украшали триэтажное здание с пятью белыми колоннами; на его высоком верху поднимались архитектурные элементы, оживлённо мигая в лучах. Солдат Её Величества в блестящем шлеме с золотистой позолотой шел спокойно по набережной, его голова укрыта воротником мехового пальто; глаза, полные волнения без конкретного названия, отражали свет внутренними оттенками. Николай Аполлонович, сдобрив щетину и нанеся своё изюминку парфюмерии, шёл вдоль реки Мойки, прикрываясь меховым пальто; его голова скрывалась внутри воротника одежды, а глаза отражали свет внутренними оттенками. Он размышлял: возможно ли, что это чувство — любовь? В памяти взмысцоило воспоминание: ночью он выскочил из указанного подъезда и побежал к чугунной переправе Петербурга, намереваясь там... Он ощутил дрожь. Над рекой Мойкой пролетел световой вихрь: черная императорская повозка проносилась мимо окон дома с роскошной освещённостью, выпуская яркие красные фонари; их изображения отражались на темной воде Мойки. Промелькнули обводы головного убора рабочего и форма верхней одежды в туманной области — затем они исчезли в другой зоне, проплывая мимо ярко освещённых окон дома.' ratio=23.0"
1,1,"text='На указанном месте располагалась роскошная кирпично-розовая башня, напоминающая странной формы замок: массивный и розовый похож на величественный монархский дворец. Время ушло, и сейчас этот верхний уровень уже не принадлежит ни одному правителю — он был обречен на забвение. Возвышаясь над безлистными деревьями, кирпично-розовый дворец выглядел как тихий ветер; его ветки, подобно затаившимся порывам ветра, то и дело колебались, словно пытаясь ухватить проходящие облака. Караючи взметнулась вверх ворона — она стремительно летела, оставляя за собой сияние своего полёта; лишь после этого она снова приводила себя в чувство и медленно опускалась к земле подобно птице, вернувшейся из далека. В экипаже проезжали мимо этого района, создавая риторический шум — как будто они искали тихий уголок для отдыха после долгого пути. Сам монарх воздвиг памятник своему знаменитому предку в форме соломенной головы, похожей на круглое белое кружево; она прикована к узкому проему окна, именным порталом дворца. Железные часы издавали тихий звонок, а плач женского голоса привлек внимание — кто-то пытался открыть входную дверь; бледный офицер поднял штору и увидел смутное очертание дрожащей тени за ней. Оттуда доносился звон часов, а далёкие шаги становились всё громче и отдалялись... Вскоре прошло несколько секунд — постель уже была трепаната: простыни сохраняли тепло тела покойника; его уже не было видно, лишь стекла окон говорили о том, что кто-то приходил в гости, зажигая свет подсвечники. Внутри императорских покоев крохотный купидон блестел на изображении — как будто он собирался унести тихий шепот покойника... Казалось, что весь мир остановился в этом величественном доме. ' ratio=20.0"
2,2,"text='Вечер. Легкая дымка. Туман скрывает небо, не видно ни единой звезды. В древности полагали, что над облаками обитает главный бог, равнодушный наблюдатель всего происходящего. Сейчас известно, что выше облаков лишь прозрачная синева и пустота космоса. Теперь же я теряюсь в догадках относительно того, что скрывает невидимые дали — изобилие новых знаний омрачает моё разумение. Полностью убежденное знание эквивалентно верованию. Раньше я был уверен в своей правоте во всём касающемся меня самого, но теперь впервые осознаю своё отражение в зеркале совершенно ясно и отчётливо — как другого человека с чёрными ровными бровями, вертикальной морщиной между ними (раньше я их не замечал). Серые глаза имеют стальной оттенок, под ними темные круги от бессонницы. По моему взгляду не видны мои настоящие чувства и переживания — ранее я их не понимал. Оттуда же, изнутри сознания, смотрящего на моё изображение, появляется твёрдое убеждение: этот отражённый мужчина чужд мне самому — мы впервые его видим. Настоящий же я — другой. Не имеет смысла продолжать размышления: всё перечисленное бессмысленно и является результатом недавних неприятных переживаний после употребления отравляющего вещества накануне вечером. Неважно какого именно. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться логичный человеческий разум. Разум, способный объяснить непонятную древним бескрайнюю даль, представить её понятной и доступной — благодаря использованию числовых обозначений. R-13. К слову, я доволен его приходом: мне бы не хотелось сейчас оставаться одному.' ratio=25.0"
3,3,"text='Она была облачена в платье древнего эпохи: тесное чёрное шёлковое платье подчеркивало её белизну обнажённых плеч и груди, а также выделяло светлые зубы, казавшиеся чрезмерно яркими. Женщина села и начала играть. Её исполнение было хаотичным и нервозным, отражавшим характер эпохи, когда она жила. Она играла беспорядочно, без какой-либо структурированности, а её окружившие были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения и задумчивость, включая меня. Внезапно я заметил маленький пузырёк слюны на губах одного из собеседников. Его отсутствие вернуло мне ясность сознания.' ratio=23.0"
4,4,"text='Всё это Рутилов произносил, как обычно, бодрым голосом и оживлённо улыбаясь, однако он был худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светлые коротко стриженые волосы. – Ну, разве же втрое! – слабо возразил Передонов, снимая и вытирая золотые очки. – Но это же правда! – вскричал Рутилов. – Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя. Здесь действительно многие испытывают ко мне симпатию, – угрюмо похвалился Передонов. – Вот видишь, значит используй ситуацию, – советовал Рутилов. – Самое важное для меня, чтобы девушка не была худощавой, – с грустью в голосе сказал Передонов. – Лучше пусть будет полной. Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису. Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт. Поскольку боишься конфликта, поступи так: сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь я всё организую прямо завтра вечером? И выберешь любую девушку.' ratio=24.0"
5,5,"text='Вспоминаю простую историю из жизни, но превращаю ее в потрясающую повесть. Я поэт — художник слов, создающий образы на страницах моей мысли. Чувствую себя обязанным создать для вас восхитительную и захватывающую сказку о приятном и завораживающем событии. Нарисую сцену, где случайные повороты обстоятельств ставят в движение действия, однако я предпочту начать издалека от простого — с тех человеческих переживаний, которые вызывают эстетическое восхищение и радость. Прелести человека заключаются в его здоровье, юности и жизнерадостности; а природные красоты — в прозрачной воде реки, ярком солнечном свете и тепле лета. Великолепная погода озаряет день летнего зноя, когда река Скородень наполняется драгоценным сиянием солнца. Прозрачная вода, светящийся отсвет и прикрытый воздух создают атмосферу радости благодаря теплу погоды и открытости пространства. Ивановна Елисавета и Петровна Елена — родные сестры, купающиеся в реке Скородень. Панорама вызывает удивление по-прежнему благодаря чудесному климату и тому, как они выглядят прелестными, обнаженными, но при этом не раздражительными детьми солнечного летнего дня. Обе испытывают приятные ощущения: прохлада воды, желание активности и веселья, улыбка и общество. Они в беседе заговаривают об одних и тех же людях, которые становятся предметом их сказочной фантазии. Эти девушки — дочери зажиточного владельца поместья, привыкших к свободе передвижения в полной уверенности своих прав и возможностей. Человек, несущий власть, не знает ее границ, однако счастливы те, кто уверенно владеет своим положением! ' ratio=26.0"
6,6,"text='Дом располагается на краю городка, в районе, известном как Расчески — узким коридором между многоквартирными строениями параллельно расположенных, а также бетонными двориками, где любознательные дети местных жителей проводят время. Эти здания были белых цвета и украшены множеством окон; каждый из них выглядел одинаково в меру своей величины и привлекал внимание юных обитателей района, которые охотно играют на заборах между домами. Между этими многоквартирными зданиями находились пустующие участки земли, окружённые заборами — места, привлекающие к себе больше внимания детей, чем эти садовые тротуары. Между жилыми районами и полупустырь располагался одиночный дом, известный как Серый: старое со строительством в период разрушения прежних построек — несхожим к современным жилым комплексам. Стройка имеет три этажа, и её фасад обращён к дороге; за ней — внутренний дворик, ограниченный металлической сетью. Начиная с белого цвета, он стал серым снаружи и желтым внутри: крыша покрыта антенной и кабелями, а стены — рыхлыми обрывками штукатурки и трещины. Его окружало рядом со стройкой гаражи, подсобные помещения, контейнеры для мусора и будки для собак; все это выглядело запущенным. Передняя часть фасада была без украшений — мрачной и пустующей.' ratio=16.0"
7,7,"text='Оказалось, что каждый человек, стремящийся обратить на себя внимание, является эгоистичным человеком с негативными качествами — способным совершать любые поступки и переоценивающим собственные достоинства. Тогда как фактически этот человек совершенно незначителен. Самоуверенный и тщеславный он был, точно птица-обманщица, желавшая казаться лучше, чем была; или утопившийся из-за собственного неразумия зверь, о котором стихотворение повествовало. После прочтения рассказа Сип решил написать ещё одну песню такого же содержания, однако его больше никто не слушал: лицо Сипа изменилось от гнева, он заплакал и умолк. Его поблагодарили, дали салфетку, прикрыли книгой и предложили другому ученику продолжить выступление. Гуль произносил речь почти неслышно, словно читал написанное прямо на столе: белые волосы спускались на лицо, мешая видеть — они поправлялись мокрым пальцем, поскольку приголубленные пряди держались лишь до тех пор, пока палец был приложен ко лбу. Для длительного наблюдения за ним требовалась особая выдержка: я старался не смотреть на него — мои нервы находились и так в плохом состоянии, дополнительная нагрузка могла привести к ухудшению самочувствия. Такие речи типичны в данной ситуации — они были монотонными и однообразными: палец перемещался вдоль носа, по его глазам было видно, что он начинал злиться. Мне заранее известны все аргументы, какие мог предложить Гуль — невыразительные и скучные, как сам он, его пальцы и ногти.' ratio=23.0"
8,8,"text='Недавно он был образцовым сподвижником в жизни — бодрым и энергичным человеком, мастерски перемещающим тело с ног на руки, словно легкий парус. Его зубы, крепкие как лопаты, могли поднять любой стул и даже порвать крепкими руками шеренгу канатов. Тело его бурлило энергетикой желаний прыгнуть через ограду, раскачать столб или совершить впечатляющий поступок, как мы говорили в юности. Но что-то изменилось — словно старый механизм слегка испортился и стал работать не так эффективно. Он начал сутулившись и признал другу Подтягину, что страдает бессонницей. Вечером перед понедельником он провел двадцать минут в лифте компании непристойного человека, чувствуя себя словно обугленный от телесных испытаний на заводе. Утро следующего дня началось тяжело — долгое время сидел голым, держа вытянутые руки между коленями, пораженный осознанием, что снова должен будет одеть рубаху, брюки и носки, пропитанные потом и грязью. Каждая из этих вещей казалась непривычной обязанностью. Подобное чувство вызывало воспоминание о цыганском пуделе в человеческой одежде — ужасающе жалком, брошенном в мир людей беззащитным.' ratio=21.0"
9,9,"text='Весь день лежащий на кровати будто поднимается к ясному солнечному небу, пока приподнимаясь можно вниз глядеть на раскинувшиеся за окном деревья с их желтыми штрихами солнечного света. Птичий пение и умеренный лай собаки поют за окнами, а слышны чудесные христианские звуки из киота и журчащая вода в раковине. В такой обстановке создаётся ощущение атмосферы света природы, без неё образ бы не вырос. На самом деле всё это были обыденные восприимчивые мечты юности — любовь к прекрасной девушке, которую он впоследствии увидел в жизни. К тому моменту Ганин находился на шестнадцатом году жизни и в стенах этого особняка всё ещё формировал образ счастья. Период образования образа проходил под влиянием окружающих обстоятельств: картины на стенах, звуки природы из окна, изображение Христа в киоте, журчащая вода в раковине. Образ также развивался под воздействием света в комнате, без него не мог бы существовать такой образ. По сути, это были лишь обычные ощущения юности: мечтательные переживания, но вот при жизни Ганин представлял этот идеальный совпадение мыслей и реальности, не случавшийся ранее столь гармонично. Весь день он переходил из одного парка в другой, посещал различные кафе, воспоминания при этом постоянно тяготили его к будущему, точно так же как летние облака подобно движущимся облакам над Берлином. Посетители кафе думали, что мужчина, внимательно смотрящий вдаль переживает глубокую печаль и на улицах непредсказуемо сталкивался с прохожими: однажды водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись с ним. Ганин чувствовал себя создателем, восстанавливающим мир постепенно привносящим в жизнь детали исчезнувшего мира ради женщины, которой он ещё не готов был признать место во всём мире; но мысль о ней, ощущение её присутствия, даже забытые воспоминания прошлых впечатлений удерживали его стремиться завершить образ. Он тщательно реконструировал события своей жизни, иногда замедляясь на деталях, избегая преждевременного перехода к последующим этапам. Бродя по парку в солнечный майский день, он действительно выздоравливал физически, испытывал первые признаки восстановления после болезни, слабость в ногах, рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой, свободной и необычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал небольшие черные земляные горки, образовавшиеся от деятельности животных — такие вещи всегда привлекали внимание Ганина. Он надел белую нижнюю одежду и светло-фиолетовые носки. Всё это помогало ему сознательно задерживать образ в себе, чтобы приблизиться к нему поэтапно, следуя определённой последовательности шагов. Он стремился избежать путаницы среди ярких воспоминаний прошлого и не стремился выделять важные моменты сразу.' ratio=25.0"
