,index,idiomatic_version
0,0,"text='Пустынными петербургскими улицами скользили слабо освещённые неясные облака; клочья их сменялись друг за другом как бы в невнятном танце. Некий тусклый светящийся объект неопределённой формы шёл по небу, но его фигура оставалась неясно и бесцветна; небо приобрело слабое сияние, как будто в него просачивались последние отзвуки дня. От этого заблестели металлические крыши и дымовые трубы — словно стекло утреннего рассвета, бликовавшее на ночном море. Вдоль реки Мойки, которую ярко окрашивала зелёная шапка берегов, протекал трёхэтажный дом с пятью белыми колоннами — как будто сама природа не могла найти точного параллеля для столь роскошной архитектуры. Аверхийские своды поднялись над мостовой, и там выступали архитектурные элементы — как будто небо самим собой возвышается над городом. Вокруг сползала тень, но из глубин её вырывались огоньки: солдат Её Величества шёл молча по набережной в блестящем шлеме с позолотой — как будто на его голове расправился голубь, прорываясь сквозь тень. Николай Аполлонович предварительно использовал парфюм и убрал щетину; он окутался меховым пальто, закрывшись от ночных холодов — словно сама капля дождя проникающая в сердце человека. Голова его скрылась в воротнике одежды, и лишь глаза необычайно отражали свет, словно два зеркала, выпустившиеся из тьмы. Внутри он испытывал волнения без определённого названия — как будто внутри него поднималась сила, способная вывести его за пределы обыденной реальности: одновременно страшные и приятные ощущения впивались ему в душу, словно корни растения тонко проникающие в землю. Он размышлял, возможно ли, что это чувство является любовью? В памяти всплывало воспоминание: однажды ночью он покрытый туманом выскочил из указанного подъезда и поспешил к чугунной петербургской переправе — как будто бегство было не только необходимым, но и отвлечённым. Вдруг дрогнуло: пролетел мимо в темном ночной тьме светящийся объект — как будто на Мойке разыгралась сцена из какой-то древней пьесы: чёрная императорская повозка проносилась рядом с окнами хорошо освещенного дома, освещаясь своими ярко-красными фонариками — как будто они были священными светильниками, искрящимися в тумане ночи. Расплывчатое очертание головного убора слуги и форма края верхней одежды промелькнули вместе со светом — словно две маленькие звёзды исчезая под покровом тьмы, чтобы вновь возникнуть на другой стороне. Как будто небо само было хранителем этой сценарной репетиции: любые события могли идти своим чередом, но они всегда были частью большой истории.' ratio=38.0"
1,1,"text='На указанном месте возвышался роскошный дворец, своей верхней частью напоминающий странной формы замок — кирпично-розовый, массивный каменный, словно уютная пещера для дракона. Это происходило давно, и сейчас монарха, жившего здесь тогда, больше нет. Кирпично-розовый дворец возвышался среди голых ветвей деревьев, подобно могучему лесному старцу, который с силой потрясая своими корнями, пытался ухватить тихие порывы ветра. Резко взметнулась вверх ворона, словно гигантский крыльчатый мышь, заставляя деревья задрожать от её крика. Поднявшись высоко, она некоторое время парила над облаками, как белая фея на воздушной лодке, после чего снова стремительно спустилась вниз. Экипаж проезжал через этот район; густые ветви деревьев словно тонны льда шептались под его колёсами. Конная скульптура отчетливо выделялась на фоне площади, как рука Микки-Мауса на огромном экране — гости города редко обращают на неё внимание, хотя эта фигура величественна. Сам монарх воздвигнул памятник своему знаменитому предку; он проживал во дворце красного кирпича, словно в огромной коробке для хранения драгоценностей. Прожил недолго. Возможно, неоднократно показывались фигуры — круглая белая голова с завитушками волос возле узкого проёма окна, словно мечта о детстве в книге для первоклассников; человек внимательно смотрел сквозь стекло, словно бы пытаясь найти в нём отражение своей судьбы. Взгляд либо терялся в мягких оттенках заката, либо фиксировался на серебристом мерцании света месяца среди густой листвы деревьев. У входа дежурил солдат в треугольной шляпе с полями и отдавал честь, когда золотым грудью генерал проходил мимо, направляясь к украшенной картинами повозке; рядом находился высокий возница, сидящий на высоком сиденье экипажа, словно жесткая струя усталости течёт из его глаз. Сзади стояли черные слуги, словно гигантские крабы захваченного врагом корабля. Павел Петович вновь смотрел вокруг себя и возобновлял беседу с изнеженной фрейлиной, одетой в прозрачную ткань — дама улыбалась, словно розовый лук в корзине, напоминающий о весне. На щеках стали заметны небольшие впадины — родинки, словно маленькие косточки на поверхности зеркала. В ту ночь пространство заливал свет луны — как если бы из неё вырвалась звездная пыль, освещавшая предметы интерьера императорских покоев, словно вихрь полетающихся снов. На подушке уже ясно виднелась форма человека лежавшего ранее — словно костяшка игрушечного куклы на салфеточной тарелке. Откуда-то раздавались удары часов; вскоре послышались чьи-то приближающиеся шаги — как если бы кто-то звал тебя по имени, словно твой давний друг возвращается домой. Прошло лишь несколько секунд — и постель оказалась помятой: простыни ещё сохраняли тепло тела, словно бы изменившиеся цвета трав на поле битвы. Покойника уже не было видно; группа молодых офицеров с обнажёнными саблями склонилась над пустым изголовьем кровати — как если бы кто-то вставал, чтобы заполонить комнату, словно магический шар, брошенный на пол. Кто-то пытался открыть дверь — как если бы ключ резко оборвался и исчез в темноте, словно бы подросток из чужого мира тихо сел на корточки у вашей кровати. Слышался плач женского голоса — как будто кто-то держит маленькое деревце за корни и старается его обнять, словно плаксивый детеныш в приюгеническом забытье. Бледнолицый офицер поднял край шторы — как будто кто-то тихо произносит слова «Помогите», словно бы они были заклинанием, исписанным на обрывке бумаги в углу своего дома. За прозрачной тканью окна проявилось смутное очертание дрожащей тени — как будто кто-то смотрит из невидимой лодки на мир изнутри, словно бы морской прихлебательник в полуденном зеркале. Откуда-то доносились звуки боя часов — как если бы тихий ручеек разливался по каменной стене дома, словно бы он был песчинкой на его пути. Неподалёку звучали удаляющиеся шаги — как если бы кто-то шёл в обратном направлении по улице, словно бы он был последним волком на воле.' ratio=39.0"
2,2,"text='Вечерний мир витает вокруг нас как легкая дымка, скрывающая небесный шар от нашего восприимчивого взгляда. В древности верили, что над облаками обитал главный бог — равнодушный наблюдатель всего живого на Земле и вовне. Сегодня же мы убедились, что выше облаков лишь прозрачная синева и пустота безграничного космоса. И вот я теряюсь в догадках относительно того, что скрываетсь за пределами нашего видимого мира. Мы больше не можем быть полными убеждённостью — знание перестало быть абсолютным и теперь является лишь частью сложного тайнового гнозиса. Полностью убежденное знание эквивалиснтно верованию, а полные убеждения — скорее всего, ложь. В древности я был уверен в своей правоте во всём касающемся меня самого, но сейчас я понимаю, что не только отражение моё, но и само сознание. Передо мной человек с чёрными ровными бровями — ранее я их не замечал. Серые глаза имеют стальной оттенок, под ними темные круги от бессонницы, а по моему взгляду не видны настоящие чувства и переживания, которые ранее были мне неизвестны. Изнутри сознания я вижу себя как чужака — человеком кого-то другого, что само по себе невероятно странно и необычно. В моём случае это непостижимо: я сам создаю эту реальность под своей персоной, а теперь могу видеть её от первого лица. Мне казалось, что всё понятно и предсказуемо, но теперь я вижу свои собственные границы как тонкую линию бывшего космоса. Настоящий же я — это другой человек, который не мог бы быть таким без меня. Такой мир полна неясности и неуместных переживаний, которые возникают после употребления отравляющих веществ. Не важно, какого именно. Записываю все эти вещи исключительно ради демонстрации того, насколько логично способен ошибаться разум человека в бесконечности и неизвестности. Разум, способный объяснить непонятную древним бескрайнюю даль, благодаря использованию числовых обозначений, всё ещё остается сложным и требующим дифференцированного понимания.' ratio=38.0"
3,3,"text='Она была облачена в костюм времен древности: тесное чёрное платье подчёркивало белизну обнажённых плеч и груди, а также выделяло светлые зубы — те самые, которые казались чрезмерно яркими. Девушка заняла своё место и начала играть, её исполнение раскрывало хаотичность и нервозность тех эпох, когда она жила. Её выступление было беспорядочным, без какой-либо структурированности: остальные рядом были согласны друг с другом, весело смеялись. Однако у некоторых присутствующих возникали сомнения, и я тоже задумался над причиной своего смеха. Эпилепсия — это психическое заболевание, вызывающее страдания: боль постепенно усиливается и становится всё более интенсивной. По мере того как она приходит осознание болезненности происходящего, в её сознании начинает проявляться ощущение яркого солнечного света, который резко отличался от обычно спокойного освещения. Это чувство заставило снять одежду и разорвать её на куски. Человек, сидящий рядом со мной, посмотрел в мою сторону и усмехнулся; запомнилось одно обстоятельство: я заметил маленький пузырёк слюны, который появился и тут же исчез на его губах. Наблюдение этого явления вернуло мне ясность сознания. Подобно остальным присутствующим, я воспринял лишь бессмысленный шум струн музыкального инструмента, улыбался и чувствовал облегчение в спокойствии. Лекционный материал дал реалистичное представление о событиях тех эпох, что вызвали смех слушателей: они воспринимали современную музыку, демонстриемющуюся специально для сопоставления со старыми произведениями. Удовольствие доставляли чёткость структуры этих музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики; ощущалась мощь порядка и гармонии современной музыки, которая противопоставлялась примитивному искусству прошлого — без каких-либо ограничений, кроме собственных вымышленных представлений авторов. Все покинули зал в парах по четыре человека: двигаясь организованно через большие выходы, мимо прошёл знакомый человек с необычной фигурой, выгибающейся в двух направлениях одновременно; я уважительно приветствовал его кивком головы.' ratio=53.0"
4,4,"text='Всё это Рутилов произносил, как обычно, с бодрым и оживленным голосом, улыбаясь, однако он был худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светлые коротко стриженые волосы. — Ну, разве же втрое! — слабо возразил Передонов, снимая и вытирая золотые очки. — Но это же правда! — вскричал Рутилов, — Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя. — Здесь действительно многие испытывают ко мне симпатию, — угрюмо похвалился Передонов. — Вот видишь, значит используй ситуацию, — советовал Рутилов. — Самое важное для меня, чтобы девушка не была худощавой, — с грустью в голосе сказал Передонов. — Лучше пусть будет полной. — Тебе совершенно не стоит волноваться по этому поводу, — энергично уверял Рутилов, — Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису. — Я бы хотел вступить в брак, — сказал Передонов, — но опасаюсь, что моя жена Варя устроит крупный конфликт. — Поскольку боишься конфликта, поступи так: сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку. Передонов внезапно начал громко и резко смеяться. — Значит, соглашаешься? Заключаем сделку? — поинтересовался Рутилов. Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом: — Она расскажет обо всём, эта негодяйка. — Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдёт, — успокаивал Рутилов. — Или отравит, — испуганно бормотал Передонов. — Просто доверься мне во всех вопросах, — убедительно настаивал Рутилов, — я обеспечу всё аккуратно и продуманно. — Без приданого я вступать в брак не намерен, — раздражённо выкрикнул Передонов. Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: — Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?' ratio=42.0"
5,5,"text='Вспоминаю ситуацию из жизни простую и непритязательную, превращаю ее в привлекательную историю, являясь поэтом. Сохраняй ясность мысли, однако не позволяй случайности определять развитие событий — целесообразнее начинать с достойных восхищения аспектов человеческого опыта, либо, по крайней мере, эстетичных и доставляющих удовольствия явлений. Красивыми качествами человека являются здоровье, юность и жизнерадостность; красивыми явлениями природы — прозрачный свет воды, солнечный свет и теплое летнее время года. Был летний день ясный и жаркий, на реке Скородень сверкала прозрачная вода, яркий свет и летняя погода, принося ощущение радости благодаря теплу солнца, открытости пространства, дуновению ветра издалека, разливанию веселых звуков птиц и двух молодых девушек. Елисавета и Елена, родные сестры, купались в реке Скородень, их образ вызывал радость благодаря хорошей погоде и тому, что девушки выглядели более привлекательными обычным образом. Они испытывали приятные ощущения: прохладу воды, желание активно двигаться, улыбаться и развлекаться. В беседе они упомянули мужчину, который был предметом их фантазий.' ratio=48.0"
6,6,"text='Дом находился на берегу города, в одном из улочков, заселённых дачистыми особняками под названием Расчески. Жители здесь активно играли на длинных стадионах, разбитых между высокими кирпичными домами с однотипным обликом. Эти пустыри приковывали взгляды детей больше, чем сами дома. Между жилыми массивами и безлюдной землёй находился отдельный строительный объект под названием Серый. Это был старый дом — последняя рука, когда-либо построенных здесь, переделанный в нечто своё собственное. От него были отчуждены другие здания, увенчанные кирпичными стенами и крышей с антенной на ней. Изначально он был белым, но теперь оказался серым снутри, в то время как снаружи — желтым. Непрекращающиеся трещины и мелкие пятна от штукатурки придавали стенам внешнего облика изношенности. Рядом со строением стоял ряд гаражей, подсобных помещений, контейнеров для бытового мусора и даже будок для собак — в общем-то, всё было заброшенным. Перед фасадом домика не было ни одного украшения, а его стенам придавалась тёмная окраска.' ratio=28.0"
7,7,"text='Оказалось, что каждый человек, стремящийся обратить на себя внимание, окажется эгоистичным существом с отрицательными качествами, способное совершать любые поступки и наделять собственные достоинства чрезмерной важностью, тогда как в действительности этот человек практически незначителен. Самоуверенный и завидующий дьяволом. Сип прочитал рассказ о птице, стремящейся казаться более великолепной, чем есть на самом деле, а затем прочитал стихотворение об утонувшем животном из-за собственного невежества и безрассудства. После этого он захотел написать ещё одну песню такого же содержания, но теперь уже никто не слушал его. Лицо Сипа помрачнело от гнева, он заплакал и умолк. Его поблагодарили, дали салфетку, прикрыли учебником и предложили другому ученику продолжить выступление.' ratio=38.0"
8,8,"text='Недавно он был бодрым и энергичным человеком — словно юный титан на фестивале стиля жизни, легко стоящим на руках и поднимавшим вверх ногами целые деревья, словно парус. Зубами мог поднять даже самый грубо сделанный стул и порвать канат с мощью рук. Его тело бурлило энергией — такая же энергия, как стремление прыгнуть через ограду или раскачать столб, словно палач разума подростковой фантазии. Сейчас что-то изменилось, словно механизм слегка испортился: он начал сутулиться и признаваться другу Подтягину, что мучается бессонницей — как будто возвращался к детским ночным кошмарам. Ночью накануне понедельника плохо спал, проводя двадцать минут компании непристойного человека в остановившемся лифте, словно уютная поездка на субботний фестиваль. Утро следующего дня началось тяжело: долгое время он сидел голым, держа вытянутые руки между коленями, пораженный осознанием, что снова должен будет одеть рубаху, носки и брюки — вещи пропитанные потом и грязью, словно пыльные лошади перед сражением. Подобное чувство вызывало у него воспоминание о цыганском пуделе в человеческой одежде — образ страдающего создания, словно монстр в зеркале подросткового фантазирования. Частично апатия объяснялась отсутствием работы: за прошедшую зиму удалось скопить небольшую сумму денег — около двухсот марок, потому что последние месяцы были затратными. В предыдущем году, прибыв в Берлине, он быстро устроился на работу и продолжал трудиться вплоть до января, испытывая тяжесть утренних поездок на завод или чувствуя боль после десяти километров беготни с подносом среди ресторанных столов заведения «Пир Горой». Занимался также посредничеством, предлагая любые товары, что попадались под руку — будь то грифели для укладки волос или драгоценности. Он ничего не отвергал: неоднократно зарабатывал продажей собственной тени как многие из нас, словно певец в цирке, подставляющий лицо прожектору яркого света, создавая ощущение дискомфорта и стыда. После завершения съемки контракт считался выполненным, и заработанная сумма расходовалась, словно венчание на трагедии молодежного кинематографа.' ratio=45.0"
9,9,"text='Весь день лежащий на кровати кажется, будто движешься к ясному солнечному небу — и приподнявшись, можно увидеть корни деревьев, ярко освещённые жёлтым светом солнца. Вдоль тротуара виднеются тонкие провода, местом отдыха птиц, а над входом красного цвета — деревянный навес. Издали слышатся приятные звуки природы: пение птиц, отдалённый собачий лай и поскрипывание водяного насоса. Лежишь неподвижно, погружён в размышления о предстоящем подъёме. Вокруг — тонкие лучи солнца, играющие на поверхности стола. Нити соскальзывают с коленей сидящей рядом матери и постепенно перекатываются по гладкому деревянному полу. Именно здесь, в данной комнате, когда Ганин находился на выздоровлении в возрасте шестнадцати лет, сформировался мысленный образ счастья и девушки, которого он позже увидел в реальности. Этот процесс формирования образа происходил благодаря совокупности факторов окружающей обстановки: картинам на стенах, звукам природы за окном, изображению Хрина в киоте и журчащей воды в раковине. Частью развивающегося образа стала атмосфера солнечного света в помещении — без этого воздействия такого образа быть не могло. По сути, это были лишь обычные ощущения юности: мечтательные переживания, однако сейчас Ганину представлялось, что такой идеальный подход к совпадению мыслей и действительности ранее не происходил столь идеально. Вместе с тем, он переходил из одного сада в другой, посещал различные кафе и воспоминания постоянно увлекали его вперёд, подобно движущимся облакам весеннего неба в Берлине. Посетители кафе думали, что мужчина, внимательный к дальновидному изучению, переживает какую-то глубокую печаль. А на улицах он случайно сталкивался с прохожими, один раз водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись с ним. Ганин чувствовал себя творцом, восстанавливающим утраченный мир. Постепенно он возвращал детали исчезнувшего мира ради женщины, которой ещё не решился придать место в мире — пока восстановление не завершится целиком. Однако мысль о ней, ощущение её присутствия, почти забытое воспоминание прошлых впечатлений вынуждали его завершить создание образа окончательно — хотя он сознательно откладывал появление этого образа, поскольку хотел приблизиться к нему поэтапно, следуя определённой последовательности шагов. Стараясь избежать путаницы среди ярких образов прошлого, он аккуратно реконструировал события своей жизни, иногда останавливаясь на незначительных деталях, избегая преждевременного перехода к последующим этапам. Бродя по Берлину тёплым майским днём, он действительно выздоравливал физически, испытывал первые признаки восстановления после болезни — слабость в ногах и рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой, свободной и слегка непривычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал небольшие земляные бугорки чёрного цвета, образовавшиеся в результате деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки. У него была мечта встретить кого-либо в парке — но конкретного представления о том, кто именно должен встретиться, у него не было.' ratio=38.0"
