Unnamed: 0,index,text,ratio
0,0,"'Над пустынными Петербургскими улицами плутали смутные очертания облаков; один клочок быстро сменялся другим, как будто небо было живым холстом. Слабый свет придавал небесам блеклое сияние, и это свечение освещало металлические крыши и дымовые трубы. Зелёная Мойка текла мимо, а трёхэтажный дом на берегу, украшенный пятью белыми колоннами, выступал из тени как величественный карикатурный образ. В его ярком контуре стоял солдат в блестящем шлеме с серебряной фигуркой голубя, расправившего крылья на каске, словно пытаясь улететь прочь от всего мира. Николай Аполлонович, облачившийся в меховое пальто и прикрывший голову воротником, прошёл по набережной реки Мойки; его глаза играли светом, как будто они были осколками звёзд. Внутри он чувствовал волнения без названия - смесь страха и чего-то приятного, словно внутри него жила тайная энергия, направлявшая его в неизвестные места. Он размышлял: любовь ли это? В памяти мелькнуло воспоминание о том туманном вечере, когда он спешно покинул подъезд и бросился к чугунной переправе, стремясь оказаться там... Вдруг перед ним пронеслась тень: мгновенно на реке загорелись ярко-красные фонари в карете Его Величества; их отражение засверкало на поверхности Мойки, а затем исчезло в туманной дымке.'",28.0
1,1,"'Кирпично-розовый дворец возвышался среди голых ветвей деревьев, как будто гигантский красноокрашенный карлик стоял на пустынном лугу; его верхняя часть, напоминавшая вытянутую башню, тянулась к небесам, словно захватившая облака ручка веера. Ветви деревьев, извивающиеся подобно тихим порывам ветра, колебались с ожесточением, пытаясь ухватить проплывающие мимо облака; каркая, резко взметнулась вверх ворона, будто пробуя границы своего полёта. Поднявшись высоко, она некоторое время парила над облаками, после чего снова стремительно спустилась вниз. Экипаж проезжал через этот район; конная скульптура выделялась на фоне площади, как будто величественный пантера спряталась за каменной стеной. Гости города редко обращали на неё внимание, хотя эта фигура была величественна и могла привлечь взгляды самых придирчивых наблюдателей. Сам монарх воздвиг памятник своему знаменитому предку; он проживал во дворце красного кирпича, залитого приглушенным сиянием заката, и прожил недолго, как бабочка на весеннем ветру. Возможно, неоднократно показывалась круглая белая голова с завитушками волос возле узкого проёма окна дворца; человек внимательно смотрел сквозь стекло, либо теряясь в мягких оттенках заката, либо фиксируя серебристое мерцание отражённого света месяца среди густой листвы деревьев. У входа дежурил солдат в треугольной шляпе с полями и отдавал честь, когда золотой грудью генерал проходил мимо, направляясь к украшенной картинами повозке; рядом находился высокий возница, сидящий на высоком сиденье экипажа; сзади стояли черные слуги. Павел Петрович вновь смотрел вокруг себя и возобновлял беседу с изнеженной фрейлиной, одетой в прозрачную ткань; дама улыбалась; на щеках стали заметны небольшие впадины, родинка. В ту ночь пространство заливал свет луны, освещавший предметы интерьера императорских покоев, блестевшие даже на маленьком изображении купидона; на подушке уже ясно виднелась форма головы человека, лежавшего ранее. Откуда-то раздавались удары часов; вскоре послышались чьи-то приближающиеся шаги… Прошло лишь несколько секунд — постель оказалась помятой: простыни ещё сохраняли тепло тела; покойника уже не было видно. Группа молодых офицеров с обнажёнными саблями склонилась над пустым изголовьем кровати; кто-то пытался открыть дверь; слышался плач женского голоса; бледнолицый офицер поднял край шторы, и за прозрачной тканью окна проявилось смутное очертание дрожащей тени. Откуда-то доносились звуки боя часов; неподалёку звучали удаляющиеся шаги.'",28.0
2,2,"'Вечер погрузил мир в легкую дымку; туман скрыл небо, и нельзя было видеть, что лежит за облаками. В древние времена верили, что там, выше облаков, обитает главный бог, равнодушный наблюдатель всего происходящего. Теперь мы знаем, что на самом деле — лишь прозрачная синева и пустота космоса. И все же теперь я теряюсь в догадках: что скрывается за пределами видимости? Много новых знаний сменило уверенность, но сейчас я смотрю на свое отражение в зеркале с особым вниманием и удивлением. Впервые я вижу себя как другого человека — с чёрными ровными бровями и вертикальной морщиной между ними, серыми глазами со стальным оттенком, под которыми тени от бессонницы. Мое лицо скрывает истинные чувства и переживания; раньше я их не замечал. Из глубины своего сознания вдруг появляется уверенность: этот человек чужд мне самому, мы встретились впервые. А настоящий я — другой. Ничего более нет смысла думать об этом; всё перечисленное бессмысленно и является результатом недавних неприятных ощущений после употребления какого-то отравляющего вещества накануне вечером. Что это было — неважно. Записываю это, чтобы подчеркнуть, насколько необычным образом способен ошибаться логический человеческий разум: он может объяснить древнее бесконечное пространство и представить его доступной реальностью, используя числа и формулы. И хотя мне бы хотелось оставаться одному сейчас, я доволен тем, что вы здесь.'",31.0
3,3,"'Она облачилась в архаический наряд: тонкое чёрное платье подчёркивало её белизну нежных плеч и груди, выделяя светлые зубы, казавшиеся яркими как солнечный луч. Сев на стул, она принялась играть. Её исполнение отличалось хаотичностью и тревогой, отражая характер той эпохи, когда жила эта женщина. Она играла без единого ритма, словно буря в душах слушателей. Остальные вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения, и я тоже задумался над причиной своего смеха. Эпилепсия – это болезнь души, вызывающая страдания. Боль приходит постепенно, усиливаясь и становясь всё интенсивнее. Постепенно приходит осознание болезненности происходящего. Затем появляется чувство солнечного света, яркого и сильного, резко отличающегося от обычного спокойного освещения. Это чувство заставляет оставить одежду и разорвать её на куски. Моя соседка по месту сидения посмотрела в мою сторону и усмехнулась. Запомнилось одно обстоятельство: я заметил маленький пузырёк слюны, появившийся и тут же исчезнувший на её губах. Наблюдение этого явления вернуло мне ясность сознания. Подобно остальным, я воспринимал лишь бессмысленный шум струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей. После прослушивания современной музыки, демонстрированной специально для сравнения с предыдущим исполнением, я улыбался, чувствуя удовольствие от чёткости структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов. Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек с необычной фигурой – выгнутой в двух направлениях одновременно; я уважительно приветствовал его кивком головы.'",28.0
4,4,"'Всё это Рутилов произносил весело и жизнерадостно, улыбаясь, хотя его худое тело казалось слабым и болезненным под новой модной шляпой. – Ну, разве же втрое! – слабо возразил Передонов, вытирая золотые очки. – Но это же правда! – вскричал Рутилов. – Ты смотри внимательно, пока я жив, потому что после моей смерти будет труднее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя, если бы ты только пожелал их руки. – Здесь действительно многие испытывают ко мне симпатию, – угрюмо похвалился Передонов. – Вот видишь, значит, используй ситуацию, – советовал Рутилов. – Самое важное для меня, чтобы девушка не была худощавой, – сказал Передонов печально. – Лучше пусть будет полной. – Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису. – Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт. – Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: – сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку. Передонов внезапно начал громко и резко смеяться. – Значит, соглашаешься? Заключаем сделку? – поинтересовался Рутилов. Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом: – Она расскажет обо всём, эта негодяйка. – Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдёт, – успокаивал Рутилов. – Или отравит, – испуганно бормотал Передонов. – Просто доверься мне во всех вопросах, – убедительно настаивал Рутилов, – я обеспечу всё аккуратно и продуманно. – Без приданого я вступать в брак не намерен, – раздражённо выкрикнул Передонов. Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно: – Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял? Рутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему весёлыми и насмешливыми, вызывая мимолётную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги. '",30.0
5,5,"'Вспоминая простую с непритязательной жизнью ситуацию, я перерабатываю её в привлекательную историю, будучи поэтом. Активность и сила несмотря на всё — они обволакивают меня, как тёплый призывный ветер. Так происходит развитие событий, словно случайности отмеряют наши дни. Однако стоит начинать с того, что вызывает восхищение или хотя бы радует глаз: здоровье, юность и жизнерадостность — они украшают нашу жизнь, как прозрачная вода, солнечный свет и теплые летние вечера. Был жаркий летний день, под ярким светом река Скородень сверкала, словно блестящая драгоценная монета. Прозрачные волны, яркие лучи и тепло земли создавали ощущение радости, будто маленький райский уголок. Елисавета и Елена, родные сёстры, купались под этим светом, словно две божественные нимфы в своём личном Эльфиде. Улыбки их были ярче солнца, а тело — как живописная полихромия природы. Они испытывали приятные ощущения: прохладу воды и тепло летнего дня. В беседе они упомянули о мужчине, который был предметом их мечтаний. Дочери обеспеченного владельца поместья, они находились в своём особнячном саду, где купание обретало новое значение. Они свободно передвигались и играли, ощущая себя владелицами этого пространства. Человек не знает границ своей власти, но те, кто уверен в себе, — самые счастливые!'",27.0
6,6,"'Дом Серый стоит на грани города в районе Расчески — известном своей геометрией. Там тянуться строгие ряды высотных блоков с ритмичными дворами, за которыми играют местные юнцы. Белые здания, как однообразная картина, смотрят друг на друга сквозь тысячи окон. Между ними раскинулись поляны без единого изумления — они обнесены заборами и привлекают детей своей неопределенностью. Вместо дворов возвышаются развалины, вызывающие больше любопытства у подростков, чем обычные зоны отдыха для юношей местных.'",25.0
7,7,"'Оказалось, что каждый стремящийся привлечь внимание человек является эгоистом с негативными качествами, способным совершать любые поступки и переоценивающим собственные достоинства, тогда как на самом деле он совершенно незначителен. Самоуверенный и тщеславный человек. Что-то похожее. Сип прочитал рассказ про птицу, желавшую казаться лучше, чем она была. Затем стихотворение о животном, утонувшем из-за собственного неразумия. После этого он захотел исполнить ещё одну песню аналогичного содержания, однако его больше никто не слушал. Лицо Сипа изменилось от гнева; он заплакал и умолк. Его поблагодарили, дали салфетку, прикрыли книгой и предложили другому ученику продолжить выступление. Гуль произносил речь почти неслышно, не глядя вверх, словно читал написанное прямо на столе, несмотря на отсутствие там какого-либо текста, кроме испорченного пластмассового покрытия. Белые волосы спускались на лицо, мешали видеть, и он поправлял их мокрым пальцем; причёска держалась лишь до тех пор, пока палец был приложен ко лбу, после чего немедленно возвращалась назад, снова закрывая взгляд. Для длительного наблюдения за ним нужна особая выдержка; поэтому я старался не смотреть на него: мои нервы находились и так в плохом состоянии, дополнительная нагрузка могла привести к ухудшению самочувствия. — Какого рода внимания добивается обсуждаемый субъект? Кажется, будто он стремится обратить внимание на свою обувь. Однако это неверно; через привлечение интереса к обуви он обращает внимание на свои ноги. Тем самым демонстрирует своё физическое несовершенство, подчёркивая недостатки остальным людям, игнорируя их чувства и мнение. В некотором отношении он таким образом унижает нас... Он продолжал говорить монотонно и однообразно; палец перемещался вдоль носа, по его глазам было видно, что он начинал злиться. Мне заранее известны все аргументы, какие он мог изложить, поскольку такие речи типичны в данной ситуации. Каждое высказывание, произнесённое Гулем, было столь же невыразительным и скучным, как он сам, его пальцы и ногти.'",25.0
8,8,"'Недавно он был полон сил и энергии — бодрый и активный человек, способный на невероятные подвиги: стоять на руках, поднимая тело вверх ногами, словно парус. Зубами мог поднять стул и порвать канат крепкими мышцами рук. Его тело бурлило энергетикой, желанием прыгнуть через ограду или раскачать столб, совершив впечатляющий поступок. Сейчас что-то изменилось — механизм его жизни немного запинился. Сутулится и признается другу Подтягину, что мучается бессонницей. Ночью накануне понедельника плохо спал, проведя двадцать минут в компании непристойного человека в остановившемся лифте. Утро следующего дня началось тяжело: долго сидел голым, держа вытянутые прохладные руки между коленей, пораженный осознанием, что снова должен будет одеть рубаху, носки и брюки — вещи пропитанные потом и грязью, казавшиеся неприятной обязанностью. Подобное чувство вызывало у него воспоминание о цыганском пуделе, выглядящем ужасно жалко в человеческой одежде. Апатия частично объяснялась отсутствием работы. За прошедшую зиму удалось скопить небольшую сумму денег — около двухсот марок, оставшихся из затратных месяцев. В предыдущем году прибыв в Берлин, он быстро устроился на работу и продолжал трудиться вплоть до января, выполняя разнообразные задания: испытывая тяжесть утренних поездок на завод; чувствуя боль в ногах после десяти километров беготни с подносом среди ресторанных столов заведения «Пир Горой». Занимался также посредничеством, предлагая любые товары, какие попадались под руку — будь то баранки, средство для укладки волос или драгоценности. Он ничего не отвергал: неоднократно зарабатывал продажей собственной тени, как многие из нас. Иными словами, участвовал в массовке киносъемок за городом, где огромные прожекторы, направленные на группу статистов, ярко освещали лица людей своим ярким резким светом, создавая ощущение дискомфорта и стыда. После завершения съемки контракт считался выполненным, и заработанная сумма расходовалась.'",25.0
9,9,"'Целый день, лежа на кровати, кажется, что ты взлетаешь вверх к ясному солнечному небу, и приподнявшись, видишь тонкие провода, где отдыхают птицы, светлые кроны деревьев и красный деревянный навес рядом с парадным входом. Издали слышатся приятные звуки природы: пение птиц, отдалённый собачий лай и поскрипывание водяного насоса. Лежишь неподвижно, погружён в размышления о предстоящем подъёме, наблюдаешь солнечные блики, движущиеся по поверхности стола, видишь клубок нитей соскальзывает с коленей матери и плавно перекатывается по гладкому деревянному полу... Именно здесь, в данной комнате, когда Ганин находился на выздоровлении в шестнадцать лет, сформировался мысленный образ счастья и девушки, которого он позже увидел в реальности. Этот процесс формирования образа происходил благодаря картинам на стенах, звукам природы за окном, изображению Христа в киоте и журчащей воде в раковине. Атмосфера солнечного света в помещении стала частью развивающегося образа, и очевидно, что без воздействия этой среды такой образ не мог бы появиться. Это были лишь обычные ощущения юности, мечтательные переживания, но сейчас Ганину представлялось, что такое совпадение мыслей и действительности ранее не происходило столь идеально. Он переходил из одного сада в другой, посещал различные кафе, воспоминания постоянно увлекали его вперёд, подобно движущимся облакам в небе весной в Берлине. Посетители кафе думали, что мужчина, внимательно смотрящий вдаль, переживает какую-то глубокую печаль, а на улицах он случайно сталкивался с прохожими, один раз водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись с ним. Ганин чувствовал себя творцом, восстанавливающим утраченный мир. Постепенно он возвращал детали исчезнувшего мира ради той женщины, которой ещё не решился придать место в нём, пока восстановление не завершится целиком. Однако мысль о ней, ощущение её присутствия, почти забытое воспоминание прошлых впечатлений вынуждали его завершить создание образа окончательно, хотя он сознательно откладывал появление этого образа, поскольку хотел приблизиться к нему поэтапно, следуя определённой последовательности шагов. Стараясь избежать путаницы среди ярких образов прошлого, он аккуратно реконструировал события своей жизни, иногда останавливаясь на незначительных деталях, избегая преждевременного перехода к последующим этапам. Бродя по Берлину тёплым майским днём, он действительно выздоравливал физически, испытывал первые признаки восстановления после болезни, слабость в ногах, рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой, свободной и слегка непривычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал небольшие земляные бугорки чёрного цвета, образовавшиеся в результате деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки. У него была мечта встретить кого-либо в парке, но конкретного представления о том, кто именно должен встретиться, у него не было.'",25.0
