index,literal_version
0,"Над пустынными петербургскими улицами двигались слабо освещённые неясные очертания облаков; клочья облаков быстро сменялись одно другим.

Некий тусклый светящийся объект неопределённой формы перемещался по небу неясно и бесцветно; небо приобрело слабое сияние; от этого заблестели металлические крыши и дымовые трубы. Здесь протекала река Мойка зелёного цвета; вдоль одного берега располагалось трёхэтажное строение с пятью белыми колоннами; сверху выступали архитектурные элементы. На ярком фоне строения спокойно шёл солдат Её Величества в блестящем шлеме с позолотой.

Рядом с ним летел серебристого окраса голубь, расправив крылья.

Николай Аполлонович, предварительно использовав парфюм и сбрив щетину, шел вдоль набережной реки Мойки, укрывшись меховым пальто; его голова находилась внутри воротника одежды, а глаза необычно отражали свет; внутри испытывал волнения без определённого названия; ощущал нечто одновременно страшное и приятное: как будто внутри него возникло сильное внутреннее напряжение и какие-то необъяснимые чувства направляли его в неизвестные места.

Он размышлял: возможно ли, что это чувство является любовью? В памяти всплывало воспоминание: однажды ночью, покрытый туманом, быстро выйдя из указанного подъезда, он поспешил к чугунной петербургской переправе, намереваясь именно там...

Он ощутил дрожь.

Мимо пролетел пучок света: чёрная императорская повозка проследовала рядом с окнами хорошо освещенного дома, везя красные осветительные приборы интенсивного оттенка; эти светильники отразили своё изображение на тёмной поверхности вод Мойки; расплывчатое очертание головного убора слуги и форма края верхней одежды промелькнули вместе со светом, появившись из туманной области и исчезнув в другой туманной зоне."
1,"На указанном месте располагался роскошный дворец; своей верхней частью, похожей на вытянутую башню, он напоминал странной формы замок: кирпично-розовый, массивный каменный. Это происходило давно, и сейчас монарха, жившего здесь тогда, больше нет.

Кирпично-розовый дворец возвышался среди голых ветвей деревьев; ветви тянулись вверх подобно тихим порывам ветра и колебались, словно пытаясь ухватить проплывавшие мимо облака; крикнув, резко взметнулась вверх ворона; поднявшись высоко, она некоторое время парила, после чего снова стремительно спустилась вниз.

Экипаж проезжал через этот район.

Конная скульптура отчетливо выделялась на фоне площади; гости города редко обращают на неё внимание, хотя эта фигура величественна.

Сам монарх воздвигнул памятник своему знаменитому предку; он проживал во дворце красного кирпича; прожил недолго.

Возможно, неоднократно показывалась круглая белая голова с завитушками волос возле узкого проёма окна дворца. Эта голова внимательно смотрела вдаль сквозь стекло; взгляд либо терялся в мягких оттенках заката, либо фиксировался на серебристом мерцании отражённого света месяца среди густой листвы деревьев; у входа дежурил солдат в треугольной шляпе с полями и отдавал честь, когда золотой грудью генерал проходил мимо, направляясь к украшенной картинами повозке; рядом находился высокий возница, сидящий на высоком сиденье экипажа; сзади стояли черные слуги.

Павел Петрович вновь смотрел вокруг себя и возобновлял беседу с миловидной дамой-официанткой, одетой в прозрачную ткань; дама улыбалась; на щеках стали заметны небольшие впадинки, родинка.

В ту ночь пространство заливал свет луны, освещавший предметы интерьера императорских покоев, блестевший даже на маленьком изображении купидона; на подушке уже ясно виднелась форма головы человека, лежавшего ранее; откуда-то раздавались удары часов; вскоре послышались чьи-то приближающиеся шаги… Прошло лишь несколько секунд — постель оказалась помятой: простыни ещё сохраняли тепло тела; покойника уже не было видно; группа молодых офицеров с обнажёнными саблями склонились над пустым изголовьем кровати; кто-то пытался открыть дверь; слышался плач женского голоса; бледнолицый офицер поднял край шторы; и за прозрачной тканью окна проявилось смутное очертание дрожащей тени.

Откуда-то доносились звуки боя часов; неподалёку звучали удаляющиеся шаги."
2,"Вечер. Легкая дымка. Туман скрывает небо, нельзя увидеть, что находится выше. В древности полагали, что над облаками обитает главный бог, равнодушный наблюдатель всего происходящего. Сейчас известно, что выше облаков лишь прозрачная синева и пустота космоса. Теперь же я теряюсь в догадках относительно того, что скрывается за пределами видимости, поскольку получил много новых знаний. Полностью убежденное знание эквивалентно верованию. Раньше я был уверен в своей правоте во всём касающемся меня самого. Однако теперь впервые осознаю своё отражение в зеркале совершенно ясно и отчётливо. Впервые внимательно смотрю на собственное лицо и удивлённо воспринимаю себя словно другого человека. Передо мной человек с чёрными ровными линиями бровей и вертикальной морщиной меж ними (раньше я не замечал её). Серые глаза имеют стальной оттенок и окружены тёмной каймой от бессонницы. За этими глазами прячутся мои настоящие чувства и переживания, которых ранее я не понимал. Оттуда же, изнутри сознания, смотрящего на моё изображение, приходит твёрдое убеждение, что этот отражённый мужчина чужд мне самому, мы встретились впервые. Настоящий же я — другой. Нет смысла продолжать размышления: всё перечисленное бессмысленно и является результатом недавних неприятных переживаний после употребления отравляющего вещества накануне вечером. Неважно какого именно. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться наш разум, который обычно действует точно и остро. Разум, способный объяснить непонятную древним бескрайнюю даль, представить её понятной и доступной — благодаря использованию числовых обозначений вроде моего собственного номера R-13. К слову, я доволен таким решением: иначе пришлось бы оставаться одному."
3,"Она была одета в костюм древнего стиля: тесное чёрное платье подчёркивало белизну обнажённых плеч и груди, а также выделяло светлые зубы, казавшиеся чрезмерно яркими.
Женщина села и начала играть. Её исполнение отличалось хаотичностью и нервозностью, отражавшими характер той эпохи, когда она жила. Она играла беспорядочно, без какой-либо структурированности. Остальные вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения, и я тоже задумался над причиной своего смеха.
Эпилепсия является психическим заболеванием, вызывающим страдания. Боль возникает постепенно, усиливаясь и становясь всё интенсивнее. Постепенно приходит осознание болезненности происходящего. Затем появилось ощущение солнечного света, яркого и сильного, резко отличающегося от обычного спокойного освещения. Это чувство заставило снять одежду и разорвать её на куски.
Человек, сидящий рядом со мной, посмотрел в мою сторону и усмехнулся. Запомнилось одно обстоятельство: я заметил маленький пузырь слюны, появившийся и тут же исчезнувший на его губах. Наблюдение этого явления вернуло мне ясность сознания.
Подобно остальным, я воспринимал лишь бессмысленный шум струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей.
После прослушала я современную музыку, демонстрируемую специально для сопоставления с предыдущей. Удовольствие доставляли чёткость структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов.
Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек, имевший необычную фигуру, выгнутую в двух направлениях одновременно; я уважительно приветствовал его кивком головы."
4,"Всё это Рутилов произносил, как обычно, бодрым голосом и оживлённо, улыбаясь, однако выглядел высоким и худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светловолосые короткие стриженые волосы.
– Ну, втрое ведь всего лишь, – слабо возразил Передонов, снимая и вытирая золотые очки.
– Но правда же! – вскричал Рутилов. – Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя.
– Здесь действительно многие испытывают ко мне симпатию, – угрюмо похвалился Передонов.
– Вот видишь, значит используй ситуацию сейчас, – советовал Рутилов.
– Самое важное для меня, чтобы девушка не была худощавой, – с грустью в голосе сказал Передонов. – Лучше пусть будет полной.
– Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису.
– Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт.
– Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: – сегодня же заключай брачный союз, лучше сделать это немедленно. Вернувшись домой с молодой супругой, проблема разрешится сама собой. Согласен, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку.
Передонов неожиданно начал громко и резко смеяться.
– Значит, соглашаешься? По рукам, так сказать? – поинтересовался Рутилов.
Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом:
– Она расскажет обо всём, эта негодяйка.
– Ей нечего рассказывать, ничего такого не произойдёт, – успокаивал Рутилов.
– Или отравит, – испуганно бормотал Передонов.
– Просто доверься мне во всех вопросах, – убедительно настаивал Рутилов, – я обеспечу всё аккуратно и продуманно.
– Без приданого я вступать в брак не намерен, – раздражённо выкрикнул Передонов.
Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно:
– Странный человек, разве мои дочери лишены приданого? Так что согласны мы или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?
Рутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему весёлыми и насмешливыми. Непристойная мысль вызвала мимолетную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги."
5,"Извлекаю фрагмент жизни, простой и непритязательной, и превращаю его в привлекательную историю, поскольку я являюсь поэтом.
Оставайся пассивной, обычной и однообразной или проявляй активность и силу — несмотря ни на что, я, будучи поэтом, создам над тобой красивую и увлекательную историю о приятном и привлекательном.
Случайности определяют развитие событий, любое начало обусловлено случайностью. Однако целесообразнее начинать с тех аспектов человеческого опыта, которые являются достойными восхищения, либо, по крайней мере, эстетичными и доставляющими удовольствие. Красивыми качествами человека являются здоровье, юность и жизнерадостность, красивыми явлениями природы являются прозрачная вода, солнечный свет и теплое время года.
Был летний день, ясный и жаркий, и река Скородень находилась под ярким светом солнца. Прозрачная вода, яркий свет и летняя погода сверкали и приносили ощущение радости благодаря теплу солнца, открытости пространства, дуновению ветра издалека, присутствию множества птиц и двух молодых девушек.
Елисавета и Елена, родные сестры, купались в реке Скородень. Солнце и вода вызывали радостные чувства, так как девушки выглядели красивее обычного и были обнаженными. Обе испытывали приятные ощущения: прохладу, желание активно двигаться, улыбаться, разговаривать и развлекаться. В беседе они упомянули мужчину, который был предметом их фантазий.
Эти девушки являлись дочерьми обеспеченного владельца поместья. Участок реки, где они купались, прилегал к обширному старинному саду принадлежавшего им дома. Возможно, им нравилось находиться здесь еще больше, так как они ощущали себя владелицами быстро текущей воды и песчаного берега, омываемого их ступнями. Они свободно передвигались и играли в воде, чувствуя уверенность и свободу хозяев территории. Границы власти любого человека неизвестны, однако счастливы те, кто уверен в своем положении и полномочиях!"
6,"Дом расположен на краю города, в районе, известном как Расчески. Здесь стоят длинные многоквартирные здания, расположенные параллельными рядами с интервалами, занятыми бетонными дворами, предназначенными для детских игр местных жителей. Здания белые, имеют многочисленные окна и выглядят одинаково. Между зданиями находятся пустующие участки земли, окружённые забором. Остатки разрушенных строений привлекают больше внимания детей, чем эти дворы.

Между районами жилых зданий и пустырей находится отдельно стоящий дом, известный как Серый. Он старый, относится скорее к периоду разрушения прежних построек, чем к современным жилым комплексам. Другие дома расположены вдали от него. У дома три этажа, фасад обращён к дороге, также имеется внутренний двор, ограниченный металлической сетью. Раньше здание было белого цвета, сейчас оно серое снаружи и жёлтое внутри. Крыша покрыта антенной и кабелями, стены покрываются мелкими частицами штукатурки и трескаются. Рядом располагаются гаражи, подсобные помещения, контейнеры для мусора и будки для собак. Во дворе всё выглядит запущенным. Передняя сторона фасада лишена каких-либо украшений и выглядит мрачной.

Жители окрестности испытывают неприязнь к этому дому. Хотя никто открыто не высказывает своего недовольства, большинство предпочитает жить подальше от него и желало бы, чтобы этот дом вообще отсутствовал."
7,"Оказалось, что каждый человек, стремящийся обратить на себя внимание, является эгоистичным человеком с негативными качествами, способным совершать любые поступки и переоценивающим собственные достоинства, тогда как фактически этот человек совершенно незначителен. Самоуверенный и тщеславный человек. Что-то похожее. Сип прочитал рассказ про птицу, желавшую казаться лучше, чем была. Затем стихотворение о животном, утонувшем вследствие собственного неразумия. После этого он захотел исполнить ещё одну песню аналогичного содержания, однако его больше никто не слушал. Лицо Сипа изменилось от гнева, он заплакал и умолк. Его поблагодарили, дали салфетку, прикрыли книгой и предложили другому ученику продолжить выступление.
Гуль произносил речь почти неслышно, не глядя вверх, словно читал написанное прямо на столе, несмотря на отсутствие там какого-либо текста, кроме испорченного пластмассового покрытия. Белые волосы спускались на лицо, мешали видеть, и он поправлял их мокрым пальцем. Прическа держалась лишь до тех пор, пока палец был приложен ко лбу, после чего немедленно возвращалась назад, снова закрывая взгляд. Для длительного наблюдения за ним нужна особая выдержка. По этой причине я старался не смотреть на него: мои нервы находились и так в плохом состоянии, дополнительная нагрузка могла привести к ухудшению самочувствия.
— Какого рода внимания добивается обсуждаемый субъект? Кажется, будто он стремится обратить внимание на свою обувь. Однако это неверно. Через привлечение интереса к обуви он обращает внимание на свои ноги. Тем самым демонстрирует своё физическое несовершенство, подчёркивая недостатки остальным людям, игнорируя их чувства и мнение. В некотором отношении он таким образом унижает нас...
Он продолжал говорить монотонно и однообразно. Палец перемещался вдоль носа, глаза покраснели. Мне заранее известны все аргументы, какие он мог изложить, поскольку такие речи типичны в данной ситуации. Каждое высказывание, произнесённое Гулем, было столь же невыразительным и сухим, как он сам, его пальцы и ногти."
8,"Недавно он был бодрым и энергичным человеком. Умел легко стоять на руках, поднимая тело вверх ногами и перемещаться плавно, словно парус. Зубами мог поднять стул и порвать канат крепкими мышцами рук. Его тело бурлило энергией, желанием прыгнуть через ограду, раскачать столб, одним словом — совершить впечатляющий поступок, как мы говорили в молодости. Сейчас что-то изменилось, словно механизм слегка испортился. Он начал сутулиться и признался другу Подтягину, что мучается бессонницей. Ночью накануне понедельника плохо спал, проведя двадцать минут в компании непристойного человека в остановившемся лифте. Утро следующего дня началось тяжело: долгое время сидел голым, держа вытянутые прохладные руки между коленями, пораженный осознанием, что снова должен будет одеть рубаху, носки, брюки — вещи пропитанные потом и грязью, казавшиеся неприятной обязанностью. Подобное чувство вызывало у него воспоминание о цыганском пуделе, выглядящем ужасающе жалко в человеческой одежде. Частично апатия объяснялась отсутствием работы. За прошедшую зиму удалось скопить небольшую сумму денег, от которой осталось около двухсот марок, потому что последние месяцы были затратными.
В предыдущем году, прибыв в Берлин, он быстро устроился на работу и продолжал трудиться вплоть до января, выполняя разнообразные задания: испытывал тяжесть утренних поездок на завод; чувствовал боль в ногах после десяти километров беготни с подносом среди ресторанных столов заведения «Пир Горой». Занимался также посредничеством, предлагая любые товары, какие попадались под руку — будь то баранки, средство для укладки волос или драгоценности. Он ничего не отвергал: неоднократно зарабатывал продажей собственной тени, как многие из нас. Иными словами, участвовал в массовке киносъемок за городом, где огромные прожекторы, направленные на группу статистов, ярко освещали лица людей своим ярким резким светом, создавая ощущение дискомфорта и стыда. После завершения съемки контракт считался выполненным, и заработанная сумма расходовалась."
9,"Целый день кровать кажется поднимающейся вверх, будто движется в ясное теплое небо, и, приподнявшись, человек видит кроны деревьев, ярко освещённые жёлтым светом солнца, тонкие провода, служащие местом отдыха птиц, и деревянный навес над дорожкой красного цвета рядом с парадным входом. Издали слышатся приятные звуки природы: пение птиц, отдалённый собачий лай, поскрипывание водяного насоса.
Человек лежит неподвижно, погружён в размышления о предстоящем подъёме, наблюдает солнечные блики, играющие на поверхности стола, смотрит, как клубок нитей соскальзывает с коленей сидящей рядом женщины и плавно перекатывается по гладкому деревянному полу...
Именно здесь, в данной комнате, когда Ганин находился на выздоровлении в возрасте шестнадцати лет, сформировался мысленный образ счастья и девушки, которого он позже увидел в реальности. Этот процесс формирования образа происходил благодаря совокупности факторов окружающей обстановки: картинам на стенах, звукам природы за окном, изображению Христа в киоте, журчащей воде в раковине. Развивающийся образ впитывал приятную атмосферу солнечного света в помещении, и очевидно, что без воздействия этой среды такой образ не мог бы появиться. По сути, это были лишь обычные ощущения юности, мечтательные переживания, однако сейчас Ганину представлялось, что такое совпадение мыслей и действительности ранее не происходило столь идеально. Целый день он переходил из одного сада в другой, посещал различные кафе, и воспоминания постоянно увлекали его вперёд, подобно движущимся облакам в небе весной в Берлине. Посетители кафе думали, что мужчина, внимательно смотрящий вдаль, переживает какую-то глубокую печаль, а на улицах он случайно сталкивался с прохожими, один раз водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись с ним.
Ганин чувствовал себя творцом, восстанавливающим утраченный мир. Постепенно он возвращал детали исчезнувшего мира ради той женщины, которой ещё не решился придать место в нём, пока восстановление не завершится целиком. Однако мысль о ней, ощущение её присутствия, призрак прошлых впечатлений вынуждали его завершить создание образа окончательно, хотя он сознательно откладывал появление этого образа, поскольку хотел приблизиться к нему поэтапно, следуя определённой последовательности шагов. Стараясь избежать путаницы среди ярких образов прошлого, он аккуратно реконструировал события своей жизни, иногда останавливаясь на незначительных деталях, избегая преждевременного перехода к последующим этапам. Бродя по Берлину тёплым майским днём, он действительно выздоравливал физически, испытывал первые признаки восстановления после болезни, слабость в ногах, рассматривал своё отражение в зеркалах. Одежда выглядела особенно чистой, свободной и слегка непривычной. Медленно продвигаясь по широкому парку, окруженному деревьями, он замечал небольшие земляные бугорки чёрного цвета, образовавшиеся в результате деятельности животных. Он надел белую нижнюю одежду и светло-фиолетовые носки. У него была мечта встретить кого-либо в парке, но конкретного представления о том, кто именно должен встретиться, у него не было."
