,text_id,author,source,link,year_of_creation,text_domen,original_text,idiomatic_expressions,len,word_count,ratio,idiom_count,ratio_2,literal_version
0,1,Андрей Белый,Петербург,,1913,художественный,"Над пустыми петербургскими улицами пролетали едва озаренные смутности; обрывки туч перегоняли друг друга.

Какое-то фосфорическое пятно и туманно, и мертвенно проносилось по небу; фосфорическим блеском протуманилась высь; и от этого проблистали железные крыши и трубы. Протекали тут зеленые воды Мойки; по одной ее стороне то же высилось все трехэтажное здание о пяти своих белых колоннах; наверху были выступы. Там, на светлом фоне светлого здания, медленно проходил Ее Величества кирасир; у него была золотая, блиставшая каска.

И серебряный голубь над каской распростер свои крылья.

Николай Аполлонович, надушенный и выбритый, пробирался по Мойке, запахнувшись в меха; голова упала в шинель, а глаза как-то чудно светились; в душе – поднимались там трепеты без названья; что-то жуткое, сладкое пело там: словно в нем самом разлетелся на части буревой эолов мешок и сыны нездешних порывов на свистящих бичах в странные, в непонятные страны угоняли жестоко.

Думал он: неужели и это – любовь? Вспомнил он: в одну туманную ночь, выбегая стремительно из того вон подъезда, он пустился бежать к чугунному петербургскому мосту, чтобы там, на мосту…

Вздрогнул он.

Пролетел сноп огня: придворная, черная пролетела карета: пронесла мимо светлых впадин оконных того самого дома ярко-красные свои, будто кровью налитые, фонари; на струе черной мойской фонари проиграли и проблистали; призрачный абрис треуголки лакея и абрис шинельных крыльев пролетели с огнем из тумана в туман.","пролетали едва озаренные смутности
обрывки туч перегоняли друг друга
фосфорическое пятно и туманно, и мертвенно проносилось по небу
фосфорическим блеском протуманилась высь
здание о пяти своих белых колоннах
серебряный голубь над каской распростер свои крылья
голова упала в шинель
глаза как-то чудно светились
в душе – поднимались там трепеты без названья
жуткое, сладкое пело там
разлетелся на части буревой эолов мешок и сыны нездешних порывов на свистящих бичах в странные, в непонятные страны угоняли жестоко
Пролетел сноп огня: придворная, черная пролетела карета
пронесла мимо светлых впадин оконных того самого дома ярко-красные свои, будто кровью налитые, фонари
фонари проиграли и проблистали
призрачный абрис треуголки лакея и абрис шинельных крыльев пролетели с огнем из тумана в туман",202,98,"48,51485149",15,"7,425742574","Над пустынными петербургскими улицами двигались слабо освещённые неясные очертания облаков; клочья облаков быстро сменялись одно другим.

Некий тусклый светящийся объект неопределённой формы перемещался по небу неясно и бесцветно; небо приобрело слабое сияние; от этого заблестели металлические крыши и дымовые трубы. Здесь протекала река Мойка зелёного цвета; вдоль одного берега располагалось трёхэтажное строение с пятью белыми колоннами; сверху выступали архитектурные элементы. На ярком фоне строения спокойно шёл солдат Её Величества в блестящем шлеме с позолотой.

Рядом с ним летел серебристого окраса голубь, расправив крылья.

Николай Аполлонович, предварительно использовав парфюм и сбрив щетину, шел вдоль набережной реки Мойки, укрывшись меховым пальто; его голова находилась внутри воротника одежды, а глаза необычно отражали свет; внутри испытывал волнения без определённого названия; ощущал нечто одновременно страшное и приятное: как будто внутри него возникло сильное внутреннее напряжение и какие-то необъяснимые чувства направляли его в неизвестные места.

Он размышлял: возможно ли, что это чувство является любовью? В памяти всплывало воспоминание: однажды ночью, покрытый туманом, быстро выйдя из указанного подъезда, он поспешил к чугунной петербургской переправе, намереваясь именно там...

Он ощутил дрожь.

Мимо пролетел пучок света: чёрная императорская повозка проследовала рядом с окнами хорошо освещенного дома, везя красные осветительные приборы интенсивного оттенка; эти светильники отразили своё изображение на тёмной поверхности вод Мойки; расплывчатое очертание головного убора слуги и форма края верхней одежды промелькнули вместе со светом, появившись из туманной области и исчезнув в другой туманной зоне."
1,2,Андрей Белый,Петербург,,1913,художественный,"То место увенчивал великолепный дворец; вверх протянутой башнею напоминал он причудливый замок: розово-красный, тяжелокаменный! Не теперь это было, и венценосца того уже нет.

Розово-красный дворец выступал своим верхом из гущи безлистных суков; те суки протянулися к небу глухими порывами и, качаясь, ловили бегущие облака; каркая, вверх стрельнула ворона; взлетела, качалась над хлопьями; и — обратно низринулась.

Пролетка пересекала то место.

И конная статуя вычернялась неясно от площади; посетители Петербурга той статуе не уделяют внимания: великолепная статуя!

Своему великому прадеду соорудил эту статую самодержец; он жил в розовокаменном замке; не долго томился.

Вероятно, не раз появлялась курносая в белых локонах голова в амбразуре окна. И курносая в локонах голова дозирала пространства за стеклами; утопали глаза в розовеющих угасаниях неба, иль упирались в серебряную игру и в кипение месячных отблесков в густолиственных древесах; у подъезда стоял часовой в треуголке с полями и брал   н а   к а р а у л   при проходе золотогрудого генерала в андреевской ленте к расписанной акварелью карете; и краснопламенный высился кучер с приподнятых козел; а на запятках — стояли губастые негры.

И Павел Петрович, окинувши взглядом все это, опять возвращался к сентиментальному разговору с кисейною фрейлиной; фрейлина улыбалась; обозначились лукавые ямочки, мушка.

В ту ночь разливалося лунное серебро, упадая на мебели императорской опочивальни, озолощая лукаво амурчика; на подушке уже вырисовывался профиль лежащего; где-то били куранты; и — намечались шаги... Не прошло трех мгновений — постель была смята: а простыни были теплы; почившего — не было; кучечка белокудерных офицеров с порывисто обнаженными шашками наклоняла главы к опустевшему ложу; в дверь сбоку ломились; и — плакался женский голос; рука розовогубого офицера приподняла оконную штору; и из-под спущенной кисеи, на окне, в серебре — прочернела дрожащая тень.

Где-то били куранты; а там, в отдалении, топотали шаги.","место увенчивал великолепный дворец
вверх протянутой башнею
те суки протянулися к небу глухими порывами и, качаясь, ловили бегущие облака
вверх стрельнула ворона; взлетела, качалась над хлопьями; и — обратно низринулась.
статуя вычернялась неясно от площади
в амбразуре окна
курносая в локонах голова дозирала
пространства за стеклами
утопали глаза в розовеющих угасаниях неба, иль упирались в серебряную игру и в кипение месячных отблесков в густолиственных древесах;
краснопламенный высился кучер
обозначились лукавые ямочки
разливалося лунное серебро, упадая на мебели императорской опочивальни, озолощая лукаво амурчика
вырисовывался профиль
намечались шаги
Не прошло трех мгновений
кучечка белокудерных офицеров с порывисто обнаженными шашками
и из-под спущенной кисеи, на окне, в серебре — прочернела дрожащая тень.
топотали шаги",278,94,"33,81294964",18,"6,474820144","На указанном месте располагался роскошный дворец; своей верхней частью, похожей на вытянутую башню, он напоминал странной формы замок: кирпично-розовый, массивный каменный. Это происходило давно, и сейчас монарха, жившего здесь тогда, больше нет.

Кирпично-розовый дворец возвышался среди голых ветвей деревьев; ветви тянулись вверх подобно тихим порывам ветра и колебались, словно пытаясь ухватить проплывавшие мимо облака; крикнув, резко взметнулась вверх ворона; поднявшись высоко, она некоторое время парила, после чего снова стремительно спустилась вниз.

Экипаж проезжал через этот район.

Конная скульптура отчетливо выделялась на фоне площади; гости города редко обращают на неё внимание, хотя эта фигура величественна.

Сам монарх воздвигнул памятник своему знаменитому предку; он проживал во дворце красного кирпича; прожил недолго.

Возможно, неоднократно показывалась круглая белая голова с завитушками волос возле узкого проёма окна дворца. Эта голова внимательно смотрела вдаль сквозь стекло; взгляд либо терялся в мягких оттенках заката, либо фиксировался на серебристом мерцании отражённого света месяца среди густой листвы деревьев; у входа дежурил солдат в треугольной шляпе с полями и отдавал честь, когда золотой грудью генерал проходил мимо, направляясь к украшенной картинами повозке; рядом находился высокий возница, сидящий на высоком сиденье экипажа; сзади стояли черные слуги.

Павел Петрович вновь смотрел вокруг себя и возобновлял беседу с миловидной дамой-официанткой, одетой в прозрачную ткань; дама улыбалась; на щеках стали заметны небольшие впадинки, родинка.

В ту ночь пространство заливал свет луны, освещавший предметы интерьера императорских покоев, блестевший даже на маленьком изображении купидона; на подушке уже ясно виднелась форма головы человека, лежавшего ранее; откуда-то раздавались удары часов; вскоре послышались чьи-то приближающиеся шаги… Прошло лишь несколько секунд — постель оказалась помятой: простыни ещё сохраняли тепло тела; покойника уже не было видно; группа молодых офицеров с обнажёнными саблями склонились над пустым изголовьем кровати; кто-то пытался открыть дверь; слышался плач женского голоса; бледнолицый офицер поднял край шторы; и за прозрачной тканью окна проявилось смутное очертание дрожащей тени.

Откуда-то доносились звуки боя часов; неподалёку звучали удаляющиеся шаги."
2,3,Евгений Замятин,Мы,,1920,художественный,"Вечер. Легкий туман. Небо задернуто золотисто-молочной тканью и не видно: что там — дальше, выше. Древние знали, что там их величайший, скучающий скептик — Бог. Мы знаем, что там хрустально-синее, голое, непристойное ничто. Я теперь не знаю, что там: я слишком много узнал. Знание, абсолютно уверенное в том, что оно безошибочно, — это вера. У меня была твердая вера в себя, я верил, что знаю в себе все. И вот — —Я — перед зеркалом. И первый раз в жизни — именно так: первый раз в жизни — вижу себя ясно, отчетливо, сознательно — с изумлением вижу себя, как кого-то «его». Вот я — он: черные, прочерченные по прямой брови; и между ними — как шрам — вертикальная морщина (не знаю, была ли она раньше). Стальные, серые глаза, обведенные тенью бессонной ночи; и за этой сталью... оказывается, я никогда не знал, что там. И из «там» (это «там» одновременно и здесь, и бесконечно далеко) — из «там» я гляжу на себя — на него и твердо знаю: он — с прочерченными по прямой бровями — посторонний, чужой мне, я встретился с ним первый раз в жизни. А я настоящий — я — не он...Нет: точка. Все это — пустяки, и все эти нелепые ощущения — бред, результат вчерашнего отравления... Чем: глотком зеленого яда — или ею? Все равно. Я записываю это, только чтобы показать, как может странно запутаться и сбиться человеческий — такой точный и острый — разум. Тот разум, который даже эту, пугавшую древних, бесконечность сумел сделать удобоваримой — посредством...Щелк нумератора — и цифры: R-13. Пусть, я даже рад: сейчас одному мне было бы...","Небо задернуто золотисто-молочной тканью
скучающий скептик — Бог
голое, непристойное ничто
черные, прочерченные по прямой брови
между ними — как шрам — вертикальная морщина
Стальные, серые глаза, обведенные тенью бессонной ночи
за этой сталью...
это «там» одновременно и здесь, и бесконечно далеко
с прочерченными по прямой бровями
глотком зеленого яда — или ею
как может странно запутаться и сбиться человеческий — такой точный и острый — разум",265,57,"21,50943396",11,"4,150943396","Вечер. Легкая дымка. Туман скрывает небо, нельзя увидеть, что находится выше. В древности полагали, что над облаками обитает главный бог, равнодушный наблюдатель всего происходящего. Сейчас известно, что выше облаков лишь прозрачная синева и пустота космоса. Теперь же я теряюсь в догадках относительно того, что скрывается за пределами видимости, поскольку получил много новых знаний. Полностью убежденное знание эквивалентно верованию. Раньше я был уверен в своей правоте во всём касающемся меня самого. Однако теперь впервые осознаю своё отражение в зеркале совершенно ясно и отчётливо. Впервые внимательно смотрю на собственное лицо и удивлённо воспринимаю себя словно другого человека. Передо мной человек с чёрными ровными линиями бровей и вертикальной морщиной меж ними (раньше я не замечал её). Серые глаза имеют стальной оттенок и окружены тёмной каймой от бессонницы. За этими глазами прячутся мои настоящие чувства и переживания, которых ранее я не понимал. Оттуда же, изнутри сознания, смотрящего на моё изображение, приходит твёрдое убеждение, что этот отражённый мужчина чужд мне самому, мы встретились впервые. Настоящий же я — другой. Нет смысла продолжать размышления: всё перечисленное бессмысленно и является результатом недавних неприятных переживаний после употребления отравляющего вещества накануне вечером. Неважно какого именно. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться наш разум, который обычно действует точно и остро. Разум, способный объяснить непонятную древним бескрайнюю даль, представить её понятной и доступной — благодаря использованию числовых обозначений вроде моего собственного номера R-13. К слову, я доволен таким решением: иначе пришлось бы оставаться одному."
3,4,Евгений Замятин,Мы,,1920,художественный,"Она была в фантастическом костюме древней эпохи: плотно облегающее черное платье, остро подчеркнуто белое открытых плечей и груди, и эта теплая, колыхающаяся от дыхания тень между... и ослепительные, почти злые зубы...
Улыбка — укус, сюда — вниз. Села, заиграла. Дикое, судорожное, пестрое, как вся тогдашняя их жизнь, — ни тени разумной механичности. И, конечно, они, кругом меня, правы: все смеются. Только немногие... но почему же и я — я?
Да, эпилепсия — душевная болезнь — боль... Медленная, сладкая боль — укус — и чтобы еще глубже, еще больнее. И вот, медленно — солнце. Не наше, не это голубовато-хрустальное и равномерное сквозь стеклянные кирпичи — нет: дикое, несущееся, опаляющее солнце — долой все с себя — все в мелкие клочья.
Сидевший рядом со мной покосился влево — на меня — и хихикнул. Почему-то очень отчетливо запомнилось: я увидел — на губах у него выскочил микроскопический слюнный пузырек и лопнул. Этот пузырек отрезвил меня. Я — снова я.
Как и все — я слышал только нелепую, суетливую трескотню струн. Я смеялся. Стало легко и просто. Талантливый фонолектор слишком живо изобразил нам эту дикую эпоху — вот и все.
С каким наслаждением я слушал затем нашу теперешнюю музыку. (Она продемонстрирована была в конце — для контраста.) Хрустальные хроматические ступени сходящихся и расходящихся бесконечных рядов — и суммирующие аккорды формул Тэйлора, Маклорена; целотонные, квадратно-грузные ходы Пифагоровых штанов; грустные мелодии затухающе-колебательного движения; переменяющиеся фраунгоферовыми линиями пауз яркие такты — спектральный анализ планет... Какое величие! Какая незыблемая закономерность! И как жалка своевольная, ничем — кроме диких фантазий — не ограниченная музыка древних...
Как обычно, стройными рядами, по четыре, через широкие двери все выходили из аудиториума. Мимо мелькнула знакомая двояко-изогнутая фигура; я почтительно поклонился.","остро подчеркнуто белое открытых плечей и груди
теплая, колыхающаяся от дыхания тень между
ослепительные, почти злые зубы
Улыбка — укус
Села, заиграла. Дикое, судорожное, пестрое, как вся тогдашняя их жизнь, — ни тени разумной механичности.
все смеются. Только немногие... но почему же и я — я?
Да, эпилепсия — душевная болезнь — боль... Медленная, сладкая боль — укус — и чтобы еще глубже, еще больнее. И вот, медленно — солнце. Не наше, не это голубовато-хрустальное и равномерное сквозь стеклянные кирпичи — нет: дикое, несущееся, опаляющее солнце — долой все с себя — все в мелкие клочья.
суетливую трескотню струн
слишком живо изобразил нам эту дикую эпоху
Хрустальные хроматические ступени сходящихся и расходящихся бесконечных рядов — и суммирующие аккорды формул Тэйлора, Маклорена; целотонные, квадратно-грузные ходы Пифагоровых штанов; грустные мелодии затухающе-колебательного движения; переменяющиеся фраунгоферовыми линиями пауз яркие такты — спектральный анализ планет...
незыблемая закономерность
И как жалка своевольная, ничем — кроме диких фантазий — не ограниченная музыка древних...
двояко-изогнутая фигура",271,146,"53,87453875",13,"4,79704797","Она была одета в костюм древнего стиля: тесное чёрное платье подчёркивало белизну обнажённых плеч и груди, а также выделяло светлые зубы, казавшиеся чрезмерно яркими.
Женщина села и начала играть. Её исполнение отличалось хаотичностью и нервозностью, отражавшими характер той эпохи, когда она жила. Она играла беспорядочно, без какой-либо структурированности. Остальные вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали сомнения, и я тоже задумался над причиной своего смеха.
Эпилепсия является психическим заболеванием, вызывающим страдания. Боль возникает постепенно, усиливаясь и становясь всё интенсивнее. Постепенно приходит осознание болезненности происходящего. Затем появилось ощущение солнечного света, яркого и сильного, резко отличающегося от обычного спокойного освещения. Это чувство заставило снять одежду и разорвать её на куски.
Человек, сидящий рядом со мной, посмотрел в мою сторону и усмехнулся. Запомнилось одно обстоятельство: я заметил маленький пузырь слюны, появившийся и тут же исчезнувший на его губах. Наблюдение этого явления вернуло мне ясность сознания.
Подобно остальным, я воспринимал лишь бессмысленный шум струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей.
После прослушала я современную музыку, демонстрируемую специально для сопоставления с предыдущей. Удовольствие доставляли чёткость структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов.
Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек, имевший необычную фигуру, выгнутую в двух направлениях одновременно; я уважительно приветствовал его кивком головы."
4,5,Федор Сологуб ,Мелкий бес,,1902,художественный,"Все это Рутилов говорил, по обыкновению своему, быстро и весело, улыбаясь, но он, 
высокий, узкогрудый, казался чахлым и хрупким, и из-под шляпы его, новой и модной, 
как-то жалко торчали жидкие, коротко остриженные светлые волосы.
– Ну, уж и втрое, – вяло возразил Передонов, снимая и протирая золотые очки.
– Да уж верно! – воскликнул Рутилов. – Смотри, не зевай, пока я жив, а то они у меня 
тоже с гонором, – потом захочешь, да поздно будет. А только из них каждая за тебя с 
превеликим удовольствием пойдет.
– Да, в меня здесь все влюбляются, – с угрюмым самохвальством сказал Передонов.
– Ну, вот видишь, вот ты и лови момент, – убеждал Рутилов.
– Мне бы, главное, не хотелось, чтобы она была сухопарая, – с тоскою в голосе сказал 
Передонов. – Жирненькую бы мне.
– Да уж на этот счет ты не беспокойся, – горячо говорил Рутилов. – Они и теперь 
барышни пухленькие, а если не совсем вошли в объем, так это только до поры до времени. 
Выйдут замуж, и они раздобреют, как старшая. Лариса-то у нас, сам знаешь, какая кулебяка 
стала.
– Я бы женился, – сказал Передонов, – да боюсь, что Варя большой скандал устроит.
– Боишься скандала, так ты вот что сделай, – с хитрою улыбкою сказал Рутилов: –
сегодня же венчайся, не то завтра: домой явишься с молодой женой, и вся недолга. Правда, 
хочешь, я это сварганю, завтра же вечером? С какою хочешь?
Передонов внезапно захохотал, отрывисто и громко.
– Ну, идет? по рукам, что ли? – спросил Рутилов.
Передонов так же внезапно перестал смеяться и угрюмо сказал, тихо, почти шопотом:
– Донесет, мерзавка.
– Ничего не донесет, нечего доносить, – убеждал Рутилов.
– Или отравит, – боязливо шептал Передонов.
– Да уж ты во всем на меня положись, – горячо уговаривал его Рутилов, – я все так 
тонко обстрою тебе…
– Я без приданого не женюсь, – сердито крикнул Передонов.
Рутилова нисколько не удивил новый скачок в мыслях его угрюмого собеседника. Он 
возразил все с тем же одушевлением:
– Чудак, да разве они бесприданницы! Ну, что же, идет, что ли? Ну, я побегу, все 
устрою. Только чур, никому ни гу-гу, слышишь, никому!
Он потряс руку Передонова и побежал от него. Передонов молча смотрел за ним. 
Барышни Рутиловы припомнились ему, веселые, насмешливые. Нескромная мысль выдавила 
на его губы поганое подобие улыбки, – оно появилось на миг и исчезло. Смутное 
беспокойство поднялось в нем.","казался чахлым и хрупким
жалко торчали жидкие, коротко остриженные светлые волосы
они у меня тоже с гонором
в меня здесь все влюбляются
лови момент
не совсем вошли в объем
до поры до времени
раздобреют
какая кулебяка стала
и вся недолга
я это сварганю
по рукам, что ли?
я все так тонко обстрою тебе
скачок в мыслях
ни гу-гу
Нескромная мысль выдавила на его губы поганое подобие улыбки, – оно появилось на миг и исчезло.
Смутное беспокойство поднялось в нем",376,63,"16,75531915",17,"4,521276596","Всё это Рутилов произносил, как обычно, бодрым голосом и оживлённо, улыбаясь, однако выглядел высоким и худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светловолосые короткие стриженые волосы.
– Ну, втрое ведь всего лишь, – слабо возразил Передонов, снимая и вытирая золотые очки.
– Но правда же! – вскричал Рутилов. – Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя.
– Здесь действительно многие испытывают ко мне симпатию, – угрюмо похвалился Передонов.
– Вот видишь, значит используй ситуацию сейчас, – советовал Рутилов.
– Самое важное для меня, чтобы девушка не была худощавой, – с грустью в голосе сказал Передонов. – Лучше пусть будет полной.
– Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису.
– Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт.
– Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: – сегодня же заключай брачный союз, лучше сделать это немедленно. Вернувшись домой с молодой супругой, проблема разрешится сама собой. Согласен, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку.
Передонов неожиданно начал громко и резко смеяться.
– Значит, соглашаешься? По рукам, так сказать? – поинтересовался Рутилов.
Передонов также внезапно прекратил смех и мрачно прошептал тихим голосом:
– Она расскажет обо всём, эта негодяйка.
– Ей нечего рассказывать, ничего такого не произойдёт, – успокаивал Рутилов.
– Или отравит, – испуганно бормотал Передонов.
– Просто доверься мне во всех вопросах, – убедительно настаивал Рутилов, – я обеспечу всё аккуратно и продуманно.
– Без приданого я вступать в брак не намерен, – раздражённо выкрикнул Передонов.
Новое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно:
– Странный человек, разве мои дочери лишены приданого? Так что согласны мы или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?
Рутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему весёлыми и насмешливыми. Непристойная мысль вызвала мимолетную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги."
5,6,Федор Сологуб ,Творимая легенда,,1912,художественный,"Беру кусок жизни, грубой и бедной, и творю из него сладостную легенду, ибо я — поэт. 
Косней во тьме, тусклая, бытовая, или бушуй яростным пожаром, — над тобою, жизнь, я, 
поэт, воздвигну творимую мною легенду об очаровательном и прекрасном.
В спутанной зависимости событий случайно всякое начало. Но лучше начать с того, 
что и в земных переживаниях прекрасно, или хотя бы только красиво и приятно. Прекрасны 
тело, молодость и веселость в человеке, — прекрасны вода, свет и лето в природе.
Было лето, стоял светлый, знойный полдень, и на реку Скородень падали тяжелые 
взоры пламенного Змия. Вода, свет и лето сияли и радовались, сияли солнцем и простором, 
радовались одному ветру, веющему из страны далекой, многим птицам и двум обнаженным 
девам.
Две сестры, Елисавета и Елена, купались в реке Скородени. И солнце, и вода были 
веселы, потому что две девы были прекрасны и были наги. И обеим девушкам было весело, 
прохладно и хотелось двигаться, и смеяться, и болтать, и шутить. Они говорили о человеке, 
который волновал их воображение.
Девушки были дочери богатого помещика. Место, где они купались, примыкало к 
обширному, старому саду их усадьбы. Может быть, им было особенно приятно купаться в 
этой реке потому, что они чувствовали себя госпожами этих быстротекущих вод и песчаных 
отмелей под их быстрыми ногами. И они плавали и смеялись в этой реке с уверенностью и 
свободою прирожденных владетельниц и госпож. Никто не знает пределов своего 
господства, — но блаженны утверждающие свое обладание, свою власть!
","Беру кусок жизни, грубой и бедной, и творю из него сладостную легенду
Косней во тьме, тусклая, бытовая, или бушуй яростным пожаром
над тобою, жизнь, я, поэт, воздвигну творимую мною легенду
в спутанной зависимости событий случайно всякое начало
падали тяжелые взоры пламенного Змия
вода, свет и лето сияли и радовались
радовались одному ветру, веющему из страны далекой
чувствовали себя госпожами этих быстротекущих вод
песчаных отмелей под их быстрыми ногами
с уверенностью и свободою прирожденных владетельниц и госпож
Никто не знает пределов своего господства
блаженны утверждающие свое обладание, свою власть",233,77,"33,0472103",12,"5,150214592","Извлекаю фрагмент жизни, простой и непритязательной, и превращаю его в привлекательную историю, поскольку я являюсь поэтом.
Оставайся пассивной, обычной и однообразной или проявляй активность и силу — несмотря ни на что, я, будучи поэтом, создам над тобой красивую и увлекательную историю о приятном и привлекательном.
Случайности определяют развитие событий, любое начало обусловлено случайностью. Однако целесообразнее начинать с тех аспектов человеческого опыта, которые являются достойными восхищения, либо, по крайней мере, эстетичными и доставляющими удовольствие. Красивыми качествами человека являются здоровье, юность и жизнерадостность, красивыми явлениями природы являются прозрачная вода, солнечный свет и теплое время года.
Был летний день, ясный и жаркий, и река Скородень находилась под ярким светом солнца. Прозрачная вода, яркий свет и летняя погода сверкали и приносили ощущение радости благодаря теплу солнца, открытости пространства, дуновению ветра издалека, присутствию множества птиц и двух молодых девушек.
Елисавета и Елена, родные сестры, купались в реке Скородень. Солнце и вода вызывали радостные чувства, так как девушки выглядели красивее обычного и были обнаженными. Обе испытывали приятные ощущения: прохладу, желание активно двигаться, улыбаться, разговаривать и развлекаться. В беседе они упомянули мужчину, который был предметом их фантазий.
Эти девушки являлись дочерьми обеспеченного владельца поместья. Участок реки, где они купались, прилегал к обширному старинному саду принадлежавшего им дома. Возможно, им нравилось находиться здесь еще больше, так как они ощущали себя владелицами быстро текущей воды и песчаного берега, омываемого их ступнями. Они свободно передвигались и играли в воде, чувствуя уверенность и свободу хозяев территории. Границы власти любого человека неизвестны, однако счастливы те, кто уверен в своем положении и полномочиях!"
