,index,idiomatic_version
0,0,"text='Над пустынными улицами Петербурга скользили неясные облака, словно тени на темном полотне; клочья облаков быстро меняли свои формы и места, как бы призывая друг друга. Тусклый светящийся объект неопределенной формы плыл по небу без четкого контура; сверху брезжил мягкий свет, освещая металлические крыши и дымовые трубы. Здесь протекала зеленовато-серая Мойка; трёхэтажное строение с пятью белыми колоннами выделялось на берегу, а сверху вздымались архитектурные элементы. Солдат Её Величества в блестящем шлеме со златом шагал спокойно по улицам; его серебряный знак - голубь с развернутыми крыльями - светился на его каске. Николай Аполлонович, предварительно распахнув парфюм и сбрив щетину, прогуливался у берега Мойки, укрывшись меховым пальто; его голова пряталась под воротником одежды, а глаза отражали свет странно. Его душа кипела тайными волнениями без определённого названия; одновременно страшное и приятное чувство направляло его в неизвестные места. Он размышлял: возможно ли, что это любовь? В памяти вспыхнули воспоминания: ночью, под туманом, он быстро вышел из дома, намереваясь отправиться к чугунной переправе... Ощутив дрожь, Николай Аполлонович заметил, как мимо пронесся пучок света: черная повозка императора проехала рядом с окнами дома, везя ярко-красные фонари; их отражение появилось на воде Мойки и исчезло в туманной области.' ratio=9.5"
1,1,"text='Кирпично-розовый дворец возвышался среди голых деревьев, их ветви, словно тихие порывы ветра, растягивались к небесам и колебались, пытаясь ухватить проплывающие облака; каркая, ворона взметнулась высоко над облаками и некоторое время парила, после чего стремительно спустилась обратно. Экипаж проезжал через этот район. На фоне площади отчетливо выделялась конная скульптура; гости города редко обращали на неё внимание, хотя эта фигура была величественной и неприступной. Сам монарх воздвиг памятник своему знаменитому предку; он проживал во дворце красного кирпича, где прожил недолго. Возможно, круглая белая голова с завитыми волосами проявлялась возле узкого окна; человек внимательно смотрел сквозь стекло, либо теряясь в мягких оттенках заката, либо фиксируя серебристое мерцание света месяца среди густой листвы. Под его окном дежурил солдат с треугольной шляпой; он отдавал честь, когда золотой грудью проходил мимо генерал, направляясь к украшенной картинами повозке; рядом стоял высокий возница на высоком сиденье экипажа; за ними находились черные слуги. Павел Петрович снова огляделся и продолжил беседу с изнеженной фрейлиной, одетой в прозрачную ткань; она улыбалась, на щеках её появились небольшие впадины от родинок. В ту ночь пространство освещал лунный свет, который блестел даже на маленьком изображении купидона; на подушке уже виднелись очертания головы лежавшего человека; у часов звучали удары; вскоре послышались шаги… Прошло лишь несколько секунд — постель оказалась помятой: простыни еще сохраняли тепло тела; за изголовьем кровати склонились молодые офицеры с обнаженными саблями; кто-то пытался открыть дверь; слышался плач женского голоса; бледнолицый офицер поднял край шторы; и за прозрачной тканью окна проявилось смутное очертание дрожащей тени. Откуда-то доносились звуки боя часов; неподалеку слышались удаляющиеся шаги.' ratio=10.0"
2,2,"text='Вечер. Легкая дымка накрывает небеса, скрывая их от взгляда. В древние времена верили, что над облаками обитает главный бог — бесстрастный свидетель всего происходящего. Сейчас мы знаем, что выше облаков лишь прозрачная синевы и пустота космоса. Теперь же я теряюсь в догадках относительно того, что скрывается за пределами видимости, поскольку получил множество новых знаний. Полностью убежденное знание эквивалентно верованию. Раньше я был уверен во всем касающемся меня самого, но теперь впервые осознаю своё отражение в зеркале с остротой и ясностью. Впервые внимательно смотрю на собственное лицо и удивленно воспринимаю себя как другого человека. Передо мной человек с чёрными ровными бровями и вертикальной морщиной между ними (раньше я её не замечал). Серые глаза имеют стальной оттенок, под ними темные круги от бессонницы. По моему взгляду не видно моих настоящих чувств и переживаний, и ранее я их не понимал. Изнутри сознания, смотрящего на мое изображение, появляется твердая уверенность, что этот отражённый мужчина чужд мне самому — мы впервые видим его. Настоящий же я — другой. Всё перечисленное бессмысленно и является результатом недавних неприятных переживаний после употребления некоего отравляющего вещества накануне вечером. Записываю это исключительно ради демонстрации того, насколько необычным образом способен ошибаться логичный человеческий разум — то, что может объяснить непонятную древним бескрайнюю даль, представив её понятной и доступной с помощью числовых обозначений. R-13. К слову, я доволен его приходом: мне бы не хотелось сейчас оставаться одному.' ratio=7.0"
3,3,"text='Она облачилась в стилизацию древнего века: элегантное чёрное платье подчеркивало её неподвижные, обнажённые плечи и грудь, а также выделяло белоснежные зубы, казавшиеся исключительно яркими. Она села и принялась играть. Её исполнение отличалось хаотичностью и нервозностью, отражающей характер её эпохи. Она играла беспорядочно, без какой-либо структурированности. Остальные вокруг были согласны друг с другом и весело смеялись. Однако некоторые из присутствующих испытывали смутное недовольство, и я тоже задумался над причиной своего смеха. Эпилепсия — это болезнь души, вызывающая страдания. Вначале боль медленно нарастает, становясь всё сильнее. Постепенно приходит осознание болезненного состояния. Затем появилось ощущение жгучего света — яркого и вспышечного, резко отличающегося от обычного спокойствия. Это чувство заставило её снять одежду и разорвать её на куски. Сидящий рядом человек взглянул в мою сторону и усмехнулся. Один момент запомнился мне ясно: я заметил маленький пузырёк слюны, появившийся и тут же исчезнувший на его губах. Наблюдение этого явления вернуло мне ясность сознания. Подобно остальным, я воспринимал лишь бессмысленный шум струн музыкального инструмента. Я улыбался, чувствуя облегчение и спокойствие. Лекционный материал дал реалистичное представление о событиях того периода, вызвав смех слушателей. После прослушивания современной музыки, демонстрируемой специально для сравнения с предыдущей, я ощутил удовольствие от чёткости структуры музыкальных произведений, построенных по строгим научным принципам, включающим элементы математики и физики. Ощущалась мощь порядка и гармонии современной музыки, противопоставляемой примитивному искусству прошлого, лишённому каких-либо ограничений, кроме собственных вымышленных представлений авторов. Все покинули зал парами по четыре человека, двигаясь организованно через большие выходы. По пути мимо прошёл знакомый человек с необычной фигурой — его тело выгнулось в двух направлениях одновременно; я уважительно приветствовал его кивком головы.' ratio=10.0"
4,4,"text='Всё это Рутилов произносил, как всегда, бодрым голосом и оживлённо, улыбаясь. Однако он был худым человеком, производящим впечатление слабого и болезненного, несмотря на новую и модную шляпу, из-под которой были видны редкие светлые коротко стриженные волосы.\n– Ну, разве же втрое! – слабо возразил Передонов, снимая и вытирая золотые очки.\n– Но это же правда! – вскричал Рутилов. – Ты смотри внимательно, пользуйся моментом, пока я жив, потому что после моей смерти станет сложнее найти невесту, подходящую именно тебе. Каждая из моих дочерей охотно согласилась бы выйти за тебя.\n– Здесь действительно многие испытывают ко мне симпатию, – угрюмо похвалился Передонов.\n– Вот видишь, значит используй ситуацию, – советовал Рутилов.\n– Самое важное для меня, чтобы девушка не была худощавой, – с грустью в голосе сказал Передонов. – Лучше пусть будет полной.\n– Тебе совершенно не стоит волноваться по этому поводу, – энергично уверял Рутилов. – Сейчас мои дочери уже достаточно полноваты, а если кто-то ещё недостаточно полная, это временно. После замужества они станут ещё пышнее, посмотри хотя бы на мою старшую дочь Ларису.\n– Я бы хотел вступить в брак, – сказал Передонов, – но опасаюсь, что моя жена Варя устроит крупный конфликт.\n– Поскольку боишься конфликта, поступи так, – предложил Рутилов с лукавой улыбкой: – сегодня же заключай брачный союз, лучше сделать это немедленно. Вернешься домой с молодой супругой, проблема разрешится сама собой. Действительно, хочешь, я всё организую прямо завтра вечером? И выберешь любую девушку.\nПередонов внезапно начал громко и резко смеяться.\n– Значит, соглашаешься? Заключаем сделку? – поинтересовался Рутилов.\nПередонов также внезапно прекратил смех и мрачно прошептал тихим голосом:\n– Она расскажет обо всём, эта негодяйка.\n– Ей нечего рассказывать, ничего, о чем стоит рассказывать, не произойдёт, – успокаивал Рутилов.\n– Или отравит, – испуганно бормотал Передонов.\n– Просто доверься мне во всех вопросах, – убедительно настаивал Рутилов, – я обеспечу всё аккуратно и продуманно.\n– Без приданого я вступать в брак не намерен, – раздражённо выкрикнул Передонов.\nНовое резкое изменение темы разговора не смутило Рутилова. Он ответил столь же вдохновенно:\n– Странный человек, разве мои дочери лишены приданого? Так что, согласен ты или нет? Я пойду заниматься подготовкой. Запомни, нельзя говорить кому-либо об этом деле, понял?\nРутилов пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним. Девушки Рутилова вспомнились ему весёлыми и насмешливыми. Непристойная мысль вызвала мимолетную непривлекательную ухмылку на губах Передонова, тут же исчезнувшую. В нём возникло неясное чувство тревоги.' ratio=7.0"
5,5,"text='Вспоминаю простую жизненную ситуацию и превращаю ее в увлекательную историю, ведь я — поэт. Активность или пассивность, невзирая на обстоятельства, неотъемлемо становятся частью моего творчества. Случайности формируют ход событий, но начинают нужно с тех моментов, которые достойны восхищения и эстетического удовольствия. Красота проявляется в здоровье, юности и жизнерадостности, а природные красоты — в прозрачной воде, ярком светиле и тепле летнего времени года. Летний день был ясным и жарким, солнце играло на реке Скородень. Прозрачная вода и яркий свет звенели и поднимали дух благодаря теплым лучам, расширенному пространству, прихотливому дуновению ветра и множеству птиц, а также двух сестричек, купающихся в реке. Елисавета и Елена, родные близняшки, обнаженно играли на берегу Скороденского манежа, создавая радость благодаря хорошей погоде и своей необычной красоте. Их тела блестели от прохлады воды, улыбки их светились желанием активности, разговоров и развлечений. В беседе они заговорили о мужчине, который таинственно привлекал их воображение. Дочери богатого хозяина поместья, Елисавета и Елена, любили этот участок реки, где купались, — он прилегал к древнему саду дома их отца. Возможно, они особенно уютно чувствовали себя здесь благодаря ощущению владения быстрой течью воды и песчаным берегом под ногами. Они свободно бродили и играли в воде, чувствуя уверенность и свободу владелиц с рождения. Человек не знает границ своей власти, но счастлив он, кто уверен в своем положении!' ratio=10.0"
6,6,"text='Дом расположен на окраине города, в районе, известном как Расчески. Здесь виднеются строгие ряды многоквартирных зданий, с интервалами бетонных двориков для игр местных юнцов. Белые постройки, усеянные множеством окон, выглядят как один большой строительный блок. Между ними расстилаются пустующие земли, обрамленные оградами. Разрушенные фрагменты привлекают больше внимания детей, чем эти дворики для игр. \n\nМежду районами жилых зданий и пустырей стоит отдельно стоящий Серый дом, как будто он не принадлежит этому времени. Он старый, воспринимается скорее как следствие разрушения прежних построек, чем как часть современного жилища. Другие дома раскинулись вдали от него. Три этажа Серого дома обращены к дороге, а внутренний двор ограничивается металлической сетью. Раньше белый дом теперь покрыт серыми пятнами снаружи и желтыми внутри. Крыша увенчана антенной и тяжелыми проводами, стены облеплены мелкими кусочками штукатурки и треснуты от времени. Рядом находятся гаражи, подсобные помещения, контейнеры для мусора и будки для собак. Во дворе всё выглядит заброшенным. Передняя сторона дома лишена каких-либо украшений и напоминает неуклюжую статую. \n\nЖители окрестности испытывают неприязнь к этому дому, хотя никто открыто не высказывает своего недовольства. Большинство предпочитают жить подальше от него и мечтают о его исчезновении.' ratio=13.0"
7,7,"text='Оказалось, что каждый человек, стремящийся обратить на себя внимание, является эгоистичным субъектом с негативными качествами, способным совершать любые поступки и переоценивающим собственные достоинства, тогда как фактически этот человек совершенно незначителен. Самоуверенный и тщеславный человек. Что-то похожее. Сип прочитал рассказ про птицу, желавшую казаться лучше, чем была. Затем стихотворение о животном, утонувшем вследствие собственного неразумия. После этого он захотел исполнить ещё одну песню аналогичного содержания, однако его больше никто не слушал. Лицо Сипа изменилось от гнева, он заплакал и умолк. Его поблагодарили, дали салфетку, прикрыли книгой и предложили другому ученику продолжить выступление.' ratio=10.0"
8,8,"text='Недавно он был бодрым и энергичным человеком: словно кот на крыше, легко стоял на руках, поднимая тело вверх ногами и перемещаясь плавно, как парус. Зубами мог поднять стул, а руками — порвать канат, сверкающие от напряженных мышц. Его тело бурлило энергией, желанием прыгнуть через ограду или раскачать столб, одним словом — совершить впечатляющий поступок, как любили говорить в молодости. Сейчас что-то изменилось: словно механизм слегка испортился. Он начал сутулиться и признался другу Подтягину, что мучается бессонницей. Ночью накануне понедльника плохо спал, проведя двадцать минут в компании непристойного человека в остановившемся лифте. Утро следующего дня началось тяжело: долгое время сидел голым, держа вытянутые прохладные руки между коленями, пораженный осознанием, что снова должен будет одеть рубаху, носки, брюки — вещи пропитанные потом и грязью, казавшиеся неприятной обязанностью. Подобное чувство вызывало у него воспоминание о цыганском пуделе, выглядящем ужасающе жалко в человеческой одежде. Частично апатия объяснялась отсутствием работы. За прошедшую зиму удалось скопить небольшую сумму денег, от которой осталось около двухсот марок, потому что последние месяцы были затратными.\n\nВ предыдущем году, прибыв в Берлин, он быстро устроился на работу и продолжал трудиться вплоть до января, выполняя разнообразные задания: испытывал тяжесть утренних поездок на завод; чувствовал боль в ногах после десяти километров беготни с подносом среди ресторанных столов заведения «Пир Горой». Занимался также посредничеством, предлагая любые товары, какие попадались под руку — будь то баранки, средство для укладки волос или драгоценности. Он ничего не отвергал: неоднократно зарабатывал продажей собственной тени, как многие из нас. Иными словами, участвовал в массовке киносъемок за городом, где огромные прожекторы, направленные на группу статистов, ярко освещали лица людей своим ярким резким светом, создавая ощущение дискомфорта и стыда. После завершения съемки контракт считался выполненным, и заработанная сумма расходовалась.' ratio=10.0"
9,9,"text='Весь день, проведённый на кровати, кажется взлетом к ясному небу; приподнявшись, можно видеть золотистые вершины деревьев и тонкие провода, где кружатся птицы. На красном навесе рядом с парадным входом играют мягкие лучи солнца. Издаётся приятный шум природы: пение птиц, слабый собачий лай и шёпот водяного насоса. Неподвижно лежишь в размышлениях о предстоящем подъёме, смотришь на блестящие блики света по столу, наблюдаешь клубок нитей, соскользнувший со колен матери и катящийся по деревянному полу. Именно здесь, в этой комнате, когда Ганин лечился в шестнадцатилетнем возрасте, сформировалось его мысленное представление о любви — образ, которого он позже встретил в жизни. Этот процесс происходил благодаря картинам на стенах, звукам природы за окном, изображению Христа в киоте и журчащей воде в раковине. Атмосфера солнечного света была частью этого образа; без неё он бы не возник. Это были обычные ощущения юности, но Ганину казалось, что такое совпадение мыслей и реальности случается впервые. Весь день он переходил из одного сада в другой, посещал различные кафе; воспоминания тянули его вперёд, как весенние облака над Берлином. Посетители кафе думали, что мужчина, погруженный в свои мысли, переживает глубокую печаль, а на улицах он случайно сталкивался с прохожими; один раз водитель автомобиля резко остановился и выразил недовольство, чуть не столкнувшись. Ганин чувствовал себя творцом, восстанавливающим утраченный мир: детали исчезнувшего мира он возвращал ради женщины, которую ещё не решался пригласить в свою жизнь; пока восстановление не завершится полностью. Мысль о ней вынуждала его завершить образ окончательно, хотя он сознательно откладывал появление этого образа, чтобы приблизиться к нему поэтапно и следовать определённой последовательности шагов. Борясь с путаницей среди ярких прошлых образов, он аккуратно реконструировал события своей жизни, иногда останавливаясь на незначительных деталях, избегая преждевременного перехода к следующим этапам. Бродя по Берлину в теплый майский день, Ганин действительно выздоравливал физически; он рассматривал своё отражение в зеркалах и замечал чёрные земляные бугорки под деревьями. Он надел белую нижнюю одежду и светло-фиолетовые носки, но конкретного представления о том, кто встретится ему в парке, у него не было.' ratio=8.0"
