Unnamed: 0,index,text,ratio
0,0,"'Над пустынными улицами Санкт-Петербурга плелись призрачные облака, будто неведомые духи, сменяющие друг друга со скоростью бегущего времени; тусклый светящийся кляксой предмет скользил по небосводу, оставляя за собой слабое свечение. Небо словно вдохнуло жизнь, и металлические крыши с дымовыми трубами засверкали, словно тысячи бриллиантов. Здесь протекала река Мойка, её зелёные воды отражали мир безмятежности; вдоль берега стояло трёхэтажное строение с пятью белыми колоннами и изящными архитектурными элементами на верхних этажах. На ярком фоне это сооружение мирно прогуливался солдат Её Величества в блестящем шлеме с позолоченной фигуркой голубя, расправившего крылья, — символ мира и надежды на будущее, но также и угрозы, таящейся за каждым углом этой старинной столицы. Над каской витал дух прошедших лет и мечтаний о том, что может быть ещё впереди. В этот момент по набережной шёл Николай Аполлонович, натянув меховое пальто и пряча голову в глубокий воротник; его глаза сверкали необычным светом, а внутри бушевали чувства, словно невидимые силы направляли его к чему-то непостижимому. Он думал: возможно ли, что это ощущение — любовь? Вспомнилось, как однажды ночью он, обволакиваемый туманом, стремительно покинул подъезд дома и направился к чугунной переправе. Свет от императорской повозки пронёсся мимо: черная карета, везущая ярко-красные фонари, промелькнула рядом с окнами хорошо освещённого дома; светильники оставили за собой мерцающее отражение на водной глади Мойки, а затем исчезли во тьме.'",23.0
1,1,"'На указанном месте возвышался великолепный дворец, словно вытянутая башня из красного кирпича, напоминавшая странный замок: массивный и мрачноватый. Это было давным-давно, и сейчас уже не существует правителя, когда-то здесь жившего. Кирпично-розовый дворец поднимался среди голых ветвей деревьев; те трепетали, словно пытаясь ухватить проплывавшие облака. Вдруг каркнула и взмыла вверх ворона — паря высоко над облаками, она вскоре стремительно спустилась обратно к земле. Экипаж проезжал мимо этого места. Конная скульптура выделялась на фоне площади; редко кто из гостей обращал на неё внимание, хотя фигура была величественной и внушающей уважение. Монарх воздвиг памятник своему знаменитому предку, прожившему недолго в красном кирпичном дворце. Возможно, не раз появлялась круглая белая голова с завитушками волос возле узкого оконного проёма; человек внимательно глядел сквозь стекло: взгляд то терялся в мягких оттенках заката, то фиксировался на серебристом мерцании месяца среди листвы деревьев. Солдат в треугольной шляпе и высокий возница сидели рядом; слуги стояли позади. Павел Петрович опять оглядывался и продолжал беседу со своей изнеженной фрейлиной, улыбавшейся и обнажающей небольшие впадинки на щеках с родинкой. В ту ночь лунный свет заливал пространство вокруг императорских покоев; блестя даже на маленьком изображении купидона, он освещал подушку, где уже явственно виднелась голова человека — его тело давно исчезло. Раздались удары часов и шаги: через несколько секунд постель оказалась помята, сохраняя тепло ушедшего; группа молодых офицеров склонилась над пустым изголовьем с обнажёнными саблями; женский голос заплакал вдалеке. Бледный офицер поднял штору: за прозрачной тканью окна мелькнула дрожащая тень.'",25.0
2,2,"'Вечер опускается, легкая дымка окутывает всё вокруг. Туман прячет небо за занавеской из серых облаков, скрывая от нас тайны высоты. В древности верили, что там, где не досягаем глазу человека, живет великий бог, равнодушный наблюдатель всего сущего. Но сегодня мы знаем, что за облачными завесами лишь безбрежная лазурь и бескрайняя пустота космоса. Теперь же я теряюсь в догадках о том, что скрывается за пределами видимого мира, ведь моя голова наполнена новыми знаниями. Полное убеждение — это своего рода вера. Раньше я был уверен в своей правоте во всех вопросах, касавшихся меня самого. Однако теперь, впервые внимательно глянув на своё отражение в зеркале, я воспринимаю себя как совершенно незнакомого человека. Передо мной стоит мужчина с чёрными бровями и вертикальной морщинкой между ними (раньше я её не замечал). Серые глаза приобрели стальной оттенок, под которыми тени от недосыпания. Мои эмоции больше не проявляются на лице, и я раньше этого не понимал. Из глубин сознания вдруг возникает убеждение, что этот человек чужд мне самому — как будто я вижу его впервые. Истинный же я — другой. Но всё это лишь плод моих размышлений, бессмысленных и неправдоподобных. Это следствие недавнего употребления наркотического вещества, что оставило свои метки на моем сознании. Записываю же это здесь исключительно для того, чтобы продемонстрировать способность человеческой логики ошибаться — ведь разум, который объяснил древним бескрайнюю даль числовыми обозначениями, теперь теряется в собственных сомнениях. R-13. К слову сказать, мне приятно его присутствие здесь: я бы не хотел сейчас остаться одиноким.'",29.0
3,3,"'Она была облачена в древний наряд: облегающее черное платье подчеркивало белизну её открытых плеч и груди, словно оттеняя их резким контрастом. Светлые зубы казались слишком яркими, словно восковыми. Женщина устроилась за инструментом и начала играть. Её игра была хаотичной и наэлектризованной, отражая дух эпохи, в которой она жила. Она играла беспорядочно, без следа структуры или целенаправленности. Вокруг царила атмосфера согласия и весёлого смеха. Но среди присутствующих не было единства — некоторые колебались, я тоже задумался о причинах своего хохота. Эпилепсия, болезнь души, медленно разрушала тело, поднимаясь волной до нестерпимости. Внезапно появилось чувство резкого солнечного света, заставившего её распороть одежду на куски. Человек рядом со мной бросил взгляд и усмехнулся. Его маленький пузырёк слюны был единственной деталью, вернувшей меня в реальность. Все вокруг воспринимали лишь беспорядочные звуки инструментов, а я улыбался, ощущая облегчение и спокойствие. Материал лекции передал реалистичное представление о том времени, вызвав смех слушателей. Затем мы услышали современную музыку, демонстрирующую контраст с прошлым. Современная музыка была стройной и гармоничной, полная мощи порядка и логики, противопоставляясь хаотичному искусству предыдущего века, свободному от всяких ограничений. Все покинули зал парными рядами по четыре человека, двигаясь организованно через большие выходы. По пути я приветствовал знакомого человека, чья фигура была необыкновенной — словно выгнутая в двух направлениях одновременно; я почтительно поклонился ему.'",25.0
4,4,"'Рутилов излагал свои мысли с обычно бодрым голосом и живостью, улыбаясь шире, чем было необходимо. Хотя на вид он был худым, словно пожившим много трудных дней, и его слабое здоровье проглядывало сквозь новую модную шляпу, под которой виднелись светлые короткие волосы.\n\n— Извините, но это в три раза больше, — с еле уловимым оттенком сомнения сказал Передонов, протирая золотые очки.\n\n— Но ведь всё именно так! — воскликнул Рутилов. — Внимательно посмотри на моих дочерей, ведь это твоя последняя возможность увидеть их до того, как я покину этот мир. Им без разницы, кто станет вашим мужем.\n\n— Да, многие из них относятся ко мне с интересом, — проворчал Передонов.\n\n— Тогда используй момент! — посоветовал Рутилов.\n\n— Мне важно, чтобы моя будущая жена не была слишком тощей, — сказал Передонов с тоской в голосе. — Пусть она будет полной и крепкой.\n\n— Не волнуйся об этом, — убеждал его Рутилов. — Мои дочери уже достаточно пышнотелы, а если кто-то ещё худощавый, это временно. После свадьбы они станут ещё стройнее и здоровее.\n\n— Я готов жениться, — сказал Передонов, — но боюсь, что моя жена Варя устроит мне настоящий скандал.\n\n— Если ты боишься конфликта, — предложил Рутилов с хитрой улыбкой, — заключи брак сегодня же. Вернись домой со своей новой спутницей жизни, и всё сложится само собой. Может быть, я смогу организовать всё уже завтра вечером?\n\nПередонов внезапно начал громко хохотать.\n\n— Ты согласен? — поинтересовался Рутилов. — Давай заключим сделку?\n\nПередонов тут же перестал смеяться и прошептал, скривившись:\n\n— Она всё расскажет, эта дрянь.\n\n— Ничего особенного не произойдёт, — успокаивал его Рутилов. — Ей не о чем рассказывать.\n\n— Или отравит меня, — испуганно пробормотал Передонов.\n\n— Просто доверься мне во всех вопросах, — настаивал Рутилов. — Я всё организую тщательно и продуманно.\n\n— Без приданого я вступать в брак не хочу, — раздражённо сказал Передонов.\n\nНовый поворот темы разговора не смущал Рутилова. Он ответил с такой же уверенностью:\n\n— Странный ты человек, если думаешь, что мои дочери лишены приданого. Твоя согласие?\n\nРутилов крепко пожал руку Передонова и поспешил прочь. Передонов молча наблюдал за ним.\n\nДевушки Рутилова вспомнились ему весёлыми и наглядно насмешливыми, вызвав неприятную ухмылку на его лице, которая тут же исчезла. В Передонове появилось чувство тревоги.'",20
5,5,"'Вспоминаю картинку из жизни — обычную и невзыскательную, и превращаю её в увлекательную историю, ведь я поэт души. \nОстанься ты спокойной, незаметной или одинаковой — всё равно мне, как поэту, дострою над тобой красивую сказку о приятном и завораживающем.\nСлучайности водят за собой события; любой старт случайный. Но лучше начинать с тех моментов человеческого опыта, что вызывают восторг или по крайней мере радость и удовольствие. Здоровье, юность и жизнерадостность — вот что делает человека прекрасным; ясное небо, теплое лето и прозрачная вода — это красота природы.\nБыл июльский день, солнечный и жаркий, и река Скородень пылала под светом солнца. Вода сверкала как бриллианты, воздух играл мелодией тепла, ветра и пения птиц — всё это создавало ощущение радости и свободы.\nЕлизавета и Елена, сестры-близняшки, купались в этой реке. Их вид на фоне ясного неба и сверкающей воды был просто чарующим. Обе девушки чувствовали себя легко и свободно: прохладу воды, желание активно двигаться, улыбаться и общаться. В разговоре они вспомнили о мужчине, предмете их фантазий.\nЭти две девушки были дочерьми богатого владельца поместья. Участок реки, где купались сестры, прилегал к обширному старинному саду их дома. Возможно, им нравилось находиться там ещё больше потому что они чувствовали себя хозяйками быстрых вод и песчаного берега — свободными и уверенные в себе.\nЧеловек не знает границ своей власти, но счастливы те, кто уверен в своих полномочиях!'",35.0
6,6,"'Дом укрыт на краю города, в районе носящем название Расчески. Здесь тянутся ряды многоквартирных белых коробок с множеством окон, стоящих параллельными цепочками среди бетонных дворов, где когда-то играли дети. Между этими серыми рядами простёрт пустырь — остатки строений и руины привлекают больше внимания ребятней, чем безжизненные земляные участки.\n\nВдалеке от этих унылых коробок стоит одиноко Серый Дом. Старая развалина из прошлого времени, когда тут ещё не строили современные многоэтажки, этот дом словно вырван из другого века. Крыша его покрыта антеннами и проводами, стены, прежде белоснежные, теперь в серых пятнах и трещинах; внутри — желтоватый свет, тускло освещающий унылые просторы двора. Гаражи, контейнеры с мусором и клетки для собак обступают его со всех сторон.\n\nЛюди из окрестностей косвенно выражают неприязнь к этому дому: хотя никто не говорит прямо о своём недовольстве, большинство предпочитает жить как можно дальше от этой развалины и мечтает об её исчезновении.'",25.0
7,7,"'Выяснилось, что человек, стремящийся к признанию, оборачивается эгоистом с черными пятнами характера, способен на любые поступки ради славы и верит в собственные таланты больше, чем они заслуживают. В действительности же такой человек — ничто особо примечательное. Эдакий самоуверенный и безмерно тщеславный индивидуум. Сип прочёл историю о птице, мечтавшей казаться красивее на самом деле. Затем он рассказывал про животное, погибшее из-за собственной глупости. После этого Сип хотел спеть песню похожего содержания, но его перестали внимать. Лицо Сипа стало мрачным от гнева и обиды, он заплакал и замолк. Его поблагодарили, дали платок и прикрыли книжкой, предложив другому ученику продолжить выступление.\n\nГуль произносил речь еле слышно, словно вглядываясь в непросветлённую пустоту стола. Белые волосы спадали на лицо, мешали видеть, и он поправлял их мокрым пальцем. Прическа держалась лишь до тех пор, пока палец не убирался с лба — после чего волосы тотчас скрывали взгляд. Наблюдать за Гулем долго было непросто: мои нервы уже были на пределе, и лишний стресс мог бы только осложнить ситуацию.\n\n«Какое рода внимание искал этот человек? — Он словно пытается привлечь к своей обуви. Однако это неверно. Через свои туфли он стремится обратить внимание на ноги, выставляя свое физическое несовершенство на показ, игнорируя чувства других людей и их мнение. В этом смысле он нас унижает...»\n\nГуль продолжал говорить монотонным голосом, палец его гулял по переносице — было видно, что злоба начинает закипать в нем. Я уже знаю все аргументы, которые он мог бы выдать; эти речи типичны для подобных обстоятельств. Каждое слово Гуля было таким же невнятным и скучным, как его самопроизвольно засовывающиеся волосы.'",28.0
8,8,"'Недавно он был живым факелом энергии, легко переворачиваясь на руках, словно парусник в легком бризе. С крепкими зубами поднимал стул и разрывал канаты мощными руками, как будто это были детские игрушки. Его тело источало стремление к поступкам, которые бы заставили всех вокруг удивленно вскинуть брови — словно молодость была временем для невероятных подвигов. Но что-то теперь изменилось: механизм его жизни заскрипел и начал раскисать. Он стал сутулиться, а ночью перед понедельником превратился в тень себя прежнего. В лифте застрял с человеком, чей непристойный вид был как утреннее мрачное предзнаменование. С утра следующего дня его ждало оцепенение: долгое время он держал вытянутые руки между коленями в прохладной комнате, понимая, что ему снова придется облачиться в одежду, которую тело уже начало презирать. Это чувство напомнило ему бедного цыганского пуделя, облеченного в несоответствующую человеческую одежду и выглядящего жалко и потерянным. Апатия частично объяснялась отсутствием работы: за зиму удалось немного накопить денег, но теперь осталось лишь двести марок — последний рубеж перед полной нищетой. В прошлом году прибытие в Берлин привело его к быстрому трудоустройству и продолжительному труду до января: испытывал утренние поездки на завод, мучился от боли в ногах после беготни с подносом среди ресторанных столов заведения «Пир Горой». Также занимался посредничеством, предлагая любой товар — будь то баранки или драгоценности. Он не отказывал себе ни в чем: продавал собственную тень, как многие из нас. Занимал участие в массовке киносъемок за городом, где огромные прожекторы ярко освещали лица статистов, создавая ощущение дискомфорта и неловкости. После съемки контракт считался выполненным, и деньги тратились.'",29.0
9,9,"'Целый день на кровати будто плывёшь навстречу солнцу, зная, что стоит приподняться — и перед тобой раскинуты кроны деревьев, освещённые жёлтым светом. Провода ветвятся, словно делясь местами для птиц, а красный навес у парадного входа приглашает гостей насладиться тишиной. Далеко раздаются звуки природы — пение пернатых хранителей мира, собачий лай вдалеке и поскрипывание водяного насоса, как будто играющего с ветром.\n\nЛежишь неподвижно, утонув в размышлениях о предстоящем подъёме. Глядишь на светлячков, бегущих по столу, и видишь клубок нитей соскальзывающий с колен матери, плавно катящийся по полу...\n\nВот здесь, в этой комнате, когда юному Ганину было шестнадцать, он создал образ идеального мира, который позже воплотился в реальности. Этот процесс не обошёлся без помощи окружающего: картины на стенах, звуки за окном, изображение Христа в киоте и журчащая вода в раковине. Свет солнца словно лепил эту картину, давая ей форму и жизнь. В тот момент казалось, что такое совпадение мыслей и действительности прежде не случалось так идеально.\n\nЦелый день он переходил из одного сада в другой, посещал кафе, где воспоминания тянули его за собой, словно облака весной в Берлине. Потревоженные прохожие и остановки машин на улице подчёркивали, что он погружён в свои мысли.\n\nГанин чувствовал себя реставратором потерянного мира, восстанавливающим его по частям для той женщины. Он старался избегать путаницы среди ярких образов прошлого и аккуратно реконструировал события своей жизни. Бродя по паркам Берлина теплым маем, он физически ощущал себя выздоравливающим — слабость в ногах, чистую одежду, зеркальное отражение. Одевшись в белое нижнее бельё и светло-фиолетовые носки, он мечтал встретить кого-то в парке, но не представлял конкретного человека.'",25.0
